column,Row Order,O-BEE MANFRED JUSTICE,HA-HO CUBBY MANFRED-ET,ENSENADA TABOO PLANET ET,HILL VALLEY BASAR ACME,BASAR,ROSE-BAUM TABOO,BRAEDALE GOLDWYN,CARENDA FABULON-ET,SHOREMAR JAMES,MAUGHLIN STORM,GIBBON,JOCKO BESN,Q250 BESNE BUCK,A MARK CJ GILBROOK GRAND ET,PICSTON SHOTTLE,LONG-LANGS OMAN OMAN,ROUMARE,SHOREMAR PERFECT STAR (ET),EMPRISE BELL ELTON,DIXIE-LEE AARON -ET,OUT-JOCK CHOICE AMEL,OSDEL-ENDEAVOR BOVA CUBBY,BELT,END-ROAD BLACKSTAR MAJIC-ET,MADAWASKA AEROSTAR,CAROL PRELUDE MTOTO ET,DE-SU OBSERVER,MANNA FARM DEL SANTO,SANDY-VALLEY BOLTON,ADLEJAMA DELSANTO PICOLA,DE-SU 521 BOOKEM,END-ROAD PVF BOLIVER,FATAL,A RONNYBROOK PRELUDE ET,COYNE-FARMS DORCY,MOUNTFIELD SSI DCY MOGUL,PASEN MARSH,PIROLO GOLDW_ WYMAN,RALMA GOLD CROWN,RAMOS,STARTMORE RUDOLPH,ROYLANE SOCRA ROBUST,VELVET-VIEW-KJ SOCRATES,BADGER-BLUFF FANNY FREDDIE,SEAGULL-BAY SUPERSIRE,GLENN-ANN PALERMO,GENERVATIONS LIQUID GOLD,MAPEL WOOD BOULDER,DE-SU BKM MCCUTCHEN,UFM-DUBS ALTAESQUIRE
Column Order,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
MANNA FARM DELANO - DELANO,1,0,0,0,0.579861111,0.46875,0,0,0.371527778,0,0,0.9375,0.381944444,0.277777778,0,0,0,0.260416667,0.340277778,0,0,0,0,0.236111111,0,0,0,0,0.017361111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COUNTRY ROAD ROYALMAN 4198-ET - PROVINCE,2,0.5,0.447916667,0,0,0,0,0.263888889,0,0.256944444,0.434027778,0.46875,0.381944444,0.277777778,0.211805556,0,0,0.260416667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EMU BANKS JENGOLD - JENGOLD,3,1,0.895833333,0,0,0,0,0.263888889,0,0.256944444,0.434027778,0,0,0,0.211805556,0,0.118055556,0,0,0,0.104166667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03125,0,0,0,0,0,0,0,0,0,0,0
HINDLEE PICOLA ROYALROUMARE 1414-ET - ROYALPIC,4,0,0,0.163194444,0.579861111,0.46875,0.163194444,0,0.371527778,0,0,0.46875,0.381944444,0.277777778,0,0,0,0.260416667,0,0,0,0,0,0,0,0,0,0,0.017361111,0,0.013888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADLEJAMA DELSANTO PICOLA - PICOLA,5,0,0,0.163194444,0.579861111,0.46875,0.163194444,0,0.371527778,0,0,0.46875,0,0,0,0,0,0,0.340277778,0,0,0.121527778,0,0.236111111,0.104166667,0,0,0,0.017361111,0,0.013888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CARENDA VIZABULL 375 - VIZABULL,6,0.5,0.447916667,0.163194444,0.579861111,0.46875,0.163194444,0,0.371527778,0,0,0,0,0,0,0,0,0,0,0.135416667,0,0,0.128472222,0,0,0,0,0,0.017361111,0,0.013888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CARENDA VALIUM 354 - VALIUM,7,0,0,0.163194444,0.579861111,0.46875,0.163194444,0.263888889,0.371527778,0.256944444,0.434027778,0,0,0,0.211805556,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017361111,0,0.013888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADLEJAMA PICOLA FAROUK - LJCOOL,8,0.5,0,0.163194444,0.579861111,0.46875,0.163194444,0.263888889,0.371527778,0.256944444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017361111,0,0.013888889,0,0,0,0,0,0,0,0.083333333,0,0,0,0,0,0,0,0,0,0,0,0
WARRAMONT NUMBERONE DUDE - ASHMARK,9,0.5,0.447916667,0,0,0,0,0,0,0,0,0.46875,0.381944444,0.277777778,0,0.052083333,0.118055556,0.260416667,0,0,0.104166667,0,0,0,0,0,0.059027778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HINDLEE GOLDWYN OMANROYAL 121003 - ROYALMAN,10,0.5,0.447916667,0,0,0,0,0.263888889,0,0.256944444,0.434027778,0,0,0,0.211805556,0,0,0,0,0.135416667,0,0,0.128472222,0,0,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CARENDA REACTOR 352 - REACTOR,11,0,0,0.163194444,0.579861111,0.46875,0.163194444,0,0.371527778,0,0,0,0.381944444,0.277777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017361111,0,0.013888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CARENDA VERMOUTH 394 - VERMOUTH,12,0,0,0.163194444,0.579861111,0.46875,0.163194444,0,0.371527778,0,0,0,0.381944444,0.277777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017361111,0,0.013888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HINDLEE PICOLA GOLDCHIPDREAM 1418-ET - MICROCHIP,13,0,0,0.163194444,0.579861111,0.46875,0.163194444,0.263888889,0.371527778,0.256944444,0,0,0,0,0,0.052083333,0,0,0,0,0,0,0,0,0,0,0,0,0.017361111,0,0.013888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CARENDA PERTINENT - PERTINENT,14,0,0,0.163194444,0.579861111,0.46875,0.163194444,0.263888889,0.371527778,0.256944444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017361111,0,0.013888889,0,0,0,0,0,0,0,0,0,0,0.020833333,0,0,0,0,0.020833333,0,0,0,0
NEWHOUSE SKYFALL - CRVSKYFALL,15,0.5,0.447916667,0,0,0,0,0.263888889,0,0.256944444,0.434027778,0,0,0,0.211805556,0,0.118055556,0,0,0,0.104166667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BUNDALONG LIQUIDGOLD WARRIOR - GOLDWARRIOR,16,1,0.447916667,0.163194444,0,0,0.163194444,0,0,0,0,0,0,0,0,0.052083333,0.118055556,0,0,0.135416667,0,0,0.128472222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017361111,0.017361111,0,0
RENGAW CROWN JAKOVICH - JAKOVICH,17,0.5,0.447916667,0,0,0,0,0.263888889,0,0.256944444,0.434027778,0,0,0,0.211805556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03125,0,0,0,0,0,0,0,0,0,0,0
ALEXERIN SNEAK PEEK - 0250HO01135,18,1,0.447916667,0.163194444,0,0,0.163194444,0,0,0,0,0,0,0,0,0,0,0,0,0.135416667,0,0,0.128472222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003472222,0.003472222,0,0.003472222,0,0,0,0,0
RENGAW SS JAMPOT-ET - JAMPOT,19,1,0.447916667,0.163194444,0,0,0.163194444,0,0,0,0,0,0,0,0,0,0.118055556,0,0,0,0.104166667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003472222,0.003472222,0,0.003472222,0,0,0,0,0
GLOMAR SUPERLUCKY-ET - SUPERLUCKY,20,0.5,0,0.163194444,0,0,0.163194444,0.263888889,0,0.256944444,0.434027778,0,0,0,0.211805556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003472222,0.003472222,0,0.003472222,0,0,0,0,0
RENGAW PREDESTINE MANSHED - MANSHED,21,0.5,0.447916667,0.163194444,0,0,0.163194444,0.263888889,0,0.256944444,0,0,0,0,0,0.052083333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013888889
DE SU 11690 FANTASMIC - 29HO17652,22,0.5,0.447916667,0.326388889,0,0,0.326388889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010416667,0,0,0,0,0,0,0,0,0.010416667,0,0,0,0.013888889,0,0,0,0,0,0
DE-SU 11756 OCTAVIAN-ET - 29HO17509,23,0.5,0.447916667,0.163194444,0,0,0.163194444,0,0,0,0,0,0,0,0,0.052083333,0.118055556,0,0,0,0.104166667,0,0,0,0,0,0.059027778,0,0,0,0,0.010416667,0,0,0,0,0,0,0,0,0.010416667,0,0,0,0,0,0,0,0,0,0
BOUW ROCKY - CRVBOUWROCKY,24,0.5,0.447916667,0.163194444,0,0,0.163194444,0,0,0,0,0,0,0,0,0.052083333,0,0,0,0,0,0.121527778,0,0,0.104166667,0,0.059027778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE-SU 11680 BRAUN-ET - 29HO16954,25,1,0.447916667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121527778,0,0,0,0,0,0,0,0,0,0,0.017361111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DELTA CUPIDO - CRVCUPIDO,26,0,0,0,0,0,0,0.263888889,0,0.256944444,0,0,0.381944444,0.277777778,0,0.052083333,0,0,0,0,0,0,0,0,0,0.083333333,0.059027778,0,0,0,0,0,0,0.086805556,0.027777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MR AMERICA CHACAL - 29HO17762,27,0.5,0,0.163194444,0,0,0.163194444,0.263888889,0,0.256944444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.055555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PURNIM MILLARD BIOGOLDMILL - GOLDMILL,28,0.5,0.447916667,0,0,0,0,0,0,0,0,0,0,0,0,0.052083333,0,0,0,0.135416667,0,0,0,0,0,0.083333333,0.059027778,0,0,0,0,0,0,0,0.027777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COOMBOONA DAVINCI OMAN - TLGOMAN,29,0.5,0.447916667,0,0,0,0,0,0,0,0,0,0,0,0,0,0.118055556,0,0,0,0.104166667,0,0,0,0,0,0,0,0,0.027777778,0,0,0.017361111,0,0,0.013888889,0.013888889,0.013888889,0,0,0,0,0,0,0,0,0,0,0,0,0
DE SU 12128 TAILOR - 29HO17706,30,0.5,0,0.163194444,0,0,0.163194444,0.263888889,0,0,0,0,0,0,0,0.052083333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017361111,0,0,0,0,0,0,0,0,0,0,0,0.013888889,0,0,0,0,0,0
DE SU 11949 PENALTY - 29HO17732,31,0,0,0.163194444,0,0,0.163194444,0.263888889,0,0.256944444,0,0,0,0,0,0.104166667,0,0,0,0,0,0,0,0,0,0.083333333,0.059027778,0,0,0,0,0,0,0,0.027777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DUPASQUIER PRIZIM - CBPRIZIM,32,0.5,0,0.163194444,0,0,0.163194444,0,0,0,0,0,0,0,0,0.052083333,0.118055556,0,0,0,0,0,0,0,0,0,0,0,0,0.027777778,0,0,0,0,0,0.013888889,0.013888889,0.013888889,0,0,0,0,0,0,0,0,0,0,0,0,0
