column,Row Order,O-BEE MANFRED JUSTICE,ENSENADA TABOO PLANET ET,BRAEDALE GOLDWYN,HILL VALLEY BASAR ACME,LONG-LANGS OMAN OMAN,HA-HO CUBBY MANFRED-ET,CARENDA FABULON-ET,ROUMARE,JOCKO BESN,ROSE-BAUM TABOO,DE-SU OBSERVER,BASAR,SHOREMAR JAMES,ADLEJAMA DELSANTO PICOLA,PICSTON SHOTTLE,MOUNTFIELD SSI DCY MOGUL,MANNA FARM DEL SANTO,PIROLO GOLDW_ WYMAN,MAUGHLIN STORM,Q250 BESNE BUCK,GIBBON,RALMA GOLD CROWN,SEAGULL-BAY SUPERSIRE,DE-SU 521 BOOKEM,SANDY-VALLEY BOLTON,A MARK CJ GILBROOK GRAND ET,COYNE-FARMS DORCY,GENERVATIONS LIQUID GOLD,DIXIE-LEE AARON -ET,BADGER-BLUFF FANNY FREDDIE,DE-SU BKM MCCUTCHEN,GLENN-ANN PALERMO,CAROL PRELUDE MTOTO ET,EMPRISE BELL ELTON,UFM-DUBS ALTAESQUIRE,ROYLANE SOCRA ROBUST,SHOREMAR PERFECT STAR (ET),OSDEL-ENDEAVOR BOVA CUBBY,OUT-JOCK CHOICE AMEL,BELT,END-ROAD BLACKSTAR MAJIC-ET,END-ROAD PVF BOLIVER,MADAWASKA AEROSTAR,PASEN MARSH,MAPEL WOOD BOULDER,VELVET-VIEW-KJ SOCRATES,FATAL,STARTMORE RUDOLPH,A RONNYBROOK PRELUDE ET,RAMOS
Column Order,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
ADLEJAMA PICOLA FAROUK - LJCOOL,1,0.824527539,0.422701169,0.674495301,0.992172201,0,0,0.334637549,0,0,0.105674541,0,0.24526821,0.168297103,0.208741318,0,0,0.093933593,0.9184618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HINDLEE PICOLA ROYALROUMARE 1414-ET - ROYALPIC,2,0,0.422701169,0,0.992172201,0,0,0.334637549,0.789302859,0.434441616,0.105674541,0,0.24526821,0,0.208741318,0,0,0.093933593,0,0,0.103715879,0.133720189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CARENDA VIZABULL 375 - VIZABULL,3,0.83431233,0.422701169,0,0.992172201,0,0.206128211,0.334637549,0,0,0.105674541,0,0.24526821,0,0.208741318,0,0,0.093933593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037832944,0,0,0,0.036528395,0,0,0,0,0,0,0,0,0,0,0,0
COUNTRY ROAD ROYALMAN 4198-ET - PROVINCE,4,0.826484531,0,0.6823231,0,0,0.204171219,0,0.789302859,0.434441616,0,0,0,0.170254095,0,0,0,0,0,0.123283291,0.103715879,0.133720189,0,0,0,0,0.040441042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CARENDA PERTINENT - PERTINENT,5,0,0.422701169,0.674495301,0.992172201,0,0,0.334637549,0,0,0.105674541,0,0.24526821,0.168297103,0.208741318,0,0,0.093933593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.198304252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012393891,0,0
CARENDA VALIUM 354 - VALIUM,6,0,0.422701169,0.6823231,0.992172201,0,0,0.334637549,0,0,0.105674541,0,0.24526821,0.170254095,0.208741318,0,0,0.093933593,0,0.123283291,0,0,0,0,0,0,0.040441042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HINDLEE PICOLA GOLDCHIPDREAM 1418-ET - MICROCHIP,7,0,0.422701169,0.674495301,0.992172201,0,0,0.334637549,0,0,0.105674541,0,0.24526821,0.168297103,0.208741318,0.076973111,0,0.093933593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MANNA FARM DELANO - DELANO,8,0,0,0,1,0,0,0.336594541,0.789302859,0.434441616,0,0,0.247225202,0,0,0,0,0.125244791,0,0,0.103715879,0.134372464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.084145128,0,0,0.050877941,0,0,0,0,0,0,0,0,0,0
WARRAMONT NUMBERONE DUDE - ASHMARK,9,0.826484531,0,0,0,0.615786889,0.204171219,0,0.789302859,0.434441616,0,0,0,0,0,0.078930102,0,0,0,0,0.103715879,0.133720189,0,0,0,0,0,0,0,0.039790437,0,0,0,0.031310697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EMU BANKS JENGOLD - JENGOLD,10,0.829093797,0,0.6823231,0,0.615786889,0.204823494,0,0,0,0,0,0,0.170254095,0,0,0,0,0,0.123283291,0,0,0.323549043,0,0,0,0.040441042,0,0,0.039790437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CARENDA REACTOR 352 - REACTOR,11,0,0.422701169,0,0.992172201,0,0,0.334637549,0,0.434441616,0.105674541,0,0.24526821,0,0.208741318,0,0,0.093933593,0,0,0.103715879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CARENDA VERMOUTH 394 - VERMOUTH,12,0,0.422701169,0,0.992172201,0,0,0.334637549,0,0.434441616,0.105674541,0,0.24526821,0,0.208741318,0,0,0.093933593,0,0,0.103715879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE-SU 12659 TACTIC - 29HO17919,13,0.824527539,0.420744178,0,0,0.607959089,0,0,0,0,0,0.670581485,0,0,0,0.076973111,0.177430121,0,0,0,0,0,0,0,0,0.052837604,0,0.04435753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011089341,0,0,0,0,0,0
MR AMERICA CHACAL - 29HO17762,14,0.824527539,0.422701169,0.674495301,0,0,0,0,0,0,0.105674541,0.678409284,0,0.168297103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADLEJAMA DELSANTO PICOLA - PICOLA,15,0,0.430528969,0,1,0,0,0.336594541,0,0,0.107631532,0,0.247225202,0,0.250489582,0,0,0.125244791,0,0,0,0.133720189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.084145128,0,0.027395879,0.050877941,0.024134504,0,0,0,0,0,0,0,0,0
NEWHOUSE SKYFALL - CRVSKYFALL,16,0.826484531,0,0.6823231,0,0.615786889,0.204171219,0,0,0,0,0,0,0.170254095,0,0,0,0,0,0.123283291,0,0,0,0,0,0,0.040441042,0,0,0.039790437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RENGAW PREDESTINE MANSHED - MANSHED,17,0.826484531,0.422701169,0.674495301,0,0,0.204171219,0,0,0,0.105674541,0,0,0.168297103,0,0.076973111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.177430121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BUNDALONG LIQUIDGOLD WARRIOR - GOLDWARRIOR,18,0.834964605,0.422701169,0,0,0.607959089,0.206128211,0,0,0,0.105674541,0,0,0,0,0.076973111,0,0,0,0,0,0,0,0,0,0,0,0,0.250489582,0,0,0,0,0,0.037832944,0,0,0,0.036528395,0,0,0,0,0,0,0.062622395,0,0,0,0,0
GLOMAR SUPERLUCKY-ET - SUPERLUCKY,19,0.824527539,0.422701169,0.6823231,0,0,0,0,0,0,0.105674541,0,0,0.170254095,0,0,0,0,0,0.123283291,0,0,0,0.083496527,0,0,0.040441042,0,0,0,0,0,0,0,0,0,0.020874132,0,0,0,0,0,0,0,0,0,0.005218533,0,0,0,0
RENGAW CROWN JAKOVICH - JAKOVICH,20,0.826484531,0,0.6823231,0,0,0.204171219,0,0,0,0,0,0,0.170254095,0,0,0,0,0,0.123283291,0,0,0.323549043,0,0,0,0.040441042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE-SU 11756 OCTAVIAN-ET - 29HO17509,21,0.826484531,0.422701169,0,0,0.615786889,0.204171219,0,0,0,0.105674541,0,0,0,0,0.078930102,0,0,0,0,0,0,0,0,0.041748264,0,0,0,0,0.039790437,0,0,0,0.031310697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002609099
RENGAW SS JAMPOT-ET - JAMPOT,22,0.827136806,0.422701169,0,0,0.615786889,0.204171219,0,0,0,0.105674541,0,0,0,0,0,0,0,0,0,0,0,0,0.083496527,0,0,0,0,0,0.039790437,0,0,0,0,0,0,0.020874132,0,0,0,0,0,0,0,0,0,0.005218533,0,0,0,0
DUPASQUIER PRIZIM - CBPRIZIM,23,0.824527539,0.422701169,0,0,0.607959089,0,0,0,0,0.105674541,0,0,0,0,0.076973111,0.177430121,0,0,0,0,0,0,0,0,0.052837604,0,0.04435753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011089341,0,0,0,0,0,0
DE SU 12128 TAILOR - 29HO17706,24,0.824527539,0.422701169,0.672538309,0,0,0,0,0,0,0.105674541,0,0,0,0,0.076973111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106979926,0,0,0,0,0,0,0,0,0,0,0,0.013698607,0,0,0,0,0,0,0,0
HINDLEE GOLDWYN OMANROYAL 121003 - ROYALMAN,25,0.83431233,0,0.713634298,0,0,0.206128211,0,0,0,0,0,0,0.178081894,0,0,0,0,0,0.125240282,0,0,0,0,0,0,0.042398034,0,0,0,0,0,0,0,0.037832944,0,0,0,0.036528395,0,0,0,0,0.02087313,0,0,0,0,0,0,0
COOMBOONA DAVINCI OMAN - TLGOMAN,26,0.826484531,0,0,0,0.615786889,0.204171219,0,0,0,0,0,0,0,0,0,0.177430121,0,0,0,0,0,0,0,0,0.052837604,0,0.04435753,0,0.039790437,0,0,0,0,0,0,0,0,0,0,0,0,0.013698607,0,0.011089341,0,0,0,0,0,0
ALEXERIN SNEAK PEEK - 0250HO01135,27,0.834964605,0.422701169,0,0,0,0.206128211,0,0,0,0.105674541,0,0,0,0,0,0,0,0,0,0,0,0,0.083496527,0,0,0,0,0,0,0,0,0,0,0.037832944,0,0.020874132,0,0.036528395,0,0,0,0,0,0,0,0.005218533,0,0,0,0
BOUW ROCKY - CRVBOUWROCKY,28,0.826484531,0.430528969,0,0,0,0.204171219,0,0,0,0.107631532,0,0,0,0,0.078930102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.031310697,0,0,0,0,0,0.027395879,0,0.024134504,0,0,0,0,0,0,0,0,0
DE SU 11690 FANTASMIC - 29HO17652,29,0.826484531,0.425310436,0,0,0,0.204171219,0,0,0,0.106326816,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041748264,0,0,0,0,0,0.114807725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002609099
DELTA CUPIDO - CRVCUPIDO,30,0,0,0.674495301,0,0,0,0,0,0.434441616,0,0,0,0.168297103,0,0.086757902,0,0,0,0,0.103715879,0,0,0,0,0,0,0,0,0,0,0,0,0.033267688,0,0,0,0,0,0,0,0,0,0.020220855,0,0,0,0.038486054,0,0.007827465,0
