column,Row Order,O-BEE MANFRED JUSTICE,ENSENADA TABOO PLANET ET,PICSTON SHOTTLE,BRAEDALE GOLDWYN,SHOREMAR JAMES,ROSE-BAUM TABOO,HA-HO CUBBY MANFRED-ET,JOCKO BESN,CARENDA FABULON-ET,HILL VALLEY BASAR ACME,BASAR,GIBBON,MAUGHLIN STORM,Q250 BESNE BUCK,CAROL PRELUDE MTOTO ET,LONG-LANGS OMAN OMAN,ROUMARE,A MARK CJ GILBROOK GRAND ET,ETAZON KNOCK OUT,DIXIE-LEE AARON -ET,MADAWASKA AEROSTAR,FATAL,EMPRISE BELL ELTON,END-ROAD BLACKSTAR MAJIC-ET,OUT-JOCK CHOICE AMEL,MANNA FARM DEL SANTO,STARTMORE RUDOLPH,OSDEL-ENDEAVOR BOVA CUBBY,SANDY-VALLEY BOLTON,BUNDALONG MARKS MEDALLION,JARDIN,A RONNYBROOK PRELUDE ET,GLENN-ANN PALERMO,EMERALD-ACRES-SA TONIC ET,WALKWAY CHIEF MARK,BADGER-BLUFF FANNY FREDDIE,CHARLESDALE SUPERSTITION,COUNTRY ROAD ROUMARE CANBEE,COYNE-FARMS DORCY,DELTA PARAMOUNT,EMERALD-ACR-SA T-BAXTER,END-ROAD BEACON,END-ROAD PVF BOLIVER,FUSTEAD EMORY BLITZ,LARS-ACRES SHOT TRIGGER,MR CHASSITY GOLD CHIP,RAMOS,REGANCREST ALTAIOTA,RICH-RO MARK SAM -ET,UFM-DUBS ALTAESQUIRE
Column Order,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
KIRK ANDREWS PICOLA M122 - TEMPTATION,1,0,0.157692308,0,0,0,0.157692308,0,0.823076923,0.973076923,0.584615385,0.580769231,1,0,0.376923077,0,0,0.380769231,0,0,0,0,0,0,0,0,0.076923077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CALISTER CANJAM 143-ET - CANJAM,2,0.453846154,0,0,0,0,0,0.415384615,0.823076923,0,0.584615385,0.580769231,1,0,0.376923077,0,0.107692308,0.380769231,0,0,0.107692308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CARENDA VERMOUTH 394 - VERMOUTH,3,0,0.157692308,0,0,0,0.157692308,0,0.823076923,0.973076923,0.584615385,0.580769231,0,0,0.376923077,0,0,0,0,0,0,0,0,0,0,0,0.076923077,0,0,0,0,0.107692308,0,0,0.069230769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HINDLEE PICOLA GOLDCHIPDREAM 1418-ET - MICROCHIP,4,0,0.157692308,0.196153846,0.446153846,0.442307692,0.157692308,0,0,0.973076923,0.584615385,0.580769231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.076923077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CARENDA PERTINENT - PERTINENT,5,0,0.157692308,0,0.446153846,0.442307692,0.157692308,0,0,0.973076923,0.584615385,0.580769231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.076923077,0.092307692,0,0,0,0,0,0.092307692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MANNA FARM SHAN 2716 - WENTWORTH,6,0.453846154,0.157692308,0,0,0,0.157692308,0.415384615,0,0,0.584615385,0.580769231,0,0,0,0,0.107692308,0,0,0.769230769,0.107692308,0,0,0,0,0,0,0,0,0,0.126923077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EMU BANKS HONDA-ET - MINOTAUR,7,0.453846154,0.157692308,0,0,0,0.157692308,0,0.823076923,0,0,0,1,0,0.376923077,0,0,0.380769231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HINDLEE GOLDWYN OMANROYAL 121003 - ROYALMAN,8,0.453846154,0,0,0.446153846,0.442307692,0,0.415384615,0,0,0,0,0,0.565384615,0,0,0,0,0.273076923,0,0,0.284615385,0,0.226923077,0,0,0,0,0.1,0,0,0,0,0,0,0.019230769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DELTA CUPIDO - CRVCUPIDO,9,0,0,0.196153846,0.446153846,0.442307692,0,0,0.823076923,0,0,0,0,0,0.376923077,0.238461538,0,0,0,0,0,0.142307692,0.507692308,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEWHOUSE SKYFALL - CRVSKYFALL,10,0.453846154,0,0,0.446153846,0.442307692,0,0.415384615,0,0,0,0,0,0.565384615,0,0,0.107692308,0,0.273076923,0,0.107692308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GLOMAR SUPERLUCKY-ET - SUPERLUCKY,11,0.453846154,0.157692308,0,0.446153846,0.442307692,0.157692308,0,0,0,0,0,0,0.565384615,0,0,0,0,0.273076923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GLOMAR SUPER LUCKYBRO - ET - LUCKYBRO,12,0.453846154,0.157692308,0,0.446153846,0.442307692,0.157692308,0,0,0,0,0,0,0.565384615,0,0,0,0,0.273076923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RENGAW PREDESTINE MANSHED - MANSHED,13,0.453846154,0.157692308,0.196153846,0.446153846,0.442307692,0.157692308,0.415384615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE SU 11949 PENALTY - 29HO17732,14,0,0.157692308,0.392307692,0.446153846,0.442307692,0.157692308,0,0,0,0,0,0,0,0,0.238461538,0,0,0,0,0,0.142307692,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE-SU 11756 OCTAVIAN-ET - 29HO17509,15,0.453846154,0.157692308,0.196153846,0,0,0.157692308,0.415384615,0,0,0,0,0,0,0,0.238461538,0.107692308,0,0,0,0.107692308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOUW ROCKY - CRVBOUWROCKY,16,0.453846154,0.157692308,0.196153846,0,0,0.157692308,0.415384615,0,0,0,0,0,0,0,0.238461538,0,0,0,0,0,0,0,0,0.065384615,0.065384615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABS MYSTICAL - 29HO17876,17,0.907692308,0.157692308,0.392307692,0,0,0.157692308,0,0,0,0,0,0,0,0,0,0.107692308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRONTE PARK CASHCOIN ROWDY-ET - ROWLING,18,0.453846154,0.157692308,0,0.446153846,0.442307692,0.157692308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MR AMERICA CHACAL - 29HO17762,19,0.453846154,0.157692308,0,0.446153846,0.442307692,0.157692308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WILARA JOSUPER JO-ET - GILES,20,0.453846154,0.157692308,0.196153846,0,0,0,0.415384615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.226923077,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RENGAW KINGBOY 9970-ET - GHOSTLY,21,0.453846154,0.157692308,0.196153846,0,0,0,0.415384615,0,0,0,0,0,0,0,0,0.107692308,0,0,0,0.107692308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE SU 12128 TAILOR - 29HO17706,22,0.453846154,0.157692308,0.196153846,0.446153846,0,0.157692308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DENMIRE OVERSIDE MACARENA - CBMACARENA,23,0.453846154,0.157692308,0,0,0,0.157692308,0.415384615,0,0,0,0,0,0,0,0,0.107692308,0,0,0,0.107692308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DG VEKIS BOSS - AIBLOOPER,24,0.453846154,0.157692308,0.196153846,0,0,0.157692308,0,0,0,0,0,0,0,0,0.238461538,0.107692308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PLAIN-KNOLL DONA BAYONET-ET - 7HO12236,25,0.453846154,0.315384615,0.196153846,0,0,0.315384615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FARNEAR-TBR-BH FLAMER-ET - FLAMER,26,0,0.315384615,0.196153846,0,0,0.315384615,0,0,0,0,0,0,0,0,0.238461538,0,0,0,0,0,0,0,0,0.065384615,0.065384615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DUPASQUIER PRIZIM - CBPRIZIM,27,0.453846154,0.157692308,0.196153846,0,0,0.157692308,0,0,0,0,0,0,0,0,0,0.107692308,0,0,0,0,0,0,0,0,0,0,0,0,0.019230769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RENGAW CAPGAIN JELLY-ET - JELLY,28,0,0.473076923,0.196153846,0,0,0.157692308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.065384615,0.065384615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE-SU 12659 TACTIC - 29HO17919,29,0.453846154,0.157692308,0.196153846,0,0,0,0,0,0,0,0,0,0,0,0,0.107692308,0,0,0,0,0,0,0,0,0,0,0,0,0.019230769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABS JERRICK-ET - 29HO18059,30,0.453846154,0,0,0,0,0,0.415384615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019230769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RENGAW REDMAW KB 9975-ET - KINGTUT,31,0,0.315384615,0.196153846,0,0,0.157692308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.065384615,0.065384615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COGENT PEAK ALEX - CBPEAKALEX,32,0.453846154,0,0.196153846,0,0,0,0,0,0,0,0,0,0,0,0,0.107692308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SANDY-VALLEY FIVESTAR-ET - 29HO18233,33,0,0.157692308,0.392307692,0,0,0,0,0,0,0,0,0,0,0,0,0.107692308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MR SEAGULL-BAY SANDAL-ET - 29HO18161,34,0.453846154,0.157692308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019230769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRABANTDALE BLUEBELL - 29HO18199,35,0.453846154,0.157692308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019230769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WILDER HAMLET - 29HO17334,36,0.453846154,0.157692308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEAGULL-BAY TRUE PP - 7HO12814,37,0.453846154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.107692308,0,0,0,0,0,0,0,0,0,0,0,0,0.019230769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE-SU 11231 TURVY-ET - 29HO16668,38,0,0.157692308,0,0,0,0.157692308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.065384615,0.065384615,0,0.092307692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE-SU 11228 TOPSY-ET - 29HO16667,39,0,0.157692308,0,0,0,0.157692308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.065384615,0.065384615,0,0.092307692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABS MARION-ET - 29HO18009,40,0.453846154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019230769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDG ABS JERICHO-ET - 29HO18110,41,0,0.157692308,0.196153846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019230769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COMFORT MONTEREY MONEYMAN-ET - 29HO18094,42,0,0.157692308,0.196153846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LARCREST CALUMET-ET - 29HO18101,43,0,0.157692308,0.196153846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABS MACINTOSH-ET - 29HO17989,44,0,0.157692308,0.196153846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEAGULL-BAY JO DANCER-ET - 29HO18018,45,0,0.157692308,0.196153846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LARCREST CAYLE-ETS - 29HO18041,46,0,0.157692308,0.196153846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GIN JINGO - 29HO17285,47,0,0.157692308,0,0,0,0.157692308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COOCKIECUTTER HARPER - 29HO17747,48,0,0.157692308,0,0,0,0.157692308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NO-FLA MERIT-ET - 29HO18045,49,0,0,0.196153846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
