column,Row Order,O-BEE MANFRED JUSTICE,BRAEDALE GOLDWYN,ENSENADA TABOO PLANET ET,PICSTON SHOTTLE,HILL VALLEY BASAR ACME,LONG-LANGS OMAN OMAN,CARENDA FABULON-ET,SHOREMAR JAMES,JOCKO BESN,ROSE-BAUM TABOO,HA-HO CUBBY MANFRED-ET,BASAR,BUNDALONG MARKS MEDALLION,ROUMARE,MANNA FARM DEL SANTO,GIBBON,MAUGHLIN STORM,Q250 BESNE BUCK,CAROL PRELUDE MTOTO ET,ETAZON KNOCK OUT,GLENN-ANN PALERMO,JARDIN,A MARK CJ GILBROOK GRAND ET,FATAL,DIXIE-LEE AARON -ET,SANDY-VALLEY BOLTON,EMPRISE BELL ELTON,MADAWASKA AEROSTAR,END-ROAD BLACKSTAR MAJIC-ET,OUT-JOCK CHOICE AMEL,STARTMORE RUDOLPH,OSDEL-ENDEAVOR BOVA CUBBY,A RONNYBROOK PRELUDE ET,EMERALD-ACRES-SA TONIC ET,WALKWAY CHIEF MARK,BADGER-BLUFF FANNY FREDDIE,CHARLESDALE SUPERSTITION,COUNTRY ROAD ROUMARE CANBEE,COYNE-FARMS DORCY,DELTA PARAMOUNT,EMERALD-ACR-SA T-BAXTER,END-ROAD BEACON,END-ROAD PVF BOLIVER,FUSTEAD EMORY BLITZ,LARS-ACRES SHOT TRIGGER,MR CHASSITY GOLD CHIP,RAMOS,REGANCREST ALTAIOTA,RICH-RO MARK SAM -ET,UFM-DUBS ALTAESQUIRE
Column Order,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
CARENDA PERTINENT - PERTINENT,1,0,0.755306566,0.219339623,0,0.590801057,0,0.745870491,0.188677434,0,0.054833962,0,0.199288604,0,0,0.219339623,0,0,0,0,0,0.235849057,0,0,0,0,0,0,0,0,0,0.014739623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MANNA FARM SHAN 2716 - WENTWORTH,2,0.429244679,0,0.219339623,0,0.590801057,0.273584906,0,0,0,0.054833962,0.108487396,0.199288604,1,0,0,0,0,0,0,0.311317283,0,0,0,0,0.017097962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HINDLEE PICOLA GOLDCHIPDREAM 1418-ET - MICROCHIP,3,0,0.755306566,0.219339623,0.179244981,0.590801057,0,0.745870491,0.188677434,0,0.054833962,0,0.199288604,0,0,0.219339623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KIRK ANDREWS PICOLA M122 - TEMPTATION,4,0,0,0.219339623,0,0.590801057,0,0.745870491,0,0.386788075,0.054833962,0,0.199288604,0,0.317216755,0.219339623,0.252940377,0,0.079595774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CARENDA VERMOUTH 394 - VERMOUTH,5,0,0,0.219339623,0,0.590801057,0,0.745870491,0,0.386788075,0.054833962,0,0.199288604,0,0,0.219339623,0,0,0.079595774,0,0,0,0.193985811,0,0,0,0,0,0,0,0,0,0,0,0.011202113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CALISTER CANJAM 143-ET - CANJAM,6,0.429244679,0,0,0,0.590801057,0.273584906,0,0,0.386788075,0,0.108487396,0.199288604,0,0.317216755,0,0.252940377,0,0.079595774,0,0,0,0,0,0,0.017097962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEWHOUSE SKYFALL - CRVSKYFALL,7,0.429244679,0.762382038,0,0,0,0.273584906,0,0.19044634,0,0,0.108487396,0,0,0,0,0,0.127943396,0,0,0,0,0,0.044219019,0,0.017097962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RENGAW PREDESTINE MANSHED - MANSHED,8,0.429244679,0.755306566,0.219339623,0.179244981,0,0,0,0.188677434,0,0.054833962,0.108487396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DELTA CUPIDO - CRVCUPIDO,9,0,0.755306566,0,0.188089358,0,0,0,0.188677434,0.386788075,0,0,0,0,0,0,0,0,0.079595774,0.056601811,0,0,0,0,0.177472906,0,0,0,0.022404226,0,0,0,0,0.010023094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
