column,Row Order,O-BEE MANFRED JUSTICE,HA-HO CUBBY MANFRED-ET,GIBBON,JOCKO BESN,CARENDA FABULON-ET,EMPRISE BELL ELTON,CAROL PRELUDE MTOTO ET,BRAEDALE GOLDWYN,MAUGHLIN STORM,MADAWASKA AEROSTAR,PICSTON SHOTTLE,ENSENADA TABOO PLANET ET,ROSE-BAUM TABOO,Q250 BESNE BUCK,OSDEL-ENDEAVOR BOVA CUBBY,ROUMARE,ELITE MOUNTAIN DONOR IMP (E_T),ELITE GOLD BULLION-IMP-ET,A MARK CJ GILBROOK GRAND ET,BIS-MAY TRADITION CLEITUS,HILL VALLEY BASAR ACME,BIS-MAY S-E-L MOUNTAIN ET,BASAR,A RONNYBROOK PRELUDE ET,END-ROAD BLACKSTAR MAJIC-ET,OUT-JOCK CHOICE AMEL,DIXIE-LEE AARON -ET,LONG-LANGS OMAN OMAN,HANOVERHILL STARBUCK,ETAZON KNOCK OUT,BUSHLEA WAVES FABULON,AG-HIGH SIGHTS BS INGOT-ET,BELT,ROTHROCK TRADITION LEADMAN,LEKKER VALIANT ROYALTY,MJR BLACKSTAR EMORY-ET,MANNA FARM DEL SANTO,LYLEHAVEN AMBITION ET,JARDIN,BUSHLEA PERFECTOR BOLD-ET,HINDLEE MOM  R DALLAS 11910,RENGAW MANOMAN WRANGLER-ET,ATHOL M K VULCAN,ETAZON JIMTOWN,FULLERTONS WARD,HIBI SECRET SKELTON,KAPAWAI JIMTOWN POSH,LLOYDS EXCELLENCY,MCMILLANS TROPHY,SCOTTS NORTHSEA
Column Order,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
KAARMONA CARLUSH-ET - CARLUSH,1,0,0,1,0.411538462,0.486538462,0,0,0,0,0,0,0,0,0.188461538,0,0.190384615,0,0.292307692,0,0,0,0,0,0,0,0,0,0,0,0,0.161538462,0.086538462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TOPSPEED GOLDYN-ET - GOLDCREST,2,0,0,0,0,0,0,0,0.223076923,0.282692308,0.142307692,0,0,0,0,0,0,0.921153846,0,0.136538462,0,0,0.582692308,0,0,0,0,0,0,0,0,0,0,0,0,0.130769231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MANNA FARM DEL SANTO - DELSANTO,3,0,0,0.5,0,0.486538462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.292307692,0,0.290384615,0,0,0,0,0,0.05,0,0,0,0.096153846,0,0,0,0.038461538,0,0,0,0,0,0,0,0,0,0,0,0,0
KAARMONA CARLANA - CARLANA,4,0.226923077,0.207692308,0.5,0,0.486538462,0.113461538,0,0,0,0,0,0,0,0,0.05,0,0,0.292307692,0,0,0,0,0,0,0,0,0,0,0,0,0.161538462,0.086538462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BUSHLEA PERFECTOR BOLD-ET - BUDDHA,5,0,0,0.5,0,0.486538462,0,0,0.223076923,0.282692308,0.142307692,0,0,0,0,0,0,0,0,0.136538462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.042307692,0,0,0,0,0,0,0,0,0,0
EMU BANKS CHRISTMAS-ET - CHRISTMAS,6,0,0,0.5,0.411538462,0,0,0,0,0,0,0,0,0,0.188461538,0,0.190384615,0,0.292307692,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0.086538462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADLEJAMA DELSANTO PICOLA - PICOLA,7,0,0,0.5,0,0.486538462,0,0,0,0,0,0,0.078846154,0.078846154,0,0,0,0,0,0,0,0.292307692,0,0.290384615,0,0.032692308,0.032692308,0,0,0,0,0,0,0.096153846,0,0,0,0.038461538,0,0,0,0,0,0,0,0,0,0,0,0,0
HINDLEE MOM  R DALLAS 11910 - JAYR,8,0.226923077,0.207692308,0.5,0.411538462,0,0.113461538,0,0,0,0,0,0,0,0.188461538,0.05,0.190384615,0,0,0,0,0,0,0,0,0,0,0.053846154,0.053846154,0,0,0,0,0,0,0,0,0,0,0,0,0.019230769,0,0,0,0,0,0,0,0,0
JET STAR MANOMAN TRICKIN - TRICKIN,9,0.226923077,0.207692308,0.5,0.411538462,0,0.113461538,0,0,0,0,0,0,0,0.188461538,0.05,0.190384615,0,0,0,0,0,0,0,0,0,0,0.053846154,0.053846154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAIRE MINT FIRE-UP - NZGFIREUP,10,0.226923077,0.207692308,0,0,0,0.113461538,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.384615385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PETHERTON DENSITY - 0200HO02700,11,0.226923077,0.207692308,0,0,0,0.113461538,0,0.223076923,0.282692308,0,0,0,0,0,0.05,0,0,0,0.136538462,0,0,0,0,0,0,0,0.053846154,0.053846154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GEN-I-BEQ LAVAMAN - 0200HO06267,12,0.226923077,0.207692308,0,0,0,0.113461538,0,0.223076923,0.282692308,0,0,0,0,0,0.05,0,0,0,0.136538462,0,0,0,0,0,0,0,0.053846154,0.053846154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VH MIRACLE - VIKVHMIRACLE,13,0,0,0.5,0.411538462,0,0,0.119230769,0,0,0,0,0,0,0.188461538,0,0.190384615,0,0,0,0,0,0,0,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WINTERSELL MILO - CBWINTERSELL,14,0.226923077,0.207692308,0,0,0,0.113461538,0,0.223076923,0.282692308,0,0,0,0,0,0.05,0,0,0,0.136538462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RENGAW JARDIN JANEK - JANEK,15,0,0,0,0.411538462,0,0,0.119230769,0,0,0.071153846,0.098076923,0,0,0.188461538,0,0,0,0,0,0.198076923,0,0,0,0.025,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0.053846154,0,0,0,0,0,0,0,0,0,0,0
DE-SU ALTAMELHOR - 011HO11077,16,0.226923077,0.207692308,0,0,0,0.113461538,0.119230769,0.223076923,0,0.071153846,0.098076923,0,0,0,0.05,0,0,0,0,0,0,0,0,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ROYLANE BOXER PUNCH 4311-ET - 7HO11207,17,0.226923077,0.207692308,0,0,0,0.113461538,0.119230769,0.223076923,0,0.071153846,0.098076923,0,0,0,0.05,0,0,0,0,0,0,0,0,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
