column,Row Order,O-BEE MANFRED JUSTICE,BRAEDALE GOLDWYN,CARENDA FABULON-ET,ENSENADA TABOO PLANET ET,HA-HO CUBBY MANFRED-ET,BUSHLEA WAVES FABULON,LONG-LANGS OMAN OMAN,PICSTON SHOTTLE,JOCKO BESN,GIBBON,ROUMARE,HILL VALLEY BASAR ACME,ELITE MOUNTAIN DONOR IMP (E_T),CAROL PRELUDE MTOTO ET,ROSE-BAUM TABOO,BUSHLEA PERFECTOR BOLD-ET,MAUGHLIN STORM,EMPRISE BELL ELTON,MANNA FARM DEL SANTO,ELITE GOLD BULLION-IMP-ET,Q250 BESNE BUCK,HINDLEE MOM  R DALLAS 11910,MADAWASKA AEROSTAR,BASAR,RENGAW MANOMAN WRANGLER-ET,OSDEL-ENDEAVOR BOVA CUBBY,ETAZON KNOCK OUT,BIS-MAY S-E-L MOUNTAIN ET,A MARK CJ GILBROOK GRAND ET,JARDIN,A RONNYBROOK PRELUDE ET,END-ROAD BLACKSTAR MAJIC-ET,OUT-JOCK CHOICE AMEL,DIXIE-LEE AARON -ET,BIS-MAY TRADITION CLEITUS,HANOVERHILL STARBUCK,AG-HIGH SIGHTS BS INGOT-ET,BELT,LEKKER VALIANT ROYALTY,ROTHROCK TRADITION LEADMAN,LYLEHAVEN AMBITION ET,MJR BLACKSTAR EMORY-ET,ATHOL M K VULCAN,ETAZON JIMTOWN,FULLERTONS WARD,HIBI SECRET SKELTON,KAPAWAI JIMTOWN POSH,LLOYDS EXCELLENCY,MCMILLANS TROPHY,SCOTTS NORTHSEA
Column Order,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
KAARMONA CARLUSH-ET - CARLUSH,1,0,0,0.535115559,0,0,1,0,0,0.274244388,0.181014582,0.224916227,0,0,0,0,0,0,0,0,0.117890033,0.056435799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019229538,0,0,0,0,0,0,0,0,0,0,0,0,0
KAARMONA CARLANA - CARLANA,2,0.30936412,0,0.535115559,0,0.078175037,1,0,0,0,0.180596548,0,0,0,0,0,0,0,0.025082007,0,0.117890033,0,0,0,0,0,0.011286903,0,0,0,0,0,0,0,0,0,0,0.019229538,0,0,0,0,0,0,0,0,0,0,0,0,0
BUSHLEA PERFECTOR BOLD-ET - BUDDHA,3,0,0.560618702,0.535115559,0,0,0,0,0,0,0.180596548,0,0,0,0,0,0.642140468,0.091969926,0,0,0,0,0,0.016303304,0,0,0,0,0,0.032606823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TOPSPEED GOLDYN-ET - GOLDCREST,4,0,0.560618702,0,0,0,0,0,0,0,0,0,0,0.839040856,0,0,0,0.091969926,0,0,0,0,0,0.016303304,0,0,0,0,0.213622475,0.032606823,0,0,0,0,0,0,0,0,0,0.028844308,0,0,0,0,0,0,0,0,0,0,0
MANNA FARM DEL SANTO - DELSANTO,5,0,0,0.535115559,0,0,0,0,0,0,0.180596548,0,0.443979344,0,0,0,0,0,0,0.202341137,0,0,0,0,0.147572548,0,0,0,0,0,0,0,0,0,0,0,0.011286903,0,0.026336535,0,0,0,0,0,0,0,0,0,0,0,0
ADLEJAMA DELSANTO PICOLA - PICOLA,6,0,0,0.530098836,0.160535117,0,0,0,0,0,0.179342341,0,0.423912455,0,0,0.040133137,0,0,0,0.175585284,0,0,0,0,0.142555826,0,0,0,0,0,0,0,0.007524602,0.007524602,0,0,0,0,0.025082328,0,0,0,0,0,0,0,0,0,0,0,0
HINDLEE MOM  R DALLAS 11910 - JAYR,7,0.30936412,0,0,0,0.078175037,0,0.214046823,0,0.274244388,0.179342341,0.224916227,0,0,0,0,0,0,0.025082007,0,0,0.056435799,0.321070234,0,0,0,0.011286903,0,0,0,0,0,0,0,0.013377177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GEN-I-BEQ LAVAMAN - 0200HO06267,8,0.30936412,0.540551813,0,0,0.078175037,0,0.214046823,0,0,0,0,0,0,0,0,0,0.090715719,0.025082007,0,0,0,0,0,0,0,0.011286903,0,0,0.031352615,0,0,0,0,0.013377177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PETHERTON DENSITY - 0200HO02700,9,0.30936412,0.540551813,0,0,0.078175037,0,0.214046823,0,0,0,0,0,0,0,0,0,0.090715719,0.025082007,0,0,0,0,0,0,0,0.011286903,0,0,0.031352615,0,0,0,0,0.013377177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
