column,Row Order,O-BEE MANFRED JUSTICE,MAUGHLIN STORM,JOCKO BESN,HA-HO CUBBY MANFRED-ET,Q250 BESNE BUCK,PICSTON SHOTTLE,HILL VALLEY BASAR ACME,BASAR,GIBBON,CARENDA FABULON-ET,MADAWASKA AEROSTAR,EMPRISE BELL ELTON,BRAEDALE GOLDWYN,SHOREMAR JAMES,CAROL PRELUDE MTOTO ET,SHOREMAR PERFECT STAR (ET),A MARK CJ GILBROOK GRAND ET,ROUMARE,JARDIN,BELT,OSDEL-ENDEAVOR BOVA CUBBY,A RONNYBROOK PRELUDE ET,EMERALD-ACRES-SA TONIC ET,MARA-THON BW MARSHALL,FATAL,JENNY-LOU MRSHL TOYSTORY,BADGER-BLUFF FANNY FREDDIE,REGANCREST ELTON DURHAM,WALKWAY CHIEF MARK,SKALSUMER SUNNY BOY,REGANCREST RBK DIE-HARD,PIROLO GOLDW_ WYMAN,KOLHORNER SUNSHINE,CHARLESDALE SUPERSTITION,COYNE-FARMS DORCY,DE-KA-ACRES MOUNT EARL,DE-SU OBSERVER,EMERALD-ACR-SA T-BAXTER,END-ROAD BLACKSTAR MAJIC-ET,END-ROAD PVF BOLIVER,ENSENADA TABOO PLANET ET,GENERVATIONS EPIC,MOUNTFIELD SSI DCY MOGUL,RAMOS,RIDGE-STAR JAMMER,ROSE-BAUM TABOO,SANDY-VALLEY BOLTON,SEAGULL-BAY SUPERSIRE,STARTMORE RUDOLPH,VA-EARLY-DAWN SUDAN CRI-ET
Column Order,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
MANNA FARM DELANO - DELANO,1,0,0,0.574468085,0,0.515957447,0,0.324468085,0.319148936,1,0.29787234,0,0,0,0,0,0.468085106,0,0.159574468,0,0.255319149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COUNTRY ROAD ROYALMAN 4198-ET - PROVINCE,2,0.207446809,0.632978723,0.574468085,0.207446809,0.515957447,0,0,0,0.5,0,0,0,0.106382979,0.106382979,0,0,0.111702128,0.159574468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HINDLEE GOLDWYN OMANROYAL 121003 - ROYALMAN,3,0.207446809,0.632978723,0,0.207446809,0,0,0,0,0,0,1,0.377659574,0.106382979,0.106382979,0,0,0.111702128,0,0,0,0.127659574,0,0,0,0,0,0,0,0.090425532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HINDLEE PICOLA ROYALROUMARE 1414-ET - ROYALPIC,4,0,0,0.574468085,0,0.515957447,0,0.324468085,0.319148936,0.5,0.29787234,0,0,0,0,0,0,0,0.159574468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DELTA CUPIDO - CRVCUPIDO,5,0,0,0.574468085,0,0.515957447,0.164893617,0,0,0,0,0.5,0,0.106382979,0.106382979,0.164893617,0,0,0,0,0,0,0.164893617,0,0,0.308510638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CARENDA REACTOR 352 - REACTOR,6,0,0,0.574468085,0,0.515957447,0,0.324468085,0.319148936,0,0.29787234,0,0,0,0,0,0,0,0,0.276595745,0,0,0,0.234042553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CARENDA VERMOUTH 394 - VERMOUTH,7,0,0,0.574468085,0,0.515957447,0,0.324468085,0.319148936,0,0.29787234,0,0,0,0,0,0,0,0,0.276595745,0,0,0,0.234042553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WARRAMONT NUMBERONE DUDE - ASHMARK,8,0.207446809,0,0.574468085,0.207446809,0.515957447,0.164893617,0,0,0.5,0,0,0,0,0,0.164893617,0,0,0.159574468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADLEJAMA DELSANTO PICOLA - PICOLA,9,0,0,0,0,0,0,0.324468085,0.319148936,0.5,0.29787234,0,0,0,0,0,0.468085106,0,0,0,0.255319149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
