column,Row Order,O-BEE MANFRED JUSTICE,PICSTON SHOTTLE,HILL VALLEY BASAR ACME,JOCKO BESN,ROUMARE,JARDIN,BRAEDALE GOLDWYN,CARENDA FABULON-ET,BASAR,MAUGHLIN STORM,HA-HO CUBBY MANFRED-ET,Q250 BESNE BUCK,JENNY-LOU MRSHL TOYSTORY,GIBBON,BADGER-BLUFF FANNY FREDDIE,SHOREMAR JAMES,CAROL PRELUDE MTOTO ET,MARA-THON BW MARSHALL,PIROLO GOLDW_ WYMAN,MADAWASKA AEROSTAR,EMPRISE BELL ELTON,EMERALD-ACRES-SA TONIC ET,SHOREMAR PERFECT STAR (ET),A MARK CJ GILBROOK GRAND ET,FATAL,A RONNYBROOK PRELUDE ET,BELT,OSDEL-ENDEAVOR BOVA CUBBY,REGANCREST ELTON DURHAM,REGANCREST RBK DIE-HARD,KOLHORNER SUNSHINE,SKALSUMER SUNNY BOY,WALKWAY CHIEF MARK,CHARLESDALE SUPERSTITION,COYNE-FARMS DORCY,DE-KA-ACRES MOUNT EARL,DE-SU OBSERVER,EMERALD-ACR-SA T-BAXTER,END-ROAD BLACKSTAR MAJIC-ET,END-ROAD PVF BOLIVER,ENSENADA TABOO PLANET ET,GENERVATIONS EPIC,MOUNTFIELD SSI DCY MOGUL,RAMOS,RIDGE-STAR JAMMER,ROSE-BAUM TABOO,SANDY-VALLEY BOLTON,SEAGULL-BAY SUPERSIRE,STARTMORE RUDOLPH,VA-EARLY-DAWN SUDAN CRI-ET
Column Order,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
CARENDA REACTOR 352 - REACTOR,1,0,0,0.379807664,0.443618573,0,1,0,0.148164028,0.094842294,0,0,0.109701483,0,0,0,0,0,0,0,0,0,0.06162551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CARENDA VERMOUTH 394 - VERMOUTH,2,0,0,0.379807664,0.443618573,0,1,0,0.148164028,0.094842294,0,0,0.109701483,0,0,0,0,0,0,0,0,0,0.06162551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MANNA FARM DELANO - DELANO,3,0,0,0.38505242,0.443618573,0.589160839,0,0,0.149475245,0.09615351,0,0,0.109701483,0,0.110138406,0,0,0,0,0,0,0,0,0.057253147,0,0,0,0.02272593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HINDLEE PICOLA ROYALROUMARE 1414-ET - ROYALPIC,4,0,0,0.379807664,0.443618573,0.589160839,0,0,0.148164028,0.094842294,0,0,0.109701483,0,0.109701371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WARRAMONT NUMBERONE DUDE - ASHMARK,5,0.195804196,0.23951049,0,0.443618573,0.589160839,0,0,0,0,0,0.048950601,0.109701483,0,0.109701371,0,0,0.059877594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COUNTRY ROAD ROYALMAN 4198-ET - PROVINCE,6,0.195804196,0,0,0.443618573,0.589160839,0,0.131118881,0,0,0.125872336,0.048950601,0.109701483,0,0.109701371,0,0.032779636,0,0,0,0,0,0,0,0.009614769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADLEJAMA PICOLA FAROUK - LJCOOL,7,0.194492979,0,0.379807664,0,0,0,0.125874126,0.148164028,0.094842294,0,0,0,0,0,0,0.03146842,0,0,0.258741259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DELTA CUPIDO - CRVCUPIDO,8,0,0.244755245,0,0.443618573,0,0,0.125874126,0,0,0,0,0.109701483,0,0,0,0.03146842,0.061188811,0,0,0.042829538,0,0,0,0,0.049386965,0.015296336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HINDLEE PICOLA GOLDCHIPDREAM 1418-ET - MICROCHIP,9,0,0.238199273,0.379807664,0,0,0,0.125874126,0.148164028,0.094842294,0,0,0,0,0,0,0.03146842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
