column,Row Order,O-BEE MANFRED JUSTICE,BRAEDALE GOLDWYN,ENSENADA TABOO PLANET ET,HA-HO CUBBY MANFRED-ET,LONG-LANGS OMAN OMAN,ROUMARE,JOCKO BESN,HILL VALLEY BASAR ACME,SHOREMAR JAMES,BUSHLEA PERFECTOR BOLD-ET,ROSE-BAUM TABOO,DE-SU OBSERVER,CARENDA FABULON-ET,MAUGHLIN STORM,GIBBON,PICSTON SHOTTLE,ELITE MOUNTAIN DONOR IMP (E_T),EMPRISE BELL ELTON,OSDEL-ENDEAVOR BOVA CUBBY,SINGING-BROOK N-B MASCOT ET,Q250 BESNE BUCK,ELITE GOLD BULLION-IMP-ET,BASAR,CAROL PRELUDE MTOTO ET,OUT-JOCK CHOICE AMEL,A MARK CJ GILBROOK GRAND ET,TO-MAR BLACKSTAR ET,COUNTRY ROAD ROUMARE CANBEE,ETAZON KNOCK OUT,MADAWASKA AEROSTAR,END-ROAD BLACKSTAR MAJIC-ET,BUSHLEA WAVES FABULON,DIXIE-LEE AARON -ET,BIS-MAY S-E-L MOUNTAIN ET,SOUTHWIND BELL OF BAR-LEE,ROYLANE SOCRA ROBUST,SHOREMAR PERFECT STAR (ET),HANOVERHILL STARBUCK,MANNA FARM DEL SANTO,FAIRMONT MINT-EDITION,AG-HIGH SIGHTS BS INGOT-ET,A RONNYBROOK PRELUDE ET,BELT,FATAL,NORRIELAKE CLEITUS LUKE TWIN,STARTMORE RUDOLPH,WALKWAY CHIEF MARK,BIS-MAY TRADITION CLEITUS,ETAZON CELSIUS,CARLIN-M IVANHOE BELL
Column Order,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
FARNEAR-TBR-BH CASHCOIN-ET - JSCASHCOIN,1,0.801391988,0.661607381,0.417457863,0.197972464,0,0,0,0,0.165085083,0,0.104363778,0.688172962,0,0.119540339,0,0,0,0,0,0,0,0,0,0,0.026564124,0.039213229,0,0,0,0,0.023401767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FARNEAR-TBR-BH CASHMONEY-ET - JSCASHMONEY,2,0.801391988,0.661607381,0.417457863,0.197972464,0,0,0,0,0.165085083,0,0.104363778,0.688172962,0,0.119540339,0,0,0,0,0,0,0,0,0,0,0.026564124,0.039213229,0,0,0,0,0.023401767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COUNTRY ROAD ROUMARE CANBEE - CANBEE,3,0,0,0,0,0,0.795699745,0.428841863,0.969639428,0,0,0,0,0,0,0.131557944,0,0,0,0,0,0.102464582,0,0.239719303,0,0,0,0,0.333966291,0,0,0,0,0,0,0.041110805,0,0.081590434,0.020239248,0,0,0,0,0.049333258,0,0,0,0,0,0,0
JET STAR MANOMAN TRICKIN - TRICKIN,4,0.808982131,0,0,0.199870041,0.627451819,0.765339173,0.42125172,0,0,0,0,0,0,0,0.129660368,0,0,0.036684315,0.035419372,0,0.100567006,0,0,0,0,0,0,0,0,0,0,0,0.040479953,0,0,0,0,0,0,0,0,0,0,0,0.010752014,0,0,0,0,0
PETHERTON DENSITY - 0200HO02700,5,0.808982131,0.661607381,0,0.199870041,0.627451819,0,0,0,0.165085083,0,0,0,0,0.119540339,0,0,0,0.036684315,0.035419372,0,0,0,0,0,0,0.039213229,0,0,0,0,0,0,0.040479953,0,0,0,0,0,0,0,0,0,0,0,0.010752014,0,0,0,0,0
GEN-I-BEQ LAVAMAN - 0200HO06267,6,0.808982131,0.661607381,0,0.199870041,0.627451819,0,0,0,0.165085083,0,0,0,0,0.119540339,0,0,0,0.036684315,0.035419372,0,0,0,0,0,0,0.039213229,0,0,0,0,0,0,0.040479953,0,0,0,0,0,0,0,0,0,0,0,0.010752014,0,0,0,0,0
MANNA FARM MCCUTCHEN 2701-ET - ZOLTAN,7,0,0.654017238,0.40986772,0,0,0,0,0,0.163187507,0.708413344,0.102466201,0,0.324477762,0,0,0.076533739,0,0,0,0,0,0,0,0.030360086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BUSHLEA PERFECTOR BOLD-ET - BUDDHA,8,0,0.691967953,0,0,0,0,0,0,0.172675226,0.779254678,0,0,0.333965481,0.121437916,0.131557944,0,0,0,0,0.070837286,0,0,0,0,0,0.041110805,0,0,0,0.02023941,0,0,0,0,0.040478334,0,0,0,0,0,0,0,0,0,0,0,0.012017281,0,0,0
KAARMONA CARLANA - CARLANA,9,0.808982131,0,0,0.199870041,0,0,0,0,0,0,0,0,0.333965481,0,0.131557944,0,0,0.036684315,0.035419372,0.070837286,0,0.296645618,0,0,0,0,0,0,0,0,0,0.296015576,0,0,0.040478334,0,0,0,0,0,0.064513705,0,0,0,0,0,0,0,0,0
