column,Row Order,O-BEE MANFRED JUSTICE,PICSTON SHOTTLE,HA-HO CUBBY MANFRED-ET,ENSENADA TABOO PLANET ET,BRAEDALE GOLDWYN,ROSE-BAUM TABOO,SHOREMAR JAMES,CAROL PRELUDE MTOTO ET,BASAR,HILL VALLEY BASAR ACME,MAUGHLIN STORM,MADAWASKA AEROSTAR,JOCKO BESN,Q250 BESNE BUCK,CARENDA FABULON-ET,A MARK CJ GILBROOK GRAND ET,GIBBON,EMPRISE BELL ELTON,A RONNYBROOK PRELUDE ET,OUT-JOCK CHOICE AMEL,SANDY-VALLEY BOLTON,END-ROAD BLACKSTAR MAJIC-ET,OSDEL-ENDEAVOR BOVA CUBBY,MARA-THON BW MARSHALL,STARTMORE RUDOLPH,END-ROAD PVF BOLIVER,EMERALD-ACRES-SA TONIC ET,ADLEJAMA DELSANTO PICOLA,MANNA FARM DEL SANTO,ETAZON KNOCK OUT,WALKWAY CHIEF MARK,JARDIN,BUNDALONG MARKS MEDALLION,FATAL,ROUMARE,REGANCREST ALTAIOTA,RICH-RO MARK SAM -ET,UFM-DUBS ALTAESQUIRE,BADGER-BLUFF FANNY FREDDIE,COUNTRY ROAD ROUMARE CANBEE,COYNE-FARMS DORCY,DELTA PARAMOUNT,DIXIE-LEE AARON -ET,EMERALD-ACR-SA T-BAXTER,END-ROAD BEACON,FUSTEAD EMORY BLITZ,GLENN-ANN PALERMO,LARS-ACRES SHOT TRIGGER,LONG-LANGS OMAN OMAN,RAMOS
Column Order,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
HINDLEE GOLDWYN OMANROYAL 121003 - ROYALMAN,1,0.5,0,0.423469388,0,0.209183673,0,0.209183673,0,0,0,0.43877551,0.775510204,0,0,0,0.163265306,0,0.275510204,0,0,0,0,0.132653061,0,0,0,0,0,0,0,0.096938776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CALISTER CANJAM 143-ET - CANJAM,2,0.5,0,0.423469388,0,0,0,0,0,0.346938776,0.336734694,0,0,0.234693878,0.214285714,0,0,0.198979592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015306122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE SU 11949 PENALTY - 29HO17732,3,0,0.683673469,0,0.081632653,0.209183673,0.081632653,0.209183673,0.357142857,0,0,0,0.387755102,0,0,0,0,0,0,0.229591837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DELTA CUPIDO - CRVCUPIDO,4,0,0.341836735,0,0,0.209183673,0,0.209183673,0.357142857,0,0,0,0.387755102,0.234693878,0.214285714,0,0,0,0,0.229591837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045918367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOUW ROCKY - CRVBOUWROCKY,5,0.5,0.341836735,0.423469388,0.081632653,0,0.081632653,0,0.357142857,0,0,0,0,0,0,0,0,0,0,0,0.076530612,0,0.051020408,0,0.102040816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MANNA FARM SHAN 2716 - WENTWORTH,6,0.5,0,0.423469388,0.081632653,0,0.081632653,0,0,0.346938776,0.336734694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102040816,0,0,0.086734694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEWHOUSE SKYFALL - CRVSKYFALL,7,0.5,0,0.423469388,0,0.209183673,0,0.209183673,0,0,0,0.43877551,0,0,0,0,0.163265306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HINDLEE PICOLA GOLDCHIPDREAM 1418-ET - MICROCHIP,8,0,0.341836735,0,0.081632653,0.209183673,0.081632653,0.209183673,0,0.346938776,0.336734694,0,0,0,0,0.224489796,0,0,0,0,0,0,0,0,0,0,0,0,0.030612245,0.030612245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RENGAW PREDESTINE MANSHED - MANSHED,9,0.5,0.341836735,0.423469388,0.081632653,0.209183673,0.081632653,0.209183673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005102041,0.005102041,0,0,0,0,0,0,0,0,0,0,0,0
ABS MYSTICAL - 29HO17876,10,1,0.683673469,0,0.081632653,0,0.081632653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CARENDA VERMOUTH 394 - VERMOUTH,11,0,0,0,0.081632653,0,0.081632653,0,0,0.346938776,0.336734694,0,0,0.234693878,0.214285714,0.224489796,0,0,0,0,0,0,0,0,0,0,0,0.147959184,0.030612245,0.030612245,0,0,0.091836735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KIRK ANDREWS PICOLA M122 - TEMPTATION,12,0,0,0,0.081632653,0,0.081632653,0,0,0.346938776,0.336734694,0,0,0.234693878,0.214285714,0.224489796,0,0.198979592,0,0,0,0,0,0,0,0,0,0,0.030612245,0.030612245,0,0,0,0,0,0.015306122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE-SU 11756 OCTAVIAN-ET - 29HO17509,13,0.5,0.341836735,0.423469388,0.081632653,0,0.081632653,0,0.357142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WILARA JOSUPER JO-ET - GILES,14,0.5,0.341836735,0.423469388,0.081632653,0,0,0,0,0,0,0,0,0,0,0,0,0,0.275510204,0,0,0,0,0.132653061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GLOMAR SUPERLUCKY-ET - SUPERLUCKY,15,0.5,0,0,0.081632653,0.209183673,0.081632653,0.209183673,0,0,0,0.43877551,0,0,0,0,0.163265306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GLOMAR SUPER LUCKYBRO - ET - LUCKYBRO,16,0.5,0,0,0.081632653,0.209183673,0.081632653,0.209183673,0,0,0,0.43877551,0,0,0,0,0.163265306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CARENDA PERTINENT - PERTINENT,17,0,0,0,0.081632653,0.209183673,0.081632653,0.209183673,0,0.346938776,0.336734694,0,0,0,0,0.224489796,0,0,0,0,0,0,0,0,0,0.06122449,0,0,0.030612245,0.030612245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DG VEKIS BOSS - AIBLOOPER,18,0.5,0.341836735,0,0.081632653,0,0.081632653,0,0.357142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102040816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RENGAW KINGBOY 9970-ET - GHOSTLY,19,0.5,0.341836735,0.423469388,0.081632653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025510204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EMU BANKS HONDA-ET - MINOTAUR,20,0.5,0,0,0.081632653,0,0.081632653,0,0,0,0,0,0,0.234693878,0.214285714,0,0,0.198979592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015306122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE SU 12128 TAILOR - 29HO17706,21,0.5,0.341836735,0,0.081632653,0.209183673,0.081632653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025510204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PLAIN-KNOLL DONA BAYONET-ET - 7HO12236,22,0.5,0.341836735,0,0.163265306,0,0.163265306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
