column,Row Order,O-BEE MANFRED JUSTICE,HA-HO CUBBY MANFRED-ET,MADAWASKA AEROSTAR,CAROL PRELUDE MTOTO ET,EMPRISE BELL ELTON,A RONNYBROOK PRELUDE ET,PICSTON SHOTTLE,OSDEL-ENDEAVOR BOVA CUBBY,MAUGHLIN STORM,GIBBON,HANOVERHILL STARBUCK,BRAEDALE GOLDWYN,SHOREMAR JAMES,JOCKO BESN,Q250 BESNE BUCK,ENSENADA TABOO PLANET ET,ROSE-BAUM TABOO,OUT-JOCK CHOICE AMEL,CARENDA FABULON-ET,A MARK CJ GILBROOK GRAND ET,ELITE MOUNTAIN DONOR IMP (E_T),BIS-MAY S-E-L MOUNTAIN ET,END-ROAD BLACKSTAR MAJIC-ET,BASAR,NORRIELAKE CLEITUS LUKE TWIN,ELITE GOLD BULLION-IMP-ET,HILL VALLEY BASAR ACME,BIS-MAY TRADITION CLEITUS,AG-HIGH SIGHTS BS INGOT-ET,BELT,ROTHROCK TRADITION LEADMAN,MARA-THON BW MARSHALL,EMERALD-ACRES-SA TONIC ET,LEKKER VALIANT ROYALTY,KED JUROR ET,BUSHLEA WAVES FABULON,JARDIN,LANCELOT,MASCOL,BUSHLEA PERFECTOR BOLD-ET,MANNA FARM DEL SANTO,ADLEJAMA DELSANTO PICOLA,ATHOL M K VULCAN,ETAZON JIMTOWN,FULLERTONS WARD,HIBI SECRET SKELTON,KAPAWAI JIMTOWN POSH,LLOYDS EXCELLENCY,MCMILLANS TROPHY,SCOTTS NORTHSEA
Column Order,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
TOPSPEED GOLDYN-ET - GOLDCREST,1,0,0,0.873563218,0,0,0,0,0,0.494252874,0,0,0.235632184,0.235632184,0,0,0,0,0,0,0.183908046,1,0.936781609,0,0,0,0,0,0,0,0,0,0,0,0.235632184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BUSHLEA PERFECTOR BOLD-ET - BUDDHA,2,0,0,0.873563218,0,0,0,0,0,0.494252874,0.224137931,0,0.235632184,0.235632184,0,0,0,0,0,0.252873563,0.183908046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08045977,0,0,0,0,0,0,0,0,0,0
MANNA FARM DEL SANTO - DELSANTO,3,0,0,0,0,0,0,0,0,0,0.224137931,0.270114943,0,0,0,0,0,0,0,0.252873563,0,0,0,0,0.390804598,0,0,0.379310345,0,0,0.275862069,0,0,0,0,0,0,0,0,0,0,0.034482759,0,0,0,0,0,0,0,0,0
VH MOGENS - VIKVHMOGENS,4,0.563218391,0.477011494,0.436781609,0.402298851,0.310344828,0.25862069,0,0.149425287,0,0,0.270114943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028735632,0,0,0,0,0,0,0,0,0,0,0
DE-SU ALTAMELHOR - 011HO11077,5,0.563218391,0.477011494,0.436781609,0.402298851,0.310344828,0.25862069,0.385057471,0.149425287,0,0,0,0.235632184,0.235632184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ROYLANE BOXER PUNCH 4311-ET - 7HO11207,6,0.563218391,0.477011494,0.436781609,0.402298851,0.310344828,0.25862069,0.385057471,0.149425287,0,0,0,0.235632184,0.235632184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KAARMONA CARLANA - CARLANA,7,0.563218391,0.477011494,0,0,0.310344828,0,0,0.149425287,0,0.224137931,0,0,0,0,0,0,0,0,0.252873563,0,0,0,0,0,0,0.25862069,0,0,0.195402299,0,0,0,0,0,0,0.068965517,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RENGAW MANOMAN HUMMER-ET - GEEMCEE,8,0.563218391,0.477011494,0.436781609,0.402298851,0.310344828,0.25862069,0.385057471,0.149425287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.097701149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RENGAW MANOMAN WRANGLER-ET - WRANGLER,9,0.563218391,0.477011494,0.436781609,0.402298851,0.310344828,0.25862069,0.385057471,0.149425287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.097701149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
