column,Row Order,O-BEE MANFRED JUSTICE,PICSTON SHOTTLE,BRAEDALE GOLDWYN,HA-HO CUBBY MANFRED-ET,CAROL PRELUDE MTOTO ET,ENSENADA TABOO PLANET ET,JOCKO BESN,MADAWASKA AEROSTAR,HILL VALLEY BASAR ACME,MAUGHLIN STORM,ELITE MOUNTAIN DONOR IMP (E_T),A RONNYBROOK PRELUDE ET,ELITE GOLD BULLION-IMP-ET,SHOREMAR JAMES,EMPRISE BELL ELTON,CARENDA FABULON-ET,BUSHLEA PERFECTOR BOLD-ET,BUSHLEA WAVES FABULON,JARDIN,ROSE-BAUM TABOO,Q250 BESNE BUCK,GIBBON,OSDEL-ENDEAVOR BOVA CUBBY,ADLEJAMA DELSANTO PICOLA,LANCELOT,BASAR,OUT-JOCK CHOICE AMEL,MANNA FARM DEL SANTO,BIS-MAY S-E-L MOUNTAIN ET,HANOVERHILL STARBUCK,AG-HIGH SIGHTS BS INGOT-ET,MARA-THON BW MARSHALL,MASCOL,A MARK CJ GILBROOK GRAND ET,NORRIELAKE CLEITUS LUKE TWIN,END-ROAD BLACKSTAR MAJIC-ET,EMERALD-ACRES-SA TONIC ET,BELT,ROTHROCK TRADITION LEADMAN,KED JUROR ET,BIS-MAY TRADITION CLEITUS,LEKKER VALIANT ROYALTY,ATHOL M K VULCAN,ETAZON JIMTOWN,FULLERTONS WARD,HIBI SECRET SKELTON,KAPAWAI JIMTOWN POSH,LLOYDS EXCELLENCY,MCMILLANS TROPHY,SCOTTS NORTHSEA
Column Order,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
TOPSPEED GOLDYN-ET - GOLDCREST,1,0,0,0.478499665,0,0,0,0,0.079746441,0,0.194681235,1,0,0,0.119624466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.273645665,0,0,0,0,0.028145438,0,0,0,0,0,0,0,0.044564294,0,0,0,0,0,0,0,0
RENGAW JARDIN JANEK - JANEK,2,0,0.679438,0,0,0.182172241,0,0.325254274,0.078964629,0,0,0,0.045345906,0,0,0,0,0,0,0.688038734,0,0.085221929,0,0,0,0,0,0,0,0,0.037526984,0,0,0,0,0,0,0.063330188,0,0,0,0.033618123,0,0,0,0,0,0,0,0,0
DE-SU ALTAMELHOR - 011HO11077,3,0.527756233,0.679438,0.431587933,0.12900441,0.182172241,0,0,0.078964629,0,0,0,0.045345906,0,0.107896483,0.042999669,0,0,0,0,0,0,0,0.021108928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ROYLANE BOXER PUNCH 4311-ET - 7HO11207,4,0.527756233,0.679438,0.431587933,0.12900441,0.182172241,0,0,0.078964629,0,0,0,0.045345906,0,0.107896483,0.042999669,0,0,0,0,0,0,0,0.021108928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BUSHLEA PERFECTOR BOLD-ET - BUDDHA,5,0,0,0.478499665,0,0,0,0,0.079746441,0,0.194681235,0,0,0,0.119624466,0,0.173572908,0.800626891,0,0,0,0,0.052383216,0,0,0,0,0,0,0,0,0,0,0,0.028145438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADLEJAMA DELSANTO PICOLA - PICOLA,6,0,0,0,0,0,0.15637244,0,0,0.723222483,0,0,0,0,0,0,0.164190561,0,0,0,0.03909281,0,0.050037579,0,0.400313445,0,0.187645526,0.021891541,0.125097952,0,0,0,0,0,0,0,0.008599934,0,0.054728252,0,0,0,0,0,0,0,0,0,0,0,0
KAARMONA CARLANA - CARLANA,7,0.527756233,0,0,0.12900441,0,0,0,0,0,0,0,0,0.315089915,0,0.042999669,0.173572908,0,0.38780365,0,0,0,0.052383216,0.021108928,0,0,0,0,0,0,0,0.076621395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MANNA FARM DEL SANTO - DELSANTO,8,0,0,0,0,0,0,0,0,0.760751869,0,0,0,0,0,0,0.173572908,0,0,0,0,0,0.052383216,0,0,0,0.197027873,0,0.175137132,0,0.037526984,0,0,0,0,0,0,0,0.057073889,0,0,0,0,0,0,0,0,0,0,0,0
AMIGHETTI NUMERO UNO - 0200HO07450,9,0.527756233,0.679438,0,0.12900441,0.182172241,0,0,0.078964629,0,0,0,0.045345906,0,0,0.042999669,0,0,0,0,0,0,0,0.021108928,0,0,0,0,0,0,0,0,0,0,0,0.018763892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RENGAW MANOMAN WRANGLER-ET - WRANGLER,10,0.527756233,0.679438,0,0.12900441,0.182172241,0,0,0.078964629,0,0,0,0.045345906,0,0,0.042999669,0,0,0,0,0,0,0,0.021108928,0,0,0,0,0,0,0,0,0,0,0,0.018763892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RENGAW MANOMAN HUMMER-ET - GEEMCEE,11,0.527756233,0.679438,0,0.12900441,0.182172241,0,0,0.078964629,0,0,0,0.045345906,0,0,0.042999669,0,0,0,0,0,0,0,0.021108928,0,0,0,0,0,0,0,0,0,0,0,0.018763892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
