column,Row Order,HILL VALLEY BASAR ACME,BASAR,O-BEE MANFRED JUSTICE,SHOREMAR JAMES,BRAEDALE GOLDWYN,CARENDA FABULON-ET,GIBBON,JOCKO BESN,Q250 BESNE BUCK,MAUGHLIN STORM,HA-HO CUBBY MANFRED-ET,ROUMARE,A MARK CJ GILBROOK GRAND ET,ENSENADA TABOO PLANET ET,MADAWASKA AEROSTAR,ETAZON KNOCK OUT,PICSTON SHOTTLE,ROSE-BAUM TABOO,LONG-LANGS OMAN OMAN,BUNDALONG MARKS MEDALLION,MANNA FARM DEL SANTO,DIXIE-LEE AARON -ET,EMPRISE BELL ELTON,WALKWAY CHIEF MARK,FATAL,OSDEL-ENDEAVOR BOVA CUBBY,ADLEJAMA DELSANTO PICOLA,A RONNYBROOK PRELUDE ET,EMERALD-ACRES-SA TONIC ET,CAROL PRELUDE MTOTO ET,RICH-RO MARK SAM -ET,UFM-DUBS ALTAESQUIRE,HINDLEE GOLDWYN OMANROYAL 121003,REGANCREST ALTAIOTA,BADGER-BLUFF FANNY FREDDIE,CHARLESDALE SUPERSTITION,COUNTRY ROAD ROUMARE CANBEE,COYNE-FARMS DORCY,DELTA PARAMOUNT,EMERALD-ACR-SA T-BAXTER,END-ROAD BEACON,END-ROAD PVF BOLIVER,FUSTEAD EMORY BLITZ,GLENN-ANN PALERMO,JARDIN,LARS-ACRES SHOT TRIGGER,MR CHASSITY GOLD CHIP,RAMOS,SANDY-VALLEY BOLTON,STARTMORE RUDOLPH
Column Order,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
KIRK ANDREWS PICOLA M122 - TEMPTATION,1,1,0.973941368,0,0,0,0.729641694,0.954397394,0.557003257,0.403908795,0,0,0.328990228,0,0.019543974,0,0,0,0.019543974,0,0,0.068403909,0,0,0,0,0,0.019543974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CALISTER CANJAM 143-ET - CANJAM,2,1,0.973941368,0.169381107,0,0,0,0.954397394,0.557003257,0.403908795,0,0.169381107,0.328990228,0,0,0,0,0,0,0.039087948,0,0,0.039087948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CARENDA VERMOUTH 394 - VERMOUTH,3,1,0.973941368,0,0,0,0.729641694,0,0.557003257,0.403908795,0,0,0,0,0.019543974,0,0,0,0.019543974,0,0,0.068403909,0,0,0,0,0,0.019543974,0,0.045602606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HINDLEE PICOLA GOLDCHIPDREAM 1418-ET - MICROCHIP,4,1,0.973941368,0,0.32247557,0.28990228,0.729641694,0,0,0,0,0,0,0,0.019543974,0,0,0.019543974,0.019543974,0,0,0.068403909,0,0,0,0,0,0.019543974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CARENDA PERTINENT - PERTINENT,5,1,0.973941368,0,0.32247557,0.28990228,0.729641694,0,0,0,0,0,0,0,0.019543974,0,0,0,0.019543974,0,0,0.068403909,0,0,0,0,0,0.019543974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MANNA FARM SHAN 2716 - WENTWORTH,6,1,0.973941368,0.169381107,0,0,0,0,0,0,0,0.169381107,0,0,0.019543974,0,0.657980456,0,0.019543974,0.039087948,0.302931596,0,0.039087948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EMU BANKS HONDA-ET - MINOTAUR,7,0,0,0.169381107,0,0,0,0.954397394,0.557003257,0.403908795,0,0,0.328990228,0,0.019543974,0,0,0,0.019543974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HINDLEE GOLDWYN OMANROYAL 121003 - ROYALMAN,8,0,0,0.169381107,0.32247557,0.28990228,0,0,0,0,0.48534202,0.169381107,0,0.231270358,0,0.416938111,0,0,0,0,0,0,0,0.094462541,0.159609121,0,0.048859935,0,0,0,0,0,0,0.009771987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DELTA CUPIDO - CRVCUPIDO,9,0,0,0,0.32247557,0.28990228,0,0,0.557003257,0.403908795,0,0,0,0,0,0.208469055,0,0.019543974,0,0,0,0,0,0,0,0.146579805,0,0,0.035830619,0,0.003257329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEWHOUSE SKYFALL - CRVSKYFALL,10,0,0,0.169381107,0.32247557,0.28990228,0,0,0,0,0.48534202,0.169381107,0,0.231270358,0,0,0,0,0,0.039087948,0,0,0.039087948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GLOMAR SUPERLUCKY-ET - SUPERLUCKY,11,0,0,0.169381107,0.32247557,0.28990228,0,0,0,0,0.48534202,0,0,0.231270358,0.019543974,0,0,0,0.019543974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GLOMAR SUPER LUCKYBRO - ET - LUCKYBRO,12,0,0,0.169381107,0.32247557,0.28990228,0,0,0,0,0.48534202,0,0,0.231270358,0.019543974,0,0,0,0.019543974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RENGAW PREDESTINE MANSHED - MANSHED,13,0,0,0.169381107,0.32247557,0.28990228,0,0,0,0,0,0.169381107,0,0,0.019543974,0,0,0.019543974,0.019543974,0,0,0,0,0,0,0,0,0,0,0,0,0.016286645,0.016286645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE SU 11949 PENALTY - 29HO17732,14,0,0,0,0.32247557,0.28990228,0,0,0,0,0,0,0,0,0.019543974,0.208469055,0,0.039087948,0.019543974,0,0,0,0,0,0,0,0,0,0.035830619,0,0.003257329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRONTE PARK CASHCOIN ROWDY-ET - ROWLING,15,0,0,0.169381107,0.32247557,0.28990228,0,0,0,0,0,0,0,0,0.019543974,0,0,0,0.019543974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MR AMERICA CHACAL - 29HO17762,16,0,0,0.169381107,0.32247557,0.28990228,0,0,0,0,0,0,0,0,0.019543974,0,0,0,0.019543974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WILARA JOSUPER JO-ET - GILES,17,0,0,0.169381107,0,0,0,0,0,0,0,0.169381107,0,0,0.019543974,0,0,0.019543974,0,0,0,0,0,0.094462541,0,0,0.048859935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
