column,Row Order,HILL VALLEY BASAR ACME,BRAEDALE GOLDWYN,O-BEE MANFRED JUSTICE,BASAR,CARENDA FABULON-ET,JOCKO BESN,BUNDALONG MARKS MEDALLION,MANNA FARM DEL SANTO,SHOREMAR JAMES,ROUMARE,LONG-LANGS OMAN OMAN,ADLEJAMA DELSANTO PICOLA,GIBBON,Q250 BESNE BUCK,MAUGHLIN STORM,ENSENADA TABOO PLANET ET,HA-HO CUBBY MANFRED-ET,PICSTON SHOTTLE,ETAZON KNOCK OUT,HINDLEE GOLDWYN OMANROYAL 121003,A MARK CJ GILBROOK GRAND ET,ROSE-BAUM TABOO,MADAWASKA AEROSTAR,A RONNYBROOK PRELUDE ET,UFM-DUBS ALTAESQUIRE,FATAL,DIXIE-LEE AARON -ET,REGANCREST ALTAIOTA,EMPRISE BELL ELTON,WALKWAY CHIEF MARK,CAROL PRELUDE MTOTO ET,EMERALD-ACRES-SA TONIC ET,OSDEL-ENDEAVOR BOVA CUBBY,RICH-RO MARK SAM -ET,BADGER-BLUFF FANNY FREDDIE,CHARLESDALE SUPERSTITION,COUNTRY ROAD ROUMARE CANBEE,COYNE-FARMS DORCY,DELTA PARAMOUNT,EMERALD-ACR-SA T-BAXTER,END-ROAD BEACON,END-ROAD PVF BOLIVER,FUSTEAD EMORY BLITZ,GLENN-ANN PALERMO,JARDIN,LARS-ACRES SHOT TRIGGER,MR CHASSITY GOLD CHIP,RAMOS,SANDY-VALLEY BOLTON,STARTMORE RUDOLPH
Column Order,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
MANNA FARM SHAN 2716 - WENTWORTH,1,0.71112592,0,0.065683646,0.177445576,0,0,1,0,0,0,0.034852547,0,0,0,0,0.004691689,0.016420504,0,0.097351721,0,0,0.001172847,0,0,0,0,0.002178145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KIRK ANDREWS PICOLA M122 - TEMPTATION,2,0.71112592,0,0,0.177445576,0.265415464,0.212298424,0,0.179624665,0,0.161360472,0,0.075067024,0.093496322,0.051105201,0,0.004691689,0,0,0,0,0,0.001172847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CARENDA VERMOUTH 394 - VERMOUTH,3,0.71112592,0,0,0.177445576,0.265415464,0.212298424,0,0.179624665,0,0,0,0.075067024,0,0.051105201,0,0.004691689,0,0,0,0,0,0.001172847,0,0,0,0,0,0,0,0,0,0.005529394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HINDLEE PICOLA GOLDCHIPDREAM 1418-ET - MICROCHIP,4,0.71112592,0.197050938,0,0.177445576,0.265415464,0,0,0.179624665,0.056467517,0,0,0.075067024,0,0,0,0.004691689,0,0.003686263,0,0,0,0.001172847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CARENDA PERTINENT - PERTINENT,5,0.71112592,0.197050938,0,0.177445576,0.265415464,0,0,0.179624665,0.056467517,0,0,0.075067024,0,0,0,0.004691689,0,0,0,0,0,0.001172847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CALISTER CANJAM 143-ET - CANJAM,6,0.71112592,0,0.065683646,0.177445576,0,0.212298424,0,0,0,0.161360472,0.034852547,0,0.093496322,0.051105201,0,0,0.016420504,0,0,0,0,0,0,0,0,0,0.002178145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EMU BANKS HONDA-ET - MINOTAUR,7,0,0,0.065180954,0,0,0.212298424,0,0,0,0.161360472,0,0,0.093496322,0.051105201,0,0.004691689,0,0,0,0,0,0.001172847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DELTA CUPIDO - CRVCUPIDO,8,0,0.197050938,0,0,0,0.212298424,0,0,0.056467517,0,0,0,0,0.051105201,0,0,0,0.006199678,0,0,0,0,0.010890724,0.010053576,0,0.015750349,0,0,0,0,0.001340483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HINDLEE GOLDWYN OMANROYAL 121003 - ROYALMAN,9,0,0.207104558,0.06769437,0,0,0,0,0,0.058980933,0,0,0,0,0,0.055796633,0,0.016923196,0,0,0.053619303,0.013571646,0,0.011058273,0,0,0,0,0,0.005026488,0.009885555,0,0,0.002680794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
