column,Row Order,GIBBON,MADAWASKA AEROSTAR,HA-HO CUBBY MANFRED-ET,O-BEE MANFRED JUSTICE,CARENDA FABULON-ET,JOCKO BESN,HANOVERHILL STARBUCK,MAUGHLIN STORM,Q250 BESNE BUCK,BRAEDALE GOLDWYN,ELITE GOLD BULLION-IMP-ET,HILL VALLEY BASAR ACME,EMPRISE BELL ELTON,BASAR,ROUMARE,BELT,AG-HIGH SIGHTS BS INGOT-ET,A MARK CJ GILBROOK GRAND ET,OSDEL-ENDEAVOR BOVA CUBBY,ELITE MOUNTAIN DONOR IMP (E_T),BIS-MAY S-E-L MOUNTAIN ET,A RONNYBROOK PRELUDE ET,ETAZON KNOCK OUT,BIS-MAY TRADITION CLEITUS,BUSHLEA WAVES FABULON,ROTHROCK TRADITION LEADMAN,DIXIE-LEE AARON -ET,LONG-LANGS OMAN OMAN,ENSENADA TABOO PLANET ET,ROSE-BAUM TABOO,PICSTON SHOTTLE,HANOVER HILL INSPIRATION,HOW-EL-ACRES K BELLMAN ET,BUSHLEA PERFECTOR BOLD-ET,MANNA FARM DEL SANTO,CARLIN-M IVANHOE BELL,LEKKER VALIANT ROYALTY,EMERALD-ACRES-SA TONIC ET,PETICOTE US MSC MAGLEY-ET,CAROL PRELUDE MTOTO ET,LANCELOT,LUKAS-ET,ADLEJAMA DELSANTO PICOLA,ATHOL M K VULCAN,ETAZON JIMTOWN,FULLERTONS WARD,HIBI SECRET SKELTON,KAPAWAI JIMTOWN POSH,LLOYDS EXCELLENCY,MCMILLANS TROPHY
Column Order,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
MANNA FARM DEL SANTO - DELSANTO,1,0.5,0,0,0,0.38225256,0,0.194539249,0,0,0,0,0.523890785,0,0.510238908,0,0.383959044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06996587,0,0,0.035836177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KAARMONA CARLUSH-ET - CARLUSH,2,1,0,0,0,0.38225256,0.291808874,0,0,0.211604096,0,0.360068259,0,0,0,0.172354949,0,0.249146758,0,0,0,0,0,0,0,0.131399317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EMU BANKS CHRISTMAS-ET - CHRISTMAS,3,0.5,0,0,0,0,0.291808874,0.194539249,0,0.211604096,0,0.360068259,0,0,0,0.172354949,0,0.249146758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.056313993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BUSHLEA PERFECTOR BOLD-ET - BUDDHA,4,0.5,0.218430034,0,0,0.38225256,0,0,0.254266212,0,0.151877133,0,0,0,0,0,0,0,0.12116041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105802048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADLEJAMA DELSANTO PICOLA - PICOLA,5,0.5,0,0,0,0.38225256,0,0,0,0,0,0,0.523890785,0,0.510238908,0,0.383959044,0,0,0,0,0,0,0,0,0,0,0,0,0.010238908,0.010238908,0,0,0,0,0.035836177,0,0,0,0,0,0,0,0.010238908,0,0,0,0,0,0,0
KAARMONA CARLANA - CARLANA,6,0.5,0,0.088737201,0.088737201,0.38225256,0,0,0,0,0,0.360068259,0,0.049488055,0,0,0,0.249146758,0,0.02559727,0,0,0,0,0,0.131399317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TOPSPEED GOLDYN-ET - GOLDCREST,7,0,0.218430034,0,0,0,0,0,0.254266212,0,0.151877133,0,0,0,0,0,0,0,0.12116041,0,0.503412969,0.406143345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.061433447,0,0,0,0,0,0,0,0,0,0,0,0,0
JET STAR MANOMAN TRICKIN - TRICKIN,8,0.5,0,0.088737201,0.088737201,0,0.291808874,0,0,0.211604096,0,0,0,0.049488055,0,0.172354949,0,0,0,0.02559727,0,0,0,0,0,0,0,0.020477816,0.020477816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HINDLEE MOM  R DALLAS 11910 - JAYR,9,0.5,0,0.088737201,0.088737201,0,0.291808874,0,0,0.211604096,0,0,0,0.049488055,0,0.172354949,0,0,0,0.02559727,0,0,0,0,0,0,0,0.020477816,0.020477816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RENGAW JARDIN JANEK - JANEK,10,0,0.109215017,0,0,0,0.291808874,0.194539249,0,0.211604096,0,0,0,0,0,0,0,0,0,0,0,0,0.018771331,0,0.100682594,0,0,0,0,0,0,0.010238908,0,0,0,0,0,0,0.023890785,0,0.001706485,0,0,0,0,0,0,0,0,0,0
VH MIRACLE - VIKVHMIRACLE,11,0.5,0,0,0,0,0.291808874,0,0,0.211604096,0,0,0,0,0,0.172354949,0,0,0,0,0,0,0.018771331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001706485,0,0,0,0,0,0,0,0,0,0
MAIRE MINT FIRE-UP - NZGFIREUP,12,0,0,0.088737201,0.088737201,0,0,0,0,0,0,0,0,0.049488055,0,0,0,0,0,0.02559727,0,0,0,0.344709898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MR APPLES ARMANI - 7H11703,13,0,0.218430034,0,0,0,0,0,0.254266212,0,0.151877133,0,0,0,0,0,0,0,0.12116041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PETHERTON DENSITY - 0200HO02700,14,0,0,0.088737201,0.088737201,0,0,0,0.254266212,0,0.151877133,0,0,0.049488055,0,0,0,0,0.12116041,0.02559727,0,0,0,0,0,0,0,0.020477816,0.020477816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GEN-I-BEQ LAVAMAN - 0200HO06267,15,0,0,0.088737201,0.088737201,0,0,0,0.254266212,0,0.151877133,0,0,0.049488055,0,0,0,0,0.12116041,0.02559727,0,0,0,0,0,0,0,0.020477816,0.020477816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WINTERSELL MILO - CBWINTERSELL,16,0,0,0.088737201,0.088737201,0,0,0,0.254266212,0,0.151877133,0,0,0.049488055,0,0,0,0,0.12116041,0.02559727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0221843,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COGENT TWIST - COGENTTWIST,17,0,0.109215017,0,0,0,0,0.389078498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018771331,0,0,0,0,0,0,0,0,0.010238908,0,0.056313993,0,0,0,0,0,0,0.001706485,0,0,0,0,0,0,0,0,0,0
VH MOGENS - VIKVHMOGENS,18,0,0.109215017,0.088737201,0.088737201,0,0,0.194539249,0,0,0,0,0,0.049488055,0,0,0,0,0,0.02559727,0,0,0.018771331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001706485,0,0,0,0,0,0,0,0,0,0
DE-SU ALTAMELHOR - 011HO11077,19,0,0.109215017,0.088737201,0.088737201,0,0,0,0,0,0.151877133,0,0,0.049488055,0,0,0,0,0,0.02559727,0,0,0.018771331,0,0,0,0,0,0,0,0,0.010238908,0,0,0,0,0,0,0,0,0.001706485,0,0,0,0,0,0,0,0,0,0
ROYLANE BOXER PUNCH 4311-ET - 7HO11207,20,0,0.109215017,0.088737201,0.088737201,0,0,0,0,0,0.151877133,0,0,0.049488055,0,0,0,0,0,0.02559727,0,0,0.018771331,0,0,0,0,0,0,0,0,0.010238908,0,0,0,0,0,0,0,0,0.001706485,0,0,0,0,0,0,0,0,0,0
CO-OP BOSSIDE MASSEY - ET - CRMASSEY,21,0,0.109215017,0,0,0,0,0.194539249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018771331,0,0,0,0.063139932,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001706485,0,0,0,0,0,0,0,0,0,0
MOURNE GROVE HOTHOUSE S2F - NZGHOTHOUSE,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DELTA TITANIUM - CRVTITANIUM,23,0,0.109215017,0.088737201,0.088737201,0,0,0.194539249,0,0,0,0,0,0.049488055,0,0,0,0,0,0.02559727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
