column,Row Order,O-BEE MANFRED JUSTICE,BRAEDALE GOLDWYN,HILL VALLEY BASAR ACME,CARENDA FABULON-ET,JOCKO BESN,BUSHLEA WAVES FABULON,GIBBON,ROUMARE,BUSHLEA PERFECTOR BOLD-ET,ELITE GOLD BULLION-IMP-ET,HA-HO CUBBY MANFRED-ET,MANNA FARM DEL SANTO,LONG-LANGS OMAN OMAN,BASAR,MAUGHLIN STORM,Q250 BESNE BUCK,ELITE MOUNTAIN DONOR IMP (E_T),A RONNYBROOK PRELUDE ET,MADAWASKA AEROSTAR,ENSENADA TABOO PLANET ET,HANOVERHILL STARBUCK,AG-HIGH SIGHTS BS INGOT-ET,EMPRISE BELL ELTON,ETAZON KNOCK OUT,LANCELOT,ADLEJAMA DELSANTO PICOLA,PICSTON SHOTTLE,BELT,A MARK CJ GILBROOK GRAND ET,BIS-MAY S-E-L MOUNTAIN ET,OSDEL-ENDEAVOR BOVA CUBBY,ROSE-BAUM TABOO,ROTHROCK TRADITION LEADMAN,CAROL PRELUDE MTOTO ET,LUKAS-ET,DIXIE-LEE AARON -ET,BIS-MAY TRADITION CLEITUS,HANOVER HILL INSPIRATION,HOW-EL-ACRES K BELLMAN ET,EMERALD-ACRES-SA TONIC ET,CARLIN-M IVANHOE BELL,LEKKER VALIANT ROYALTY,PETICOTE US MSC MAGLEY-ET,ATHOL M K VULCAN,ETAZON JIMTOWN,FULLERTONS WARD,HIBI SECRET SKELTON,KAPAWAI JIMTOWN POSH,LLOYDS EXCELLENCY,MCMILLANS TROPHY
Column Order,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
MANNA FARM DEL SANTO - DELSANTO,1,0,0,1,0.37151481,0,0,0.130340655,0,0,0,0,0.27509297,0,0.249534245,0,0,0,0,0,0,0.028111706,0,0,0,0,0,0,0.058082267,0,0,0,0,0,0,0,0,0,0.013939987,0,0,0,0,0,0,0,0,0,0,0,0
KAARMONA CARLUSH-ET - CARLUSH,2,0,0,0,0.37151481,0.29437666,0.747211985,0.130572982,0.223745216,0,0.252090142,0,0,0,0,0,0.070863354,0,0,0,0,0,0.059245509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADLEJAMA DELSANTO PICOLA - PICOLA,3,0,0,0.988847582,0.368726706,0,0,0.129643614,0,0,0,0,0.260223079,0,0.246746141,0,0,0,0,0,0.009293681,0,0,0,0,0,0.118959122,0,0.057385226,0,0,0,0.002323331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BUSHLEA PERFECTOR BOLD-ET - BUDDHA,4,0,0.287174755,0,0.37151481,0,0,0.130340655,0,0.951672976,0,0,0,0,0,0.077368574,0,0,0,0.015333593,0,0,0,0,0,0,0,0,0,0.018818679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KAARMONA CARLANA - CARLANA,5,0.093866182,0,0,0.37151481,0,0.747211985,0.130340655,0,0,0.252090142,0.023465995,0,0,0,0,0,0,0,0,0,0,0.059245509,0.006969815,0,0,0,0,0,0,0,0.003717235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EMU BANKS CHRISTMAS-ET - CHRISTMAS,6,0,0,0,0,0.297164764,0,0.130340655,0.234897634,0,0.254878246,0,0,0,0,0,0.071560395,0,0,0,0,0.028111706,0.05994255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008596165,0,0,0,0,0,0,0,0,0,0,0
TOPSPEED GOLDYN-ET - GOLDCREST,7,0,0.287174755,0,0,0,0,0,0,0,0,0,0,0,0,0.077368574,0,0.324580856,0,0.015333593,0,0,0,0,0,0,0,0,0,0.018818679,0.081316709,0,0,0,0,0,0,0,0,0,0,0,0.008596105,0,0,0,0,0,0,0,0
HINDLEE MOM  R DALLAS 11910 - JAYR,8,0.093866182,0,0,0,0.29437666,0,0.129643614,0.223745216,0,0,0.023465995,0,0.059479561,0,0,0.070863354,0,0,0,0,0,0,0.006969815,0,0,0,0,0,0,0,0.003717235,0,0,0,0,0.003717294,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JET STAR MANOMAN TRICKIN - TRICKIN,9,0.093866182,0,0,0,0.29437666,0,0.129643614,0.223745216,0,0,0.023465995,0,0.059479561,0,0,0.070863354,0,0,0,0,0,0,0.006969815,0,0,0,0,0,0,0,0.003717235,0,0,0,0,0.003717294,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VH MIRACLE - VIKVHMIRACLE,10,0,0,0,0,0.29437666,0,0.129643614,0.223745216,0,0,0,0,0,0,0,0.070863354,0,0.013940463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001858736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PETHERTON DENSITY - 0200HO02700,11,0.093866182,0.276022338,0,0,0,0,0,0,0,0,0.023465995,0,0.059479561,0,0.076671533,0,0,0,0,0,0,0,0.006969815,0,0,0,0,0,0.018121638,0,0.003717235,0,0,0,0,0.003717294,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GEN-I-BEQ LAVAMAN - 0200HO06267,12,0.093866182,0.276022338,0,0,0,0,0,0,0,0,0.023465995,0,0.059479561,0,0.076671533,0,0,0,0,0,0,0,0.006969815,0,0,0,0,0,0.018121638,0,0.003717235,0,0,0,0,0.003717294,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WINTERSELL MILO - CBWINTERSELL,13,0.1050186,0.276022338,0,0,0,0,0,0,0,0,0.0262541,0,0,0,0.076671533,0,0,0,0,0,0,0,0.007666856,0,0,0,0,0,0.018121638,0,0.004414276,0,0,0,0,0,0,0,0,0,0.00325258,0,0,0,0,0,0,0,0,0
