column,Row Order,MOUNTFIELD SSI DCY MOGUL,COYNE-FARMS DORCY,ENSENADA TABOO PLANET ET,LONG-LANGS OMAN OMAN,O-BEE MANFRED JUSTICE,SANDY-VALLEY BOLTON,AMIGHETTI NUMERO UNO,PASEN MARSH,PICSTON SHOTTLE,ROYLANE SOCRA ROBUST,SEAGULL-BAY SUPERSIRE,BRAEDALE GOLDWYN,ROSE-BAUM TABOO,DE-SU 521 BOOKEM,SHOREMAR JAMES,CAROL PRELUDE MTOTO ET,HA-HO CUBBY MANFRED-ET,SEAGULL-BAY MVP-ET,CHARLESDALE SUPERSTITION,EMPRISE BELL ELTON,DE-SU BKM MCCUTCHEN,VELVET-VIEW-KJ SOCRATES,CARENDA FABULON-ET,ROUMARE,SCHILLVIEW OMAN GERARD,REGANCREST ALTAIOTA,MASCOL,CO-OP BOSSIDE MASSEY - ET,VIEW-HOME MONTEREY-ET,END-ROAD PVF BOLIVER,ROYLANE BOOKEM BOB 5170-ET,OSDEL-ENDEAVOR BOVA CUBBY,COUNTRY ROAD ROUMARE CANBEE,PECKENSTEIN FORM BRET,APINA ALTAEMBASSY,BRYCEHOLME SS BOASTFUL,BUSHLEA PERFECTOR BOLD-ET,COGENT SUPERSHOT,COYNE-FARMS JACEY CRI - ET,END-ROAD BEACON,MORNINGVIEW MCC KINGBOY,SCHILLVIEW GARRETT,SEAGULL-BAY SILVER-ET,SIEMERS MOGUL PETY,S-S-I MONTROSS JEDI,STANTONS MAIN EVENT,UECKER SUPERSIRE JOSUPER-ET,VAL-BISSON DOORMAN,VIEW-HOME POWERBALL P ET,ZAHBULLS ALTA1STCLASS
Column Order,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
CURRAJUGLE SNAKEOIL (s.MVP) - SNAKEOIL,1,0.333333333,0.341750842,0.358585859,0,0.466329966,0.292929293,0,0.284511785,0,0,0,0,0.203703704,0,0,0,0.191919192,0.153198653,0,0.079124579,0,0,0,0,0,0,0,0,0,0,0,0.015151515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PROGENESIS COSMIC (s.BOASTFUL) - 0200HO10779,2,0.333333333,0.341750842,0.717171717,0.252525253,0.466329966,0,0,0,0,0.021885522,0.011784512,0,0,0,0,0,0,0,0,0,0,0.013468013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PINE-TREE SAMIRAH-ET (s.ALTASPRING) - 29HO18478,3,0.333333333,0.341750842,0.358585859,0,0.466329966,0.292929293,0,0.284511785,0,0.021885522,0.011784512,0,0,0,0,0,0,0,0,0,0,0.013468013,0,0,0.01010101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WELCOME SILVER GRIFF (s.SILVER) - 14HO07796,4,0.333333333,0.341750842,0.358585859,0,0.466329966,0.292929293,0,0.284511785,0,0.021885522,0.011784512,0,0,0,0,0,0,0,0,0,0,0.013468013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WA-DEL YODER BANDARES (s.YODER) - 7HO12671,5,0.333333333,0.341750842,0.358585859,0,0,0.292929293,0,0.284511785,0,0,0,0,0.203703704,0,0,0.2003367,0,0,0,0,0,0,0,0,0,0,0.003367003,0.001683502,0,0,0,0,0,0.001683502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PEAK ALTAMEDERA-ET (s.BANDARES) - 011HO12315,6,0.666666667,0.683501684,0.358585859,0,0,0,0,0,0,0.021885522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003367003,0.001683502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VALA BANDARES ATTICUS (s.BANDARES) - TLGATTICUS,7,0.666666667,0.683501684,0.358585859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01010101,0,0.003367003,0.001683502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VALA BANDARES SHAYDON ET (s.BANDARES) - STGSHAYDON,8,0.666666667,0.683501684,0.358585859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003367003,0.001683502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PROGENESIS WIMBLEDON (s.ALTAROBSON) - 0200HO11251,9,0.666666667,0.683501684,0,0,0,0,0,0,0,0.043771044,0,0,0,0.026936027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016835017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
