column,Row Order,MOUNTFIELD SSI DCY MOGUL,AMIGHETTI NUMERO UNO,COYNE-FARMS DORCY,ENSENADA TABOO PLANET ET,LONG-LANGS OMAN OMAN,SEAGULL-BAY MVP-ET,SEAGULL-BAY SUPERSIRE,O-BEE MANFRED JUSTICE,PICSTON SHOTTLE,DE-SU 521 BOOKEM,BRAEDALE GOLDWYN,SANDY-VALLEY BOLTON,ROYLANE SOCRA ROBUST,PASEN MARSH,ROYLANE BOOKEM BOB 5170-ET,SHOREMAR JAMES,REGANCREST ALTAIOTA,VIEW-HOME MONTEREY-ET,CO-OP BOSSIDE MASSEY - ET,DE-SU BKM MCCUTCHEN,ROSE-BAUM TABOO,CAROL PRELUDE MTOTO ET,CHARLESDALE SUPERSTITION,ROUMARE,MASCOL,SCHILLVIEW OMAN GERARD,HA-HO CUBBY MANFRED-ET,CARENDA FABULON-ET,EMPRISE BELL ELTON,VELVET-VIEW-KJ SOCRATES,COUNTRY ROAD ROUMARE CANBEE,END-ROAD PVF BOLIVER,OSDEL-ENDEAVOR BOVA CUBBY,PECKENSTEIN FORM BRET,APINA ALTAEMBASSY,BRYCEHOLME SS BOASTFUL,BUSHLEA PERFECTOR BOLD-ET,COGENT SUPERSHOT,COYNE-FARMS JACEY CRI - ET,END-ROAD BEACON,MORNINGVIEW MCC KINGBOY,SCHILLVIEW GARRETT,SEAGULL-BAY SILVER-ET,SIEMERS MOGUL PETY,S-S-I MONTROSS JEDI,STANTONS MAIN EVENT,UECKER SUPERSIRE JOSUPER-ET,VAL-BISSON DOORMAN,VIEW-HOME POWERBALL P ET,ZAHBULLS ALTA1STCLASS
Column Order,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
CURRAJUGLE SNAKEOIL (s.MVP) - SNAKEOIL,1,0.481657609,0,0.123810826,0.098504435,0,1,0,0.126187087,0,0,0,0.029719565,0,0.028870435,0,0,0,0,0,0,0.020718783,0,0,0,0,0,0.024625217,0,0.009680217,0,0,0,0.001698261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PROGENESIS COSMIC (s.BOASTFUL) - 0200HO10779,2,0.479619565,0,0.123301304,0.098164739,0.164232,0,0.02173913,0.123639522,0,0,0,0,0.006963261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001528435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VALA SUITS BOLD-ET-PO (s.TLGSUITS) - STGBOLD,3,0.479110043,0.307065217,0,0,0.163892304,0,0.019191565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CARENDA SONDALO (s.JERONIMO) - SONDALO,4,0.479619565,0.306555696,0.123301304,0,0,0,0.019191565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003566565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CARENDA TIRANO (s.JERONIMO) - TIRANO,5,0.479619565,0.306555696,0.123301304,0,0,0,0.019191565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003566565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PINE-TREE SAMIRAH-ET (s.ALTASPRING) - 29HO18478,6,0.481657609,0,0.123810826,0.097994913,0,0,0.02173913,0.123639522,0,0,0,0.029719565,0.006963261,0.028870435,0,0,0,0,0,0,0,0,0,0,0,0.008831522,0,0,0,0.001528435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WELCOME SILVER GRIFF (s.SILVER) - 14HO07796,7,0.481657609,0,0.123810826,0.097994913,0,0,0.02173913,0.123639522,0,0,0,0.029719565,0.006963261,0.028870435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001528435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WA-DEL YODER BANDARES (s.YODER) - 7HO12671,8,0.481657609,0,0.123810826,0.098504435,0,0,0,0,0,0,0,0.029719565,0,0.028870435,0,0,0,0,0.005434783,0,0.020718783,0.038212348,0,0,0.004076087,0,0,0,0,0,0,0,0,0.000339652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VOGUE LETSGO TV TL TY CF (s.) - ITLETSGO,9,0.479619565,0,0.123301304,0,0.163722478,0,0,0,0,0.028872217,0,0,0.006453739,0,0,0,0,0,0,0.006793478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PROGENESIS PROCEED (s.CHALLENGER) - 0200HO11749,10,0.47927987,0.306555696,0,0,0,0,0.019191565,0,0,0,0,0,0,0,0,0,0,0,0.002887217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
