column,Row Order,MADAWASKA AEROSTAR,CAROL PRELUDE MTOTO ET,EMPRISE BELL ELTON,A RONNYBROOK PRELUDE ET,HA-HO CUBBY MANFRED-ET,O-BEE MANFRED JUSTICE,PICSTON SHOTTLE,OSDEL-ENDEAVOR BOVA CUBBY,MAUGHLIN STORM,BRAEDALE GOLDWYN,A MARK CJ GILBROOK GRAND ET,OUT-JOCK CHOICE AMEL,JOCKO BESN,GIBBON,Q250 BESNE BUCK,NORRIELAKE CLEITUS LUKE TWIN,HANOVERHILL STARBUCK,ENSENADA TABOO PLANET ET,ROSE-BAUM TABOO,RAMOS,DIXIE-LEE AARON -ET,BIS-MAY S-E-L MOUNTAIN ET,BIS-MAY TRADITION CLEITUS,MARA-THON BW MARSHALL,END-ROAD BLACKSTAR MAJIC-ET,ROTHROCK TRADITION LEADMAN,ROUMARE,KED JUROR ET,ELITE GOLD BULLION-IMP-ET,AG-HIGH SIGHTS BS INGOT-ET,MAIZEFIELD BELLWOOD - (E_T_),CARLIN-M IVANHOE BELL,ELITE MOUNTAIN DONOR IMP (E_T),SHEN-VAL NV LM FORMATION-ET,HOW-EL-ACRES K BELLMAN ET,MJR BLACKSTAR EMORY-ET,LUKAS-ET,DELLKA JUROR GORDON - TW,BURLANE TENNYSON,LANCELOT,DE-SU 521 BOOKEM,JENNY-LOU MRSHL TOYSTORY,ATHOL M K VULCAN,ETAZON JIMTOWN,FULLERTONS WARD,HIBI SECRET SKELTON,KAPAWAI JIMTOWN POSH,LLOYDS EXCELLENCY,MCMILLANS TROPHY,SAVANNAHS HF HAMMER S1F
Column Order,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
DE-SU ALTAMELHOR - 011HO11077,1,0.5,0.497729852,0.429057889,0.416572077,0.303632236,0.286038593,0.376844495,0.106696935,0,0.218501703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ROYLANE BOXER PUNCH 4311-ET - 7HO11207,2,0.5,0.497729852,0.429057889,0.416572077,0.303632236,0.286038593,0.376844495,0.106696935,0,0.218501703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DELTA ALONSO - CRVALONSO,3,1,0.497729852,0,0.416572077,0.303632236,0.286038593,0.376844495,0,0,0,0,0,0,0,0,0,0,0,0,0.085130533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VH MOGENS - VIKVHMOGENS,4,0.5,0.497729852,0.429057889,0.416572077,0.303632236,0.286038593,0,0.106696935,0,0,0,0,0,0,0,0,0.072077185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RENGAW MANOMAN HUMMER-ET - GEEMCEE,5,0.5,0.497729852,0.429057889,0.416572077,0.303632236,0.286038593,0.376844495,0.106696935,0,0,0,0,0,0,0,0.080590238,0,0,0,0,0.056186152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RENGAW MANOMAN WRANGLER-ET - WRANGLER,6,0.5,0.497729852,0.429057889,0.416572077,0.303632236,0.286038593,0.376844495,0.106696935,0,0,0,0,0,0,0,0.080590238,0,0,0,0,0.056186152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMIGHETTI NUMERO UNO - 0200HO07450,7,0.5,0.497729852,0.429057889,0.416572077,0.303632236,0.286038593,0.376844495,0.106696935,0,0,0,0,0,0,0,0.080590238,0,0,0,0,0.056186152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S-S-I SHAMROCK MYSTIC - 7HO11395,8,0.5,0.995459705,0,0.416572077,0,0,0.75368899,0,0,0,0,0.066969353,0,0,0,0,0,0.037457435,0.037457435,0,0,0,0,0,0.017026107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TOPSPEED GOLDYN-ET - GOLDCREST,9,1,0,0,0,0,0,0,0,0.329171396,0.218501703,0.173666288,0,0,0,0,0,0,0,0,0,0,0.368898978,0,0,0,0,0,0,0,0,0,0,0.119182747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GALLRAE TENNYSON YJ - YJ,10,0,0.497729852,0.429057889,0.416572077,0.303632236,0.286038593,0,0.106696935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.203178207,0,0,0,0,0,0,0,0,0,0.05107832,0.050510783,0,0,0,0,0,0,0,0,0,0,0
RENGAW JARDIN JANEK - JANEK,11,0.5,0.497729852,0,0.416572077,0,0,0.376844495,0,0,0,0,0,0.150397276,0,0.131101022,0,0.072077185,0,0,0,0,0,0.10215664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BUSHLEA PERFECTOR BOLD-ET - BUDDHA,12,1,0,0,0,0,0,0,0,0.329171396,0.218501703,0.173666288,0,0,0.089103292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COGENT TWIST - COGENTTWIST,13,0.5,0.497729852,0,0.416572077,0,0,0.376844495,0,0,0,0,0,0,0,0,0,0.14415437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.049943246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PETHERTON DENSITY - 0200HO02700,14,0,0,0.429057889,0,0.303632236,0.286038593,0,0.106696935,0.329171396,0.218501703,0.173666288,0,0,0,0,0.080590238,0,0,0,0,0.056186152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GEN-I-BEQ LAVAMAN - 0200HO06267,15,0,0,0.429057889,0,0.303632236,0.286038593,0,0.106696935,0.329171396,0.218501703,0.173666288,0,0,0,0,0.080590238,0,0,0,0,0.056186152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
