column,Row Order,O-BEE MANFRED JUSTICE,PICSTON SHOTTLE,CAROL PRELUDE MTOTO ET,BRAEDALE GOLDWYN,HA-HO CUBBY MANFRED-ET,A RONNYBROOK PRELUDE ET,MADAWASKA AEROSTAR,EMPRISE BELL ELTON,ENSENADA TABOO PLANET ET,JOCKO BESN,MAUGHLIN STORM,DIXIE-LEE AARON -ET,ROUMARE,ELITE GOLD BULLION-IMP-ET,OSDEL-ENDEAVOR BOVA CUBBY,GIBBON,OUT-JOCK CHOICE AMEL,RAMOS,BURLANE TENNYSON,ROSE-BAUM TABOO,NORRIELAKE CLEITUS LUKE TWIN,Q250 BESNE BUCK,A MARK CJ GILBROOK GRAND ET,MARA-THON BW MARSHALL,AG-HIGH SIGHTS BS INGOT-ET,DE-SU 521 BOOKEM,BIS-MAY S-E-L MOUNTAIN ET,ELITE MOUNTAIN DONOR IMP (E_T),HANOVERHILL STARBUCK,KED JUROR ET,LANCELOT,DELLKA JUROR GORDON - TW,JENNY-LOU MRSHL TOYSTORY,END-ROAD BLACKSTAR MAJIC-ET,BIS-MAY TRADITION CLEITUS,MAIZEFIELD BELLWOOD - (E_T_),MJR BLACKSTAR EMORY-ET,LUKAS-ET,CARLIN-M IVANHOE BELL,ROTHROCK TRADITION LEADMAN,HOW-EL-ACRES K BELLMAN ET,SHEN-VAL NV LM FORMATION-ET,ATHOL M K VULCAN,ETAZON JIMTOWN,FULLERTONS WARD,HIBI SECRET SKELTON,KAPAWAI JIMTOWN POSH,LLOYDS EXCELLENCY,MCMILLANS TROPHY,SAVANNAHS HF HAMMER S1F
Column Order,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
ROYLANE BOXER PUNCH 4311-ET - 7HO11207,1,0.504185133,0.994176877,0.375468063,0.622224925,0.135263596,0.106630602,0.113908108,0.106751692,0,0,0,0,0,0,0.023291031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE-SU ALTAMELHOR - 011HO11077,2,0.504185133,0.994176877,0.375468063,0.622224925,0.135263596,0.106630602,0.113908108,0.106751692,0,0,0,0,0,0,0.023291031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RENGAW MANOMAN HUMMER-ET - GEEMCEE,3,0.504185133,0.994176877,0.375468063,0,0.135263596,0.106630602,0.113908108,0.106751692,0,0,0,0.09183546,0,0,0.023291031,0,0,0,0,0,0.035180637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMIGHETTI NUMERO UNO - 0200HO07450,4,0.504185133,0.994176877,0.375468063,0,0.135263596,0.106630602,0.113908108,0.106751692,0,0,0,0.09183546,0,0,0.023291031,0,0,0,0,0,0.035180637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RENGAW MANOMAN WRANGLER-ET - WRANGLER,5,0.504185133,0.994176877,0.375468063,0,0.135263596,0.106630602,0.113908108,0.106751692,0,0,0,0.09183546,0,0,0.023291031,0,0,0,0,0,0.035180637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DELTA ALONSO - CRVALONSO,6,0.502729352,0.994176877,0.375468063,0,0.134899643,0.106630602,0.114029415,0,0,0,0,0,0,0,0,0,0,0.062719629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE-SU DISTINCTION 11130 - 7HO11775,7,0.502729352,0.992721097,0.37510411,0,0.134899643,0,0,0,0.077641637,0,0,0.091471507,0,0,0,0,0.027901609,0,0,0.01941013,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003760526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GALLRAE TENNYSON YJ - YJ,8,0.504185133,0,0.375468063,0,0.135263596,0.106630602,0,0.106751692,0,0,0,0,0,0,0.023291031,0,0,0,0.37559142,0,0,0,0,0,0,0,0,0,0,0.123254546,0,0.09583888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RENGAW JARDIN JANEK - JANEK,9,0,0.994176877,0.375468063,0,0,0.106630602,0.113908108,0,0,0.172024488,0,0,0,0,0,0,0,0,0,0,0,0.041973504,0,0,0,0,0,0,0.017711051,0,0,0,0,0,0.027779867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PETHERTON DENSITY - 0200HO02700,10,0.504185133,0,0,0.623680706,0.135263596,0,0,0.106751692,0,0,0.162559383,0.09183546,0,0,0.023291031,0,0,0,0,0,0.035180637,0,0.038333198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GEN-I-BEQ LAVAMAN - 0200HO06267,11,0.504185133,0,0,0.623680706,0.135263596,0,0,0.106751692,0,0,0.162559383,0.09183546,0,0,0.023291031,0,0,0,0,0,0.035180637,0,0.038333198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HILL VALLEY NIELS - NIELS,12,0,0.994176877,0.375468063,0,0,0.106630602,0.113908108,0,0.08346476,0,0,0,0,0,0,0,0.028265562,0,0,0.02086591,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004124479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LADYS-MANOR PL SHAMROCK - 7HO10849,13,0,0.994176877,0.375468063,0,0,0.106630602,0.113908108,0,0.08346476,0,0,0,0,0,0,0,0.028265562,0,0,0.02086591,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004124479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
