column,Row Order,JUDDS ADMIRAL,MASON BOOMER SOONER BERRETTA,COMFORT ROYAL ALF (E_T_),FYN LEMVIG,ROYALS GREEN ELMO,CLAYDON PARK FLOWER POWER,J_ S_ QUICKSILVER ROYAL,TINOPAI WAIUKU GR,HIGHLAND DUNCAN LESTER,ROCK ELLA PERIMITER,KAARMONA VALERIAN,WINDY WILLOW MONTANA JACE,ROCKMAPLE BROOK MONTANA,MOLLY BROOK BRASS MAJOR,SOLDIERBOY BOOMER SOONER OF CJF,DUNCANS PRINCE MALCOLM,LIGHTWOOD LUCRATIVE,AHLEM LEMVIG ABE,BW PARADE-ET,ROCK ELLA PARAMOUNT-ET,PANNOO ABE VANAHLEM,OKURA MANHATTEN-ET SJ3,SKE IDE,ISDK Q IMPULS,CAIRNBRAE JACES ELTON,KONUI GLEN ELMOS BOWIE,ROCKY HILL SKY LINE,DARAWAY FLOWERPOWER NAVARA,HIGHLAND MAGIC DUNCAN,LAWMUIR ELTON,MEADOW LAWN J IMPERIAL 50R ET,JAS BYG,ALL LYNNS LOUIE VALENTINO,BHF-SSF PARADE LOUIE,Jersey Herd Bull / Unknown Bull,PARKWOOD CASPER,RICHIES JACE TBONE A364,SKE HEDE,MITCHELLS LIKABULL SJ3,MVF BOLD VENTURE DANIEL,SILVER FALLS QUICK FAME,SWEET GRASS LESTER GRAYSON,ABERDEEN VALERIAN SANDOWN-ET,SUNSET CANYON MAXIMUM,OKURA LIKA MURMUR S3J,BEULAH TARANAK BADGER,PANNOO BRAX,COLNARCO NAVARIAN,BROADLIN HATMAN,PANNOO VLINE
Column Order,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
WHITE STAR KEVIN - KEVIN,1,1,0.360132159,0,0,0.292951542,0,0.392070485,0.3469163,0,0.131057269,0.120044053,0,0,0,0.146475771,0,0,0,0,0,0,0,0,0,0,0.066079295,0,0,0.06277533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BROADLIN VOLOCITY - VOLATILE,2,0.5,0.720264317,0,0,0.292951542,0,0.392070485,0.3469163,0,0.131057269,0.120044053,0,0,0,0.146475771,0,0.061674009,0,0,0,0,0,0,0,0,0,0,0,0,0.11784141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WHITE STAR MUMFORD - CRVMUMFORD,3,1,0.360132159,0.27753304,0,0.292951542,0.1530837,0,0.3469163,0,0.131057269,0.120044053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.066079295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008810573,0,0,0,0,0,0,0
COLNARCO VANMUR - VANMUR,4,1,0.360132159,0,0,0,0,0.392070485,0.3469163,0,0.131057269,0.120044053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.093612335,0,0,0.04185022,0,0.040748899,0,0,0,0.025330396,0,0,0,0,0
BROADLIN DOUBLEUP - DOUBLEUP,5,1,0.720264317,0,0.194933921,0,0,0,0,0,0.262114537,0.240088106,0,0,0,0,0,0,0.025330396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BROADLIN STACKER - STACKER,6,0.5,0.360132159,0.27753304,0.194933921,0.292951542,0.1530837,0,0,0,0.131057269,0.120044053,0,0,0,0,0,0,0,0,0,0,0.082599119,0,0,0,0,0,0.017621145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002202643,0
WHITE STAR GAVIN - CRVGAVIN,7,0,0.360132159,0.27753304,0.194933921,0.585903084,0.1530837,0,0.3469163,0,0,0,0,0,0,0,0,0.061674009,0,0,0,0,0.082599119,0,0,0,0,0,0.017621145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002202643,0
PANNOO VLINE - CRVLINE,8,0.5,0.360132159,0.27753304,0,0,0,0.392070485,0,0,0.131057269,0.120044053,0.081497797,0.079295154,0.053964758,0,0.046255507,0,0,0,0,0,0,0,0,0.030837004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004405286
BROADLIN VELCRO ET - VELCRO,9,0.5,0.360132159,0.27753304,0,0,0,0.392070485,0,0,0.131057269,0.120044053,0.081497797,0.079295154,0.053964758,0,0.046255507,0,0,0,0,0,0,0,0,0.030837004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BROADLIN LEVI - LEVIGENES,10,0.5,0.360132159,0.27753304,0.194933921,0,0.1530837,0,0,0.172907489,0.131057269,0.120044053,0,0,0,0,0,0,0.025330396,0,0,0.023127753,0,0,0,0,0,0.018722467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WALLACEDALE MELS VOYAGE - VOYAGEDALE,11,0.5,0.360132159,0.27753304,0.194933921,0,0.1530837,0,0,0.172907489,0.131057269,0.120044053,0,0,0,0,0,0,0.025330396,0,0,0.023127753,0,0,0,0,0,0.018722467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WALLACEDALE MELS VOUYANT - VOUYANT,12,0.5,0.360132159,0.27753304,0.194933921,0,0.1530837,0,0,0.172907489,0.131057269,0.120044053,0,0,0,0,0,0,0.025330396,0,0,0.023127753,0,0,0,0,0,0.018722467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARALUEN PARK SEVILLE - SEVILLA,13,0.5,0.360132159,0.27753304,0.194933921,0,0.1530837,0,0,0.172907489,0.131057269,0.120044053,0,0,0,0,0,0,0.025330396,0,0,0.023127753,0,0,0,0,0,0.018722467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEULAH S HATMAN 4236 - HUXLEY,14,0,0,0.555066079,0.194933921,0.585903084,0.1530837,0,0.3469163,0,0,0,0,0,0,0,0,0,0,0,0,0,0.082599119,0,0,0,0,0,0.017621145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022026432,0,0,0.002202643,0
BEULAH BRAX KP 4411 - AINSLEY,15,0.5,0,0,0.194933921,0.585903084,0.1530837,0,0.3469163,0,0,0,0,0,0,0,0,0.061674009,0.025330396,0,0,0.023127753,0,0,0,0,0.066079295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003303965,0,0,0
PANNOO BRAX - CRVBRAX,16,0,0.360132159,0.27753304,0.194933921,0.292951542,0.1530837,0,0.3469163,0.172907489,0,0,0,0,0,0,0,0.061674009,0.025330396,0,0,0.023127753,0,0,0,0,0,0.018722467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003303965,0,0,0
INVERLAIR HEIGHTS RACEWAY FERRARI - CSCFERRARI,17,0.5,0.360132159,0.27753304,0.194933921,0,0.1530837,0,0,0,0.131057269,0.120044053,0.081497797,0.079295154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00660793,0,0,0,0,0,0.008810573,0,0,0,0,0,0,0
WALLACEDALE MELS SPILLWAY - CSCSPILLWAY,18,0.5,0.360132159,0.27753304,0.194933921,0,0.1530837,0,0,0,0.131057269,0.120044053,0.081497797,0.079295154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00660793,0,0,0,0,0,0.008810573,0,0,0,0,0,0,0
KADDY ELTON SANDSTORM - SANDSTORM,19,0.5,0,0.27753304,0.194933921,0,0,0.392070485,0,0.172907489,0,0,0.081497797,0.079295154,0.053964758,0,0.046255507,0,0,0,0,0,0.082599119,0,0,0.030837004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEULAH BRAX DROGO - DROGO,20,0.5,0.360132159,0,0.194933921,0.292951542,0.1530837,0,0,0,0.131057269,0.120044053,0,0,0,0,0,0.061674009,0.025330396,0,0,0.023127753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003303965,0,0,0
ARALUEN PARK BANDANNA - CSCBANDANNA,21,0.5,0.360132159,0,0.194933921,0,0,0,0,0.172907489,0.131057269,0.120044053,0.081497797,0.079295154,0.053964758,0,0.046255507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00660793,0,0,0,0,0,0,0,0,0,0,0,0,0
BROOKBORA TBONE BORAT - BORAT,22,0,0.360132159,0,0.194933921,0.292951542,0,0,0.3469163,0.172907489,0,0,0.081497797,0.079295154,0.053964758,0,0.046255507,0.061674009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00660793,0,0,0,0,0,0,0,0,0,0,0,0,0
KAARAMONA GRIFFIN - GRIFF,23,0.5,0.360132159,0,0.194933921,0,0.306167401,0,0,0,0.131057269,0.120044053,0,0,0,0,0,0,0.025330396,0,0,0.023127753,0,0,0,0,0,0,0.017621145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007709251,0,0
ARALUEN PARK SEAHORSE - SEAHORSE,24,0.5,0.360132159,0,0.194933921,0,0.1530837,0,0,0,0.131057269,0.120044053,0.081497797,0.079295154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017621145,0,0,0,0,0,0,0,0,0.00660793,0,0,0,0,0,0,0,0,0,0,0.007709251,0,0
BEULAH TAHBILK - TAHBILK,25,0,0,0.555066079,0.194933921,0.292951542,0.306167401,0,0,0.172907489,0,0,0,0,0,0,0,0,0.025330396,0,0,0.023127753,0,0,0,0,0,0.018722467,0.017621145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KINGS VIEW VALIN 4697 - VALIN,26,0,0.360132159,0.555066079,0,0.292951542,0.1530837,0,0,0,0,0,0,0,0,0,0,0,0,0.036343612,0.029735683,0,0,0,0,0,0,0,0.017621145,0,0,0,0,0.009911894,0.009911894,0,0,0,0,0,0,0,0.005506608,0,0,0,0,0,0,0,0
NOWELL SHAQ - SHAQ,27,0,0,0.27753304,0.194933921,0,0,0.392070485,0,0,0,0,0.162995595,0.158590308,0.053964758,0,0.046255507,0,0,0,0,0,0,0,0,0.030837004,0,0,0,0,0,0,0,0,0,0,0,0.00660793,0,0,0,0,0,0,0,0,0,0,0,0,0
NOWELL SPYRO - SPYRO,28,0,0,0.27753304,0.389867841,0,0.1530837,0,0,0.172907489,0,0,0.081497797,0.079295154,0,0,0,0,0.025330396,0,0,0.023127753,0,0,0,0,0,0.018722467,0,0,0,0,0,0,0,0,0,0.00660793,0,0,0,0,0,0,0,0,0,0,0,0,0
