column,Row Order,KAARMONA VALERIAN,CLAYDON PARK FLOWER POWER,ROYALS GREEN ELMO,FYN LEMVIG,MASON BOOMER SOONER BERRETTA,JUDDS ADMIRAL,LIGHTWOOD LUCRATIVE,PANNOO ABE VANAHLEM,ROCK ELLA PERIMITER,WINDY WILLOW MONTANA JACE,COMFORT ROYAL ALF (E_T_),CAIRNBRAE JACES ELTON,TINOPAI WAIUKU GR,RICHIES JACE TBONE A364,AHLEM LEMVIG ABE,ISDK Q IMPULS,ALL LYNNS LOUIE VALENTINO,KONUI GLEN ELMOS BOWIE,ROCKMAPLE BROOK MONTANA,HIGHLAND DUNCAN LESTER,J_ S_ QUICKSILVER ROYAL,OKURA MANHATTEN-ET SJ3,ABERDEEN VALERIAN SANDOWN-ET,DARAWAY FLOWERPOWER NAVARA,OKURA LIKA MURMUR S3J,PANNOO BRAX,SKE IDE,BHF-SSF PARADE LOUIE,ROCK ELLA PARAMOUNT-ET,COLNARCO NAVARIAN,BW PARADE-ET,MOLLY BROOK BRASS MAJOR,MITCHELLS LIKABULL SJ3,SOLDIERBOY BOOMER SOONER OF CJF,BROADLIN HATMAN,DUNCANS PRINCE MALCOLM,SUNSET CANYON MAXIMUM,PARKWOOD CASPER,PANNOO VLINE,BEULAH TARANAK BADGER,Jersey Herd Bull / Unknown Bull,MEADOW LAWN J IMPERIAL 50R ET,JAS BYG,SILVER FALLS QUICK FAME,ROCKY HILL SKY LINE,HIGHLAND MAGIC DUNCAN,LAWMUIR ELTON,MVF BOLD VENTURE DANIEL,SWEET GRASS LESTER GRAYSON,SKE HEDE
Column Order,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
BEULAH BRAX DROGO - DROGO,1,0.984293194,0.338350325,0.555626387,0.20844088,0.212364314,0.292205571,0.757853403,0.382198953,0.267015372,0,0,0,0,0,0.098167539,0,0,0,0,0,0,0,0,0,0,0.083769634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WHITE STAR MUMFORD - CRVMUMFORD,2,0.984293194,0.339332021,0.556608084,0,0.212364314,0.292532775,0,0,0.267015372,0,0.166226764,0,0.207456335,0,0,0,0,0.429319372,0,0,0,0,0.188481675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BROADLIN VOLOCITY - VOLATILE,3,0.984293194,0,0.560534785,0,0.213673215,0.292205571,0.777486911,0,0.267015372,0,0,0,0.208438031,0,0,0,0,0,0,0,0.12368377,0,0,0,0,0,0,0,0,0,0,0,0,0.047772147,0,0,0,0,0,0,0,0,0,0,0,0,0.035338052,0,0,0
BROADLIN STACKER - STACKER,4,0.984293194,0.339332021,0.555626387,0.20844088,0.212364314,0.292205571,0,0,0.267015372,0,0.166226764,0,0,0,0,0,0,0,0,0,0,0.239855916,0,0.061518325,0,0,0,0,0,0,0,0,0,0,0.062827225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEULAH BRAX KP 4411 - AINSLEY,5,0,0.338350325,0.556935288,0.20844088,0,0.292205571,0.757853403,0.382198953,0,0,0,0,0.207456335,0,0.098167539,0,0,0.429319372,0,0,0,0,0,0,0,0.083769634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WHITE STAR KEVIN - KEVIN,6,1,0,0.556608084,0,0.21334601,0.293514471,0,0,0.270942073,0,0,0,0.207456335,0,0,0,0,0.429319372,0,0,0.12368377,0,0,0,0,0,0,0,0,0,0,0,0,0.047772147,0,0,0,0,0,0,0,0,0,0,0,0.020941236,0,0,0,0
PANNOO BRAX - CRVBRAX,7,0,0.339332021,0.556608084,0.209422576,0.212364314,0,0.761780105,0.397905759,0,0,0.166226764,0,0.207456335,0,0.102094241,0,0,0,0,0.067405403,0,0,0,0,0,0.104712042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005889675,0,0,0,0,0
INVERLAIR HEIGHTS RACEWAY FERRARI - CSCFERRARI,8,0.984293194,0.339332021,0,0.20844088,0.212364314,0.292205571,0,0,0.267015372,0.261125613,0.166226764,0,0,0.130890052,0,0,0,0,0.065117152,0,0,0,0.188481675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WALLACEDALE MELS SPILLWAY - CSCSPILLWAY,9,0.984293194,0.339332021,0,0.20844088,0.212364314,0.292205571,0,0,0.267015372,0.261125613,0.166226764,0,0,0.130890052,0,0,0,0,0.065117152,0,0,0,0.188481675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARALUEN PARK SEVILLE - SEVILLA,10,0.984293194,0.339332021,0,0.209422576,0.212364314,0.292205571,0,0.397905759,0.267015372,0,0.166226764,0,0,0,0.102094241,0,0,0,0,0.067405403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005889675,0,0,0,0,0
WALLACEDALE MELS VOUYANT - VOUYANT,11,0.984293194,0.339332021,0,0.209422576,0.212364314,0.292205571,0,0.397905759,0.267015372,0,0.166226764,0,0,0,0.102094241,0,0,0,0,0.067405403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005889675,0,0,0,0,0
BROADLIN LEVI - LEVIGENES,12,0.984293194,0.339332021,0,0.209422576,0.212364314,0.292205571,0,0.397905759,0.267015372,0,0.166226764,0,0,0,0.102094241,0,0,0,0,0.067405403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005889675,0,0,0,0,0
WALLACEDALE MELS VOYAGE - VOYAGEDALE,13,0.984293194,0.339332021,0,0.209422576,0.212364314,0.292205571,0,0.397905759,0.267015372,0,0.166226764,0,0,0,0.102094241,0,0,0,0,0.067405403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005889675,0,0,0,0,0
PANNOO VLINE - CRVLINE,14,0.984293194,0,0,0,0.212364314,0.292205571,0,0,0.267015372,0.265052314,0.167208461,0.481675393,0,0,0,0,0,0,0.066098848,0,0.12368377,0,0,0,0,0,0,0,0,0,0,0.018323602,0,0,0,0.01406978,0,0,0.12565445,0,0,0,0,0,0,0,0,0,0,0
KAARAMONA GRIFFIN - GRIFF,15,0.984293194,0.338677529,0,0.20844088,0.212364314,0.292205571,0,0.382198953,0.267015372,0,0,0,0,0,0.098167539,0,0,0,0,0,0,0,0,0.057591623,0,0,0,0,0,0.167539267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARALUEN PARK SEAHORSE - SEAHORSE,16,0.984293194,0.338350325,0,0.20844088,0.212364314,0.292205571,0,0,0.267015372,0.261125613,0,0,0,0.130890052,0,0,0,0,0.065117152,0,0,0,0,0.057591623,0,0,0,0,0,0.167539267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COLNARCO VANMUR - VANMUR,17,0.984293194,0,0,0,0.212364314,0.292532775,0,0,0.267015372,0,0,0,0.207456335,0,0,0,0,0,0,0,0.12368377,0,0,0,0.471204188,0,0,0,0,0,0,0,0.195353382,0,0,0,0,0.14201533,0,0,0,0,0,0.04875644,0,0,0,0,0,0
BROADLIN VELCRO ET - VELCRO,18,0.984293194,0,0,0,0.212364314,0.292205571,0,0,0.267015372,0.265052314,0.167208461,0.481675393,0,0,0,0,0,0,0.066098848,0,0.12368377,0,0,0,0,0,0,0,0,0,0,0.018323602,0,0,0,0.01406978,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DALBORA BRAX 5097 BROWNLOW - BROWNLOW,19,0,0.338350325,0.555626387,0.208768084,0,0,0.757853403,0.382198953,0,0.261125613,0,0,0,0.130890052,0.098167539,0,0,0,0.065117152,0,0,0,0,0,0,0.083769634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WHITE STAR GAVIN - CRVGAVIN,20,0,0.339332021,0.556935288,0.20844088,0.212364314,0,0.761780105,0,0,0,0.166226764,0,0.207456335,0,0,0,0,0,0,0,0,0.239855916,0,0.061518325,0,0,0,0,0,0,0,0,0,0,0.062827225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARALUEN PARK BANDANNA - CSCBANDANNA,21,0.984293194,0,0,0.209422576,0.212364314,0.292205571,0,0,0.267015372,0.265052314,0,0,0,0.146596859,0,0,0,0,0.066098848,0.067405403,0,0,0,0,0,0,0,0,0,0,0,0.018323602,0,0,0,0.01406978,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BROOKBORA TBONE BORAT - BORAT,22,0,0,0.556608084,0.209422576,0.212364314,0,0.761780105,0,0,0.265052314,0,0,0.207456335,0.146596859,0,0,0,0,0.066098848,0.067405403,0,0,0,0,0,0,0,0,0,0,0,0.018323602,0,0,0,0.01406978,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEULAH BRAX 4289 - BAYMAX,23,0,0.338350325,0.555626387,0.20844088,0,0,0.757853403,0.382198953,0,0,0,0,0,0,0.098167539,0,0,0,0,0,0,0,0,0,0,0.083769634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01047112,0,0,0,0,0,0,0,0,0
BROADLIN BUZZBOX - BUZZBOX,24,0.980366492,0.338350325,0,0,0.212364314,0,0,0,0.266033675,0,0.166226764,0,0,0,0,0,0.146596859,0,0,0,0,0,0.172774869,0,0,0,0,0.036649215,0.031740733,0,0.029777173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001963225,0
BROADLIN DOUBLEUP - DOUBLEUP,25,0.989528796,0,0,0.20844088,0.212691518,0.292532775,0,0,0.268324272,0,0,0,0,0,0.098167539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
