column,Row Order,J_ S_ QUICKSILVER ROYAL,JUDDS ADMIRAL,MASON BOOMER SOONER BERRETTA,TINOPAI WAIUKU GR,COMFORT ROYAL ALF (E_T_),ROYALS GREEN ELMO,FYN LEMVIG,SOLDIERBOY BOOMER SOONER OF CJF,HIGHLAND DUNCAN LESTER,ROCK ELLA PERIMITER,CLAYDON PARK FLOWER POWER,KAARMONA VALERIAN,LAWMUIR ELTON,HIGHLAND MAGIC DUNCAN,WINDY WILLOW MONTANA JACE,ROCKMAPLE BROOK MONTANA,OKURA MANHATTEN-ET SJ3,PARKWOOD CASPER,MOLLY BROOK BRASS MAJOR,DUNCANS PRINCE MALCOLM,LIGHTWOOD LUCRATIVE,SKE HEDE,SKE IDE,BW PARADE-ET,ISDK Q IMPULS,ROCK ELLA PARAMOUNT-ET,DARAWAY FLOWERPOWER NAVARA,KONUI GLEN ELMOS BOWIE,S_S_ QUICKSILVER OF FALLNEVA,MEADOW LAWN J IMPERIAL 50R ET,JAS BYG,VAN DER FITS FJORD GR,CAIRNBRAE JACES ELTON,TAWA GROVE MAUNGA ET S3J,BAYLEA PENNYS CARLOS SJ3,AHLEM LEMVIG ABE,LIGHTWOOD LEDA,WILLIAMS MINSTREL,NOAKES NEVVY SJ2,WILLIAMS ROBS NORMAN,MITCHELLS LIKABULL SJ3,SILVER FALLS QUICK FAME,ALL LYNNS LOUIE VALENTINO,BHF-SSF PARADE LOUIE,NOWELL TARSAN,RICHIES JACE TBONE A364,OKURA LIKA MURMUR S3J,PANNOO ABE VANAHLEM,WHITE STAR GREG,ABERDEEN VALERIAN SANDOWN-ET
Column Order,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
WHITE STAR GREG - BOSGREGSTAR,1,0.392070485,1,0.360132159,0.3469163,0,0.292951542,0,0.146475771,0,0.131057269,0,0.120044053,0,0.06277533,0,0,0,0,0,0,0,0,0,0,0,0,0,0.066079295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015418502,0
WALLACEDALE MARVARIE ET - CRVMARVARIE,2,0.784140969,0,0.720264317,0.3469163,0.555066079,0.292951542,0,0,0,0,0.1530837,0,0,0,0,0,0,0,0,0,0,0,0,0.036343612,0,0,0.017621145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABERDEEN VALERIAN SANDOWN-ET - RACEWAY,3,0.784140969,0.5,0.720264317,0,0.27753304,0,0,0.146475771,0,0.131057269,0.1530837,0.120044053,0,0.06277533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008810573
ABERDEEN VALERIAN ROUNDHILL-ET - ROUNDHILL,4,0.784140969,0.5,0.720264317,0,0.27753304,0,0,0.146475771,0,0.131057269,0.1530837,0.120044053,0,0.06277533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NOWELL VIPER - VIPOR,5,0.784140969,0.5,0.720264317,0,0.27753304,0,0,0.146475771,0,0.131057269,0.1530837,0.120044053,0,0.06277533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BROADLIN VOLOCITY - VOLATILE,6,0.392070485,0.5,0.720264317,0.3469163,0,0.292951542,0,0.146475771,0,0.131057269,0,0.120044053,0.11784141,0,0,0,0,0,0,0,0.061674009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARALUEN PARK LARFALOT SAGE - SAGE,7,0.392070485,0.5,0.720264317,0.3469163,0,0.292951542,0,0.146475771,0,0.131057269,0,0.120044053,0.11784141,0,0,0,0,0,0,0,0.061674009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARALUEN PARK STRZELECKI - STRZELECKI,8,0.392070485,0.5,0.720264317,0.3469163,0,0.292951542,0,0.146475771,0,0.131057269,0,0.120044053,0.11784141,0,0,0,0,0,0,0,0.061674009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BROADLIN HATMAN - 0200JE08165,9,0.392070485,0.5,0.360132159,0.3469163,0.27753304,0.292951542,0.194933921,0,0.172907489,0,0.1530837,0,0,0,0,0,0.082599119,0,0,0,0,0,0,0,0,0,0.017621145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KADDY LARFALOT SEGA - ET - SEGA,10,0.392070485,0.5,0.360132159,0.3469163,0,0.292951542,0.194933921,0.146475771,0.172907489,0,0,0,0.11784141,0,0,0,0.082599119,0,0,0,0.061674009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ROCKLEIGH PARK VALERIAN VAVOOM - VAVOOM,11,0.392070485,1,0.360132159,0,0,0,0.194933921,0.146475771,0.172907489,0.131057269,0,0.120044053,0,0.06277533,0,0,0.082599119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOORAMI NESSY 2 TOMY - KIEL,12,0.392070485,1,0.360132159,0,0,0,0.194933921,0.146475771,0.172907489,0.131057269,0,0.120044053,0,0.06277533,0,0,0.082599119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
