column,Row Order,KAARMONA VALERIAN,ROYALS GREEN ELMO,JUDDS ADMIRAL,MASON BOOMER SOONER BERRETTA,LIGHTWOOD LUCRATIVE,TINOPAI WAIUKU GR,J_ S_ QUICKSILVER ROYAL,FYN LEMVIG,CLAYDON PARK FLOWER POWER,ROCK ELLA PERIMITER,COMFORT ROYAL ALF (E_T_),WINDY WILLOW MONTANA JACE,OKURA MANHATTEN-ET SJ3,CAIRNBRAE JACES ELTON,HIGHLAND DUNCAN LESTER,SOLDIERBOY BOOMER SOONER OF CJF,ISDK Q IMPULS,KONUI GLEN ELMOS BOWIE,PARKWOOD CASPER,TAWA GROVE MAUNGA ET S3J,ROCKMAPLE BROOK MONTANA,ALL LYNNS LOUIE VALENTINO,DARAWAY FLOWERPOWER NAVARA,RICHIES JACE TBONE A364,LAWMUIR ELTON,OKURA LIKA MURMUR S3J,NOWELL TARSAN,HIGHLAND MAGIC DUNCAN,NOAKES NEVVY SJ2,PANNOO ABE VANAHLEM,WHITE STAR GREG,WILLIAMS MINSTREL,SKE IDE,AHLEM LEMVIG ABE,MITCHELLS LIKABULL SJ3,ABERDEEN VALERIAN SANDOWN-ET,VAN DER FITS FJORD GR,MOLLY BROOK BRASS MAJOR,ROCK ELLA PARAMOUNT-ET,BHF-SSF PARADE LOUIE,BW PARADE-ET,LIGHTWOOD LEDA,DUNCANS PRINCE MALCOLM,WILLIAMS ROBS NORMAN,SKE HEDE,MEADOW LAWN J IMPERIAL 50R ET,JAS BYG,BAYLEA PENNYS CARLOS SJ3,SILVER FALLS QUICK FAME,S_S_ QUICKSILVER OF FALLNEVA
Column Order,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
BROADLIN VOLOCITY - VOLATILE,1,0.964102564,0.549036636,0.28621161,0.209290174,0.761538462,0.204162379,0.121146667,0,0,0.261538133,0,0,0,0,0,0.046792205,0,0,0,0,0,0,0,0,0.034613169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARALUEN PARK LARFALOT SAGE - SAGE,2,0.964102564,0.549036636,0.28621161,0.209290174,0.761538462,0.204162379,0.121146667,0,0,0.261538133,0,0,0,0,0,0.046792205,0,0,0,0,0,0,0,0,0.034613169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARALUEN PARK STRZELECKI - STRZELECKI,3,0.964102564,0.549036636,0.28621161,0.209290174,0.761538462,0.204162379,0.121146667,0,0,0.261538133,0,0,0,0,0,0.046792205,0,0,0,0,0,0,0,0,0.034613169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WHITE STAR GREG - BOSGREGSTAR,4,0.979487179,0.545190482,0.287493662,0.208969682,0,0.203200821,0.121146667,0,0,0.265384287,0,0,0,0,0,0.046792205,0,0.420512821,0,0,0,0,0,0,0,0,0,0.020511672,0,0,0.328205128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COLNARCO NAVARIAN - NAVARIAN,5,0.979487179,0.544228923,0.287173169,0.208969682,0,0,0.121146667,0,0.332371364,0.265384287,0.162816985,0,0,0,0,0.046792205,0,0,0,0,0,0,0.06025641,0,0,0,0,0.020511672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BROADLIN VELCRO ET - VELCRO,6,0.964102564,0,0.28621161,0.208008123,0,0,0.121146667,0,0,0.261538133,0.163778544,0.259615344,0,0.471794872,0,0,0,0,0,0,0.064742974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017947733,0,0,0,0,0.013781169,0,0,0,0,0,0,0
PANNOO VLINE - CRVLINE,7,0.964102564,0,0.28621161,0.208008123,0,0,0.121146667,0,0,0.261538133,0.163778544,0.259615344,0,0.471794872,0,0,0,0,0,0,0.064742974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017947733,0,0,0,0,0.013781169,0,0,0,0,0,0,0
KADDY LARFALOT SEGA - ET - SEGA,8,0,0.549036636,0.28621161,0.208969682,0.761538462,0.204162379,0.121146667,0.205126728,0,0,0,0,0.238781949,0,0.066022728,0.046792205,0,0,0,0,0,0,0,0,0.034613169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABERDEEN VALERIAN SANDOWN-ET - RACEWAY,9,0.979487179,0,0.287173169,0.209290174,0,0,0.121467159,0,0.336217518,0.265384287,0.163778544,0,0,0,0,0.046792205,0,0,0,0,0,0,0,0,0,0,0,0.020511672,0,0,0,0,0,0,0,0.205128205,0,0,0,0,0,0,0,0,0,0,0,0,0,0
