column,Row Order,PICSTON SHOTTLE,O-BEE MANFRED JUSTICE,HA-HO CUBBY MANFRED-ET,CAROL PRELUDE MTOTO ET,MADAWASKA AEROSTAR,ENSENADA TABOO PLANET ET,MAUGHLIN STORM,ROSE-BAUM TABOO,JOCKO BESN,SHOREMAR JAMES,EMPRISE BELL ELTON,BRAEDALE GOLDWYN,HILL VALLEY BASAR ACME,BASAR,A RONNYBROOK PRELUDE ET,Q250 BESNE BUCK,MARA-THON BW MARSHALL,A MARK CJ GILBROOK GRAND ET,GIBBON,SANDY-VALLEY BOLTON,OSDEL-ENDEAVOR BOVA CUBBY,ROUMARE,LONG-LANGS OMAN OMAN,DIXIE-LEE AARON -ET,END-ROAD BEACON,ETAZON KNOCK OUT,OUT-JOCK CHOICE AMEL,CARENDA FABULON-ET,COYNE-FARMS DORCY,END-ROAD PVF BOLIVER,BUNDALONG MARKS MEDALLION,END-ROAD BLACKSTAR MAJIC-ET,FATAL,WALKWAY CHIEF MARK,STARTMORE RUDOLPH,CHARLESDALE SUPERSTITION,REGANCREST ALTAIOTA,RICH-RO MARK SAM -ET,BADGER-BLUFF FANNY FREDDIE,COUNTRY ROAD ROUMARE CANBEE,DELTA PARAMOUNT,EMERALD-ACR-SA T-BAXTER,FUSTEAD EMORY BLITZ,GLENN-ANN PALERMO,JARDIN,LARS-ACRES SHOT TRIGGER,MANNA FARM DEL SANTO,MR CHASSITY GOLD CHIP,RAMOS,UFM-DUBS ALTAESQUIRE
Column Order,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
HINDLEE GOLDWYN OMANROYAL 121003 - ROYALMAN,1,0,0.206666667,0.226666667,0,1,0,0.323333333,0,0,0.093333333,0.41,0.066666667,0,0,0,0,0,0.08,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.073333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE SU 11949 PENALTY - 29HO17732,2,0.733333333,0,0,0.36,0.5,0.04,0,0.04,0,0.093333333,0,0.066666667,0,0,0.326666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DELTA CUPIDO - CRVCUPIDO,3,0.366666667,0,0,0.36,0.5,0,0,0,0.213333333,0.093333333,0,0.066666667,0,0,0.326666667,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.076666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOUW ROCKY - CRVBOUWROCKY,4,0.366666667,0.206666667,0.226666667,0.36,0,0.04,0,0.04,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0.023333333,0,0,0,0,0.013333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WILARA JOSUPER JO-ET - GILES,5,0.366666667,0.206666667,0.226666667,0,0,0.04,0,0,0,0,0.41,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DG VEKIS BOSS - AIBLOOPER,6,0.366666667,0.206666667,0,0.36,0,0.04,0,0.04,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0.013333333,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE-SU 11756 OCTAVIAN-ET - 29HO17509,7,0.366666667,0.206666667,0.226666667,0.36,0,0.04,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013333333,0.026666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CALISTER CANJAM 143-ET - CANJAM,8,0,0.206666667,0.226666667,0,0,0,0,0,0.213333333,0,0,0,0.133333333,0.123333333,0,0.13,0,0,0.103333333,0,0,0.063333333,0.013333333,0.026666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABS MYSTICAL - 29HO17876,9,0.733333333,0.413333333,0,0,0,0.04,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RENGAW PREDESTINE MANSHED - MANSHED,10,0.366666667,0.206666667,0.226666667,0,0,0.04,0,0.04,0,0.093333333,0,0.066666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016666667,0,0,0,0,0,0,0,0,0,0,0,0
NEWHOUSE SKYFALL - CRVSKYFALL,11,0,0.206666667,0.226666667,0,0,0,0.323333333,0,0,0.093333333,0,0.066666667,0,0,0,0,0,0.08,0,0,0,0,0.013333333,0.026666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MANNA FARM SHAN 2716 - WENTWORTH,12,0,0.206666667,0.226666667,0,0,0.04,0,0.04,0,0,0,0,0.133333333,0.123333333,0,0,0,0,0,0,0,0,0.013333333,0.026666667,0,0.14,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FARNEAR-TBR-BH FLAMER-ET - FLAMER,13,0.366666667,0,0,0.36,0,0.08,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023333333,0,0,0,0,0.013333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RENGAW KINGBOY 9970-ET - GHOSTLY,14,0.366666667,0.206666667,0.226666667,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013333333,0.026666667,0,0,0,0,0,0.016666667,0,0,0,0,0,0.006666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HINDLEE PICOLA GOLDCHIPDREAM 1418-ET - MICROCHIP,15,0.366666667,0,0,0,0,0.04,0,0.04,0,0.093333333,0,0.066666667,0.133333333,0.123333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KIRK ANDREWS PICOLA M122 - TEMPTATION,16,0,0,0,0,0,0.04,0,0.04,0.213333333,0,0,0,0.133333333,0.123333333,0,0.13,0,0,0.103333333,0,0,0.063333333,0,0,0,0,0,0.033333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GLOMAR SUPERLUCKY-ET - SUPERLUCKY,17,0,0.206666667,0,0,0,0.04,0.323333333,0.04,0,0.093333333,0,0.066666667,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GLOMAR SUPER LUCKYBRO - ET - LUCKYBRO,18,0,0.206666667,0,0,0,0.04,0.323333333,0.04,0,0.093333333,0,0.066666667,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
