column,Row Order,PICSTON SHOTTLE,O-BEE MANFRED JUSTICE,ENSENADA TABOO PLANET ET,BRAEDALE GOLDWYN,CAROL PRELUDE MTOTO ET,HILL VALLEY BASAR ACME,END-ROAD BEACON,COYNE-FARMS DORCY,HA-HO CUBBY MANFRED-ET,BUNDALONG MARKS MEDALLION,SANDY-VALLEY BOLTON,SHOREMAR JAMES,MARA-THON BW MARSHALL,MAUGHLIN STORM,LONG-LANGS OMAN OMAN,JOCKO BESN,BASAR,ROSE-BAUM TABOO,MADAWASKA AEROSTAR,ROUMARE,CARENDA FABULON-ET,EMPRISE BELL ELTON,A RONNYBROOK PRELUDE ET,Q250 BESNE BUCK,CHARLESDALE SUPERSTITION,ETAZON KNOCK OUT,GIBBON,DIXIE-LEE AARON -ET,REGANCREST ALTAIOTA,A MARK CJ GILBROOK GRAND ET,END-ROAD PVF BOLIVER,OSDEL-ENDEAVOR BOVA CUBBY,FATAL,OUT-JOCK CHOICE AMEL,END-ROAD BLACKSTAR MAJIC-ET,WALKWAY CHIEF MARK,RICH-RO MARK SAM -ET,STARTMORE RUDOLPH,BADGER-BLUFF FANNY FREDDIE,COUNTRY ROAD ROUMARE CANBEE,DELTA PARAMOUNT,EMERALD-ACR-SA T-BAXTER,FUSTEAD EMORY BLITZ,GLENN-ANN PALERMO,JARDIN,LARS-ACRES SHOT TRIGGER,MANNA FARM DEL SANTO,MR CHASSITY GOLD CHIP,RAMOS,UFM-DUBS ALTAESQUIRE
Column Order,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
DG VEKIS BOSS - AIBLOOPER,1,0.993821322,0.286596902,0.047528523,0,0.248573718,0,0.281368856,0,0,0,0,0,0.257128913,0,0.032319396,0,0,0.011881857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOUW ROCKY - CRVBOUWROCKY,2,0.993821322,0.288022788,0.053231946,0,0.248573718,0,0,0,0.075569165,0,0,0,0.257128913,0,0,0,0,0.013307743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003802038,0.002376274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WILARA JOSUPER JO-ET - GILES,3,0.992395436,0.293726211,0.046102637,0,0,0,0.275665433,0,0.076995051,0,0,0,0,0,0,0,0,0,0,0,0,0.063209255,0,0,0,0,0,0,0,0,0,0.014732899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE-SU 11756 OCTAVIAN-ET - 29HO17509,4,0.993821322,0.288022788,0.047528523,0,0.248573718,0,0,0,0.075569165,0,0,0,0,0,0.038022818,0,0,0.011881857,0,0,0,0,0,0,0,0,0,0.011406602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DELTA CUPIDO - CRVCUPIDO,5,0.999524745,0,0,0.131178723,0.249999605,0,0,0,0,0,0,0.048003656,0,0,0,0.082223341,0,0,0.091725882,0,0,0,0.062734973,0.021861965,0,0,0,0,0,0,0,0,0.027090863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE SU 11949 PENALTY - 29HO17732,6,1,0,0.047528523,0.131178723,0.249999605,0,0,0,0,0,0,0.048003656,0,0,0,0,0,0.011881857,0.091725882,0,0,0,0.062734973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RENGAW PREDESTINE MANSHED - MANSHED,7,0.992395436,0.288022788,0.047528523,0.131178723,0,0,0,0,0.075569165,0,0,0.048003656,0,0,0,0,0,0.011881857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009980959,0,0,0,0,0,0,0,0,0,0,0,0,0
HINDLEE PICOLA GOLDCHIPDREAM 1418-ET - MICROCHIP,8,0.992395436,0,0.047528523,0.131178723,0,0.244771802,0,0,0,0,0,0.048003656,0,0,0,0,0.060836144,0.011881857,0,0,0.036596932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MANNA FARM SHAN 2716 - WENTWORTH,9,0,0.288022788,0.047528523,0,0,0.244771802,0,0,0.075569165,0.714828984,0,0,0,0,0.038022818,0,0.060836144,0.011881857,0,0,0,0,0,0,0,0.080323052,0,0.011406602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
