column,Row Order,MADAWASKA AEROSTAR,EMPRISE BELL ELTON,A RONNYBROOK PRELUDE ET,CAROL PRELUDE MTOTO ET,HA-HO CUBBY MANFRED-ET,O-BEE MANFRED JUSTICE,PICSTON SHOTTLE,OSDEL-ENDEAVOR BOVA CUBBY,MAUGHLIN STORM,JOCKO BESN,HANOVERHILL STARBUCK,GIBBON,MARA-THON BW MARSHALL,BIS-MAY TRADITION CLEITUS,Q250 BESNE BUCK,ELITE GOLD BULLION-IMP-ET,MAIZEFIELD BELLWOOD - (E_T_),AG-HIGH SIGHTS BS INGOT-ET,ENSENADA TABOO PLANET ET,ROSE-BAUM TABOO,BRAEDALE GOLDWYN,A MARK CJ GILBROOK GRAND ET,KED JUROR ET,BIS-MAY S-E-L MOUNTAIN ET,OUT-JOCK CHOICE AMEL,ROUMARE,HOW-EL-ACRES K BELLMAN ET,HILL VALLEY BASAR ACME,ELITE MOUNTAIN DONOR IMP (E_T),BASAR,DIXIE-LEE AARON -ET,END-ROAD BLACKSTAR MAJIC-ET,NORRIELAKE CLEITUS LUKE TWIN,JENNY-LOU MRSHL TOYSTORY,BELT,CARENDA FABULON-ET,BRABANT STAR PATRON,ETAZON KNOCK OUT,LONG-LANGS OMAN OMAN,ROTHROCK TRADITION LEADMAN,LEKKER VALIANT ROYALTY,DELLKA JUROR GORDON - TW,BUSHLEA WAVES FABULON,ATHOL M K VULCAN,ETAZON JIMTOWN,FULLERTONS WARD,HIBI SECRET SKELTON,KAPAWAI JIMTOWN POSH,LLOYDS EXCELLENCY,MCMILLANS TROPHY
Column Order,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
VH MOGENS - VIKVHMOGENS,1,0.5,0.41,0.326666667,0.36,0.226666667,0.206666667,0,0.1,0,0,0.146666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TOPSPEED GOLDYN-ET - GOLDCREST,2,1,0,0,0,0,0,0,0,0.323333333,0,0,0,0,0,0,0,0,0,0,0,0.066666667,0.08,0,0.39,0,0,0,0,0.26,0,0,0,0,0,0,0,0,0,0,0,0.093333333,0,0,0,0,0,0,0,0,0
GALLRAE TENNYSON YJ - YJ,3,0,0.41,0.326666667,0.36,0.226666667,0.206666667,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.053333333,0,0,0,0,0,0,0,0
DE-SU ALTAMELHOR - 011HO11077,4,0.5,0.41,0.326666667,0.36,0.226666667,0.206666667,0.366666667,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.066666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ROYLANE BOXER PUNCH 4311-ET - 7HO11207,5,0.5,0.41,0.326666667,0.36,0.226666667,0.206666667,0.366666667,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.066666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COGENT TWIST - COGENTTWIST,6,0.5,0,0.326666667,0.36,0,0,0.366666667,0,0,0,0.293333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.153333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RENGAW MANOMAN HUMMER-ET - GEEMCEE,7,0.5,0.41,0.326666667,0.36,0.226666667,0.206666667,0.366666667,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026666667,0,0.023333333,0,0,0,0,0,0.013333333,0,0,0,0,0,0,0,0,0,0,0
RENGAW MANOMAN WRANGLER-ET - WRANGLER,8,0.5,0.41,0.326666667,0.36,0.226666667,0.206666667,0.366666667,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026666667,0,0.023333333,0,0,0,0,0,0.013333333,0,0,0,0,0,0,0,0,0,0,0
AMIGHETTI NUMERO UNO - 0200HO07450,9,0.5,0.41,0.326666667,0.36,0.226666667,0.206666667,0.366666667,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026666667,0,0.023333333,0,0,0,0,0,0.013333333,0,0,0,0,0,0,0,0,0,0,0
DELTA ALONSO - CRVALONSO,10,1,0,0.326666667,0.36,0.226666667,0.206666667,0.366666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S-S-I SHAMROCK MYSTIC - 7HO11395,11,0.5,0,0.326666667,0.72,0,0,0.733333333,0,0,0,0,0,0,0,0,0,0,0,0.04,0.04,0,0,0,0,0.023333333,0,0,0,0,0,0,0.013333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RENGAW JARDIN JANEK - JANEK,12,0.5,0,0.326666667,0.36,0,0,0.366666667,0,0,0.213333333,0.146666667,0,0,0.266666667,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HILL VALLEY NIELS - NIELS,13,0.5,0,0.326666667,0.36,0,0,0.366666667,0,0,0,0,0,0,0,0,0,0,0,0.04,0.04,0,0,0,0,0.023333333,0,0,0,0,0,0,0.013333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LADYS-MANOR PL SHAMROCK - 7HO10849,14,0.5,0,0.326666667,0.36,0,0,0.366666667,0,0,0,0,0,0,0,0,0,0,0,0.04,0.04,0,0,0,0,0.023333333,0,0,0,0,0,0,0.013333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BUSHLEA PERFECTOR BOLD-ET - BUDDHA,15,1,0,0,0,0,0,0,0,0.323333333,0,0,0.103333333,0,0,0,0,0,0,0,0,0.066666667,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EMU BANKS CHRISTMAS-ET - CHRISTMAS,16,0,0,0,0,0,0,0,0,0,0.213333333,0.146666667,0.103333333,0,0,0.13,0.256666667,0,0.21,0,0,0,0,0,0,0,0.063333333,0.153333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CO-OP BOSSIDE MASSEY - ET - CRMASSEY,17,0.5,0,0.326666667,0.36,0,0,0,0,0,0,0.146666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0
KAARMONA CARLANA - CARLANA,18,0,0.41,0,0,0.226666667,0.206666667,0,0.1,0,0,0,0.103333333,0,0,0,0.256666667,0,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033333333,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0
MAINSTREAM MANIFOLD - HOMANIFOLD,19,0,0.82,0,0,0.226666667,0.206666667,0,0.1,0,0,0,0,0.28,0,0,0,0.243333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MANNA FARM DEL SANTO - DELSANTO,20,0,0,0,0,0,0,0,0,0,0,0.146666667,0.103333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.133333333,0,0.123333333,0,0,0,0,0.086666667,0.033333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CLEAR-ECHO TABLE 757 - 7HO11730,21,0,0,0,0.36,0,0,0.366666667,0,0,0,0,0,0.28,0,0,0,0.243333333,0,0.04,0.04,0,0,0,0,0.023333333,0,0,0,0,0,0,0.013333333,0,0.176666667,0,0,0.163333333,0,0,0,0,0,0,0,0,0,0,0,0,0
B-HIDDENHILLS PLAN 1023 - 7HO10690,22,0,0.41,0,0,0.226666667,0.206666667,0,0.1,0,0,0,0,0,0,0,0,0,0,0.04,0.04,0,0,0,0,0.023333333,0,0,0,0,0,0,0.013333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MR APPLES ARMANI - 7H11703,23,1,0,0,0,0,0,0,0,0.323333333,0,0,0,0,0,0,0,0,0,0,0,0.066666667,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DELTA TITANIUM - CRVTITANIUM,24,0.5,0.41,0,0,0.226666667,0.206666667,0,0.1,0,0,0.146666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DYMENTHOLM S SYMPATICO - 0200HO02828,25,0,0.41,0,0,0.226666667,0.206666667,0,0.1,0,0,0,0,0.28,0,0,0,0.243333333,0,0.04,0.04,0,0,0,0,0.023333333,0,0,0,0,0,0,0.013333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PETHERTON DENSITY - 0200HO02700,26,0,0.41,0,0,0.226666667,0.206666667,0,0.1,0.323333333,0,0,0,0,0,0,0,0,0,0,0,0.066666667,0.08,0,0,0,0,0,0,0,0,0.026666667,0,0.023333333,0,0,0,0,0,0.013333333,0,0,0,0,0,0,0,0,0,0,0
