column,Row Order,PICSTON SHOTTLE,O-BEE MANFRED JUSTICE,CAROL PRELUDE MTOTO ET,HA-HO CUBBY MANFRED-ET,MADAWASKA AEROSTAR,ELITE GOLD BULLION-IMP-ET,A RONNYBROOK PRELUDE ET,EMPRISE BELL ELTON,BRAEDALE GOLDWYN,ENSENADA TABOO PLANET ET,JENNY-LOU MRSHL TOYSTORY,MARA-THON BW MARSHALL,MAUGHLIN STORM,LONG-LANGS OMAN OMAN,HILL VALLEY BASAR ACME,JOCKO BESN,ELITE MOUNTAIN DONOR IMP (E_T),AG-HIGH SIGHTS BS INGOT-ET,ROUMARE,OSDEL-ENDEAVOR BOVA CUBBY,ROSE-BAUM TABOO,GIBBON,KED JUROR ET,CARENDA FABULON-ET,MAIZEFIELD BELLWOOD - (E_T_),HANOVERHILL STARBUCK,BUSHLEA WAVES FABULON,BIS-MAY S-E-L MOUNTAIN ET,Q250 BESNE BUCK,BASAR,DIXIE-LEE AARON -ET,BIS-MAY TRADITION CLEITUS,ETAZON KNOCK OUT,A MARK CJ GILBROOK GRAND ET,DELLKA JUROR GORDON - TW,OUT-JOCK CHOICE AMEL,HOW-EL-ACRES K BELLMAN ET,NORRIELAKE CLEITUS LUKE TWIN,BRABANT STAR PATRON,END-ROAD BLACKSTAR MAJIC-ET,BELT,LEKKER VALIANT ROYALTY,ROTHROCK TRADITION LEADMAN,ATHOL M K VULCAN,ETAZON JIMTOWN,FULLERTONS WARD,HIBI SECRET SKELTON,KAPAWAI JIMTOWN POSH,LLOYDS EXCELLENCY,MCMILLANS TROPHY
Column Order,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
CLEAR-ECHO TABLE 757 - 7HO11730,1,0.972105995,0,0.2431423,0,0,0,0,0,0,0.05206881,0.79218975,0.252905291,0,0,0,0,0,0,0,0,0.013016964,0,0,0,0.062295005,0,0,0,0,0,0,0,0,0,0,0.003718963,0,0,0.051138117,0.002324352,0,0,0,0,0,0,0,0,0,0
DE-SU ALTAMELHOR - 011HO11077,2,0.977684796,0.287308195,0.24453703,0.075312684,0.089721641,0,0.061364193,0.061828112,0.128312424,0,0,0,0,0,0,0,0,0,0,0.01441098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ROYLANE BOXER PUNCH 4311-ET - 7HO11207,3,0.977684796,0.287308195,0.24453703,0.075312684,0.089721641,0,0.061364193,0.061828112,0.128312424,0,0,0,0,0,0,0,0,0,0,0.01441098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RENGAW MANOMAN HUMMER-ET - GEEMCEE,4,0.977684796,0.287308195,0.24453703,0.075312684,0.089721641,0,0.061364193,0.061828112,0,0,0,0,0,0.059507211,0,0,0,0,0,0.01441098,0,0,0,0,0,0,0,0,0,0,0.012552094,0,0,0,0,0,0,0.006508423,0,0,0,0,0,0,0,0,0,0,0,0
AMIGHETTI NUMERO UNO - 0200HO07450,5,0.977684796,0.287308195,0.24453703,0.075312684,0.089721641,0,0.061364193,0.061828112,0,0,0,0,0,0.059507211,0,0,0,0,0,0.01441098,0,0,0,0,0,0,0,0,0,0,0.012552094,0,0,0,0,0,0,0.006508423,0,0,0,0,0,0,0,0,0,0,0,0
RENGAW MANOMAN WRANGLER-ET - WRANGLER,6,0.977684796,0.287308195,0.24453703,0.075312684,0.089721641,0,0.061364193,0.061828112,0,0,0,0,0,0.059507211,0,0,0,0,0,0.01441098,0,0,0,0,0,0,0,0,0,0,0.012552094,0,0,0,0,0,0,0.006508423,0,0,0,0,0,0,0,0,0,0,0,0
DELTA ALONSO - CRVALONSO,7,0.977684796,0.281729394,0.24453703,0.073917954,0.090186511,0,0.061364193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE-SU DISTINCTION 11130 - 7HO11775,8,0.972105995,0.281729394,0.2431423,0.073917954,0,0,0,0,0,0.05206881,0,0,0,0.037192007,0,0,0,0,0,0,0.013016964,0,0,0,0,0,0,0,0,0,0.011157364,0,0,0,0,0.003718963,0,0,0,0.002324352,0,0,0,0,0,0,0,0,0,0
HILL VALLEY NIELS - NIELS,9,0.977684796,0,0.24453703,0,0.089721641,0,0.061364193,0,0,0.074384014,0,0,0,0,0,0,0,0,0,0,0.018595765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005113693,0,0,0,0.003719082,0,0,0,0,0,0,0,0,0,0
