column,Row Order,O-BEE MANFRED JUSTICE,HA-HO CUBBY MANFRED-ET,EMPRISE BELL ELTON,OSDEL-ENDEAVOR BOVA CUBBY,PICSTON SHOTTLE,MADAWASKA AEROSTAR,CAROL PRELUDE MTOTO ET,TO-MAR BLACKSTAR ET,A RONNYBROOK PRELUDE ET,MAUGHLIN STORM,MARA-THON BW MARSHALL,OUT-JOCK CHOICE AMEL,STARTMORE RUDOLPH,JOCKO BESN,Q250 BESNE BUCK,RAMOS,REGANCREST ELTON DURHAM,END-ROAD PVF BOLIVER,BRAEDALE GOLDWYN,HOW-EL-ACRES K BELLMAN ET,ELITE GOLD BULLION-IMP-ET,AG-HIGH SIGHTS BS INGOT-ET,SHOREMAR JAMES,ENSENADA TABOO PLANET ET,ROSE-BAUM TABOO,BADGER-BLUFF FANNY FREDDIE,SANDY-VALLEY BOLTON,A MARK CJ GILBROOK GRAND ET,FUSTEAD EMORY BLITZ,DIXIE-LEE AARON -ET,BARBEE-M JUROR ITO,REGANCREST ALTAIOTA,NORRIELAKE CLEITUS LUKE TWIN,THE CHOICE OF MARK ADAM ET,WALKWAY CHIEF MARK,END-ROAD BLACKSTAR MAJIC-ET,GIBBON,REGANCREST RBK DIE-HARD,GRAN-J OMAN MCCORMICK,BELT,SHOREMAR PERFECT STAR (ET),FATAL,EMERALD-ACRES-SA TONIC ET,ETAZON ADDISON,EMERALD-ACR-SA T-BAXTER,DELTA NOVALIS,NEHLS CHIEF CRUSADER,BASAR,HILL VALLEY BASAR ACME,RICH-RO MARK SAM -ET
Column Order,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
HINDLEE GOLDWYN OMANROYAL 121003 - ROYALMAN,1,0.320774798,0.45764155,0.36611324,0.372711792,0,0.478075777,0,0,0,0.073861218,0,0,0,0,0,0,0,0,0.007449979,0,0,0,0.007449979,0,0,0,0,0.007875692,0,0,0,0,0,0,0.033631332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PURNIM MILLARD BIOGOLDMILL - GOLDMILL,2,0.320774798,0.45764155,0.36611324,0,0.09088974,0.239037888,0.132609621,0,0.244997871,0,0.144103874,0,0,0,0,0,0.067049808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BUNDALONG LIQUIDGOLD WARRIOR - GOLDWARRIOR,3,0.641549596,0.45764155,0.36611324,0.372711792,0.09088974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002979991,0.002979991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALEXERIN SNEAK PEEK - 0250HO01135,4,0.641549596,0.45764155,0.36611324,0.372711792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002979991,0.002979991,0,0,0,0.013622818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EMU BANKS JENGOLD - JENGOLD,5,0.641549596,0.915283099,0,0,0,0,0,0,0,0.073861218,0,0,0,0,0,0,0,0,0.007449979,0,0,0,0.007449979,0,0,0,0,0.007875692,0,0.007662835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RENGAW MOM JUSTLE - JUSTLE,6,0.320774798,0.45764155,0.36611324,0.372711792,0,0,0,0,0,0,0,0.051936994,0,0,0,0,0,0,0,0,0,0,0,0.002979991,0.002979991,0,0,0,0,0.007662835,0,0,0.041081311,0,0,0.002979991,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OURWAY PLANE JACK - PLANEJACK,7,0,0,0,0,0,0,0,1,0,0,0,0.051936994,0,0,0,0,0,0,0,0.147935292,0.143465304,0.142613878,0,0.002979991,0.002979991,0,0,0,0,0,0,0,0,0.036611324,0,0.002979991,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CARENDA VIZABULL 375 - VIZABULL,8,0.320774798,0.45764155,0.36611324,0.372711792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002979991,0.002979991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000212857,0.000212857,0
DE-SU 11680 BRAUN-ET - 29HO16954,9,0.641549596,0.45764155,0,0,0,0,0,0,0,0,0.144103874,0.051936994,0,0,0,0,0,0.048957003,0,0,0,0,0,0,0,0,0,0,0,0,0.04853129,0.04853129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
