column,Row Order,O-BEE MANFRED JUSTICE,HA-HO CUBBY MANFRED-ET,PICSTON SHOTTLE,CAROL PRELUDE MTOTO ET,ELITE GOLD BULLION-IMP-ET,RAMOS,END-ROAD PVF BOLIVER,BADGER-BLUFF FANNY FREDDIE,JOCKO BESN,OUT-JOCK CHOICE AMEL,REGANCREST ALTAIOTA,OSDEL-ENDEAVOR BOVA CUBBY,BRAEDALE GOLDWYN,EMPRISE BELL ELTON,MARA-THON BW MARSHALL,MAUGHLIN STORM,A RONNYBROOK PRELUDE ET,ENSENADA TABOO PLANET ET,SANDY-VALLEY BOLTON,STARTMORE RUDOLPH,MADAWASKA AEROSTAR,AG-HIGH SIGHTS BS INGOT-ET,GRAN-J OMAN MCCORMICK,TO-MAR BLACKSTAR ET,Q250 BESNE BUCK,REGANCREST ELTON DURHAM,FUSTEAD EMORY BLITZ,SHOREMAR JAMES,ROSE-BAUM TABOO,HOW-EL-ACRES K BELLMAN ET,EMERALD-ACR-SA T-BAXTER,DIXIE-LEE AARON -ET,BARBEE-M JUROR ITO,REGANCREST RBK DIE-HARD,A MARK CJ GILBROOK GRAND ET,SHOREMAR PERFECT STAR (ET),NORRIELAKE CLEITUS LUKE TWIN,THE CHOICE OF MARK ADAM ET,WALKWAY CHIEF MARK,ETAZON ADDISON,END-ROAD BLACKSTAR MAJIC-ET,GIBBON,HILL VALLEY BASAR ACME,BELT,DELTA NOVALIS,FATAL,RICH-RO MARK SAM -ET,EMERALD-ACRES-SA TONIC ET,BASAR,NEHLS CHIEF CRUSADER
Column Order,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
PURNIM MILLARD BIOGOLDMILL - GOLDMILL,1,0.689538421,0.335198084,0.384086504,0.136090173,0,0,0,0,0,0,0,0,0,0.064223735,0.095978225,0,0.111627941,0,0,0,0.063810928,0,0,0,0,0.038591629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE-SU 11756 OCTAVIAN-ET - 29HO17509,2,0.689538421,0.335198084,0.383671911,0.135986522,0,0.244575728,0,0,0,0,0,0,0,0,0,0,0,0.00787728,0,0,0,0,0,0,0,0,0,0,0.001969318,0,0,0.004905995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE-SU 11680 BRAUN-ET - 29HO16954,3,0.689572968,0.335198084,0,0,0,0,0.163764512,0,0,0.041424655,0.440022116,0,0,0,0.095978225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027501294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOUW ROCKY - CRVBOUWROCKY,4,0.689538421,0.335198084,0.383671911,0.135986522,0,0,0,0,0,0.041424655,0,0,0,0,0.095978225,0,0,0.008291874,0,0,0,0,0,0,0,0,0,0,0.002072969,0,0,0,0,0,0,0,0,0,0,0,0.000518209,0,0,0,0,0,0,0,0,0
WARRAMONT NUMBERONE DUDE - ASHMARK,5,0.689538421,0.335198084,0.383671911,0.135986522,0,0,0,0,0.06896062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016721743,0,0,0,0,0,0,0.004905995,0,0,0,0,0,0,0,0,0,0.00072551,0,0,0,0,0,0,0,0
GENERVATIONS LIQUID GOLD - GVLIQUIDGOLD,6,0.689538421,0.335198084,0.383671911,0.135986522,0,0,0,0,0,0.041424655,0,0,0,0,0,0,0,0.008291874,0,0,0,0,0,0,0,0,0,0,0.002072969,0,0,0.004905995,0,0,0,0,0,0,0,0,0.000518209,0,0,0,0,0,0,0,0,0
BUNDALONG LIQUIDGOLD WARRIOR - GOLDWARRIOR,7,0.689987562,0.335301734,0.38356826,0,0,0,0,0,0,0,0,0.081256934,0,0.064223735,0,0,0,0.00787728,0,0,0,0,0,0,0,0,0,0,0.001969318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE SU 11690 FANTASMIC - 29HO17652,8,0.689538421,0.335198084,0,0,0,0.244575728,0,0.218352683,0,0,0,0,0,0,0,0,0,0.008015478,0,0,0,0,0,0,0,0,0,0,0.002003865,0,0,0,0,0.026361208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OURWAY PLANE JACK - PLANEJACK,9,0,0,0,0,1,0,0,0,0,0.041528306,0,0,0,0,0,0,0,0.009950249,0,0,0,0.24996534,0,0.138332092,0,0,0,0,0.002487562,0.06550515,0,0,0,0,0,0,0,0.00981175,0,0,0.00062186,0,0,0,0,0,0,0,0,0
DE SU 12128 TAILOR - 29HO17706,10,0.68943477,0,0.38356826,0,0,0,0.163660862,0.217938089,0,0,0,0,0.01896766,0,0,0,0,0.00787728,0,0,0,0,0,0,0,0,0,0,0.001969318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RENGAW PREDESTINE MANSHED - MANSHED,11,0.689538421,0.335198084,0.38356826,0,0,0,0,0,0,0,0,0,0.01907131,0,0,0,0,0.00787728,0,0,0,0,0,0,0,0,0,0.004767823,0.001969318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001969318,0,0,0
HINDLEE GOLDWYN OMANROYAL 121003 - ROYALMAN,12,0.689953014,0.335301734,0,0,0,0,0,0,0,0,0,0.081256934,0.021144279,0.064223735,0,0.039282353,0,0,0,0,0.063845475,0,0,0,0,0,0,0.005286067,0,0,0,0,0,0,0.001520097,0,0,0,0.006425871,0,0,0,0,0,0,0,0,0,0,0
CARENDA PICOLA 349 - VANCE,13,0.689538421,0.335198084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00787728,0,0,0,0,0.195688227,0,0,0.038487978,0,0,0.001969318,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000276396,0,0,0,0,0,6.90945E-05,0
COOMBOONA DAVINCI OMAN - TLGOMAN,14,0.689538421,0.335198084,0,0,0,0,0.163660862,0,0,0,0,0,0,0,0,0,0,0,0.051996958,0,0,0,0,0,0,0,0,0,0,0,0,0.004905995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RENGAW MOM JUSTLE - JUSTLE,15,0.689953014,0.335301734,0,0,0,0,0,0,0,0.041424655,0,0.081256934,0,0.064223735,0,0,0,0.008291874,0,0,0,0,0,0,0,0,0,0,0.002072969,0,0,0.005009645,0,0,0,0,0.009915339,0,0,0,0.000518209,0,0,0,0,0,0,0,0,0
ALEXERIN SNEAK PEEK - 0250HO01135,16,0.689987562,0.335301734,0,0,0,0,0,0,0,0,0,0.081256934,0,0.064223735,0,0,0,0.00787728,0,0,0,0,0,0,0,0,0.021627967,0,0.001969318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CARENDA VIZABULL 375 - VIZABULL,17,0.689953014,0.335301734,0,0,0,0,0,0,0,0,0,0.081256934,0,0.064223735,0,0,0,0.00787728,0,0,0,0,0,0,0,0,0,0,0.001969318,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000276396,0,0,0,0,0,6.90945E-05,0
COUNTRY ROAD ROYALMAN 4198-ET - PROVINCE,18,0.689538421,0.335198084,0,0,0,0,0,0,0.06896062,0,0,0,0.019485904,0,0,0.039178702,0,0,0,0,0,0,0,0,0.016721743,0,0,0.004871474,0,0,0,0,0,0,0.001416447,0,0,0,0,0,0,0.00072551,0,0,0,0,0,0,0,0
DUPASQUIER PRIZIM - CBPRIZIM,19,0.68943477,0,0.38356826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00787728,0.051996958,0,0,0,0,0,0,0,0,0,0.001969318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE-SU 12659 TACTIC - 29HO17919,20,0.68943477,0,0.38356826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00777363,0.051996958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEAGULL-BAY H CARNIVAL-ET - 29HO18020,21,0.68943477,0,0,0,0,0,0.163660862,0.217938089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.052549749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEWHOUSE SKYFALL - CRVSKYFALL,22,0.689538421,0.335198084,0,0,0,0,0,0,0,0,0,0,0.019485904,0,0,0.039178702,0,0,0,0,0,0,0,0,0,0,0,0.004871474,0,0,0,0.004905995,0,0,0.001416447,0,0,0,0,0,0,0,0,0,0.002936703,0,0,0,0,0
