column,Row Order,IMPERIAL-C NB CURIOUS-ET,SINGING-BROOK N-B MASCOT ET,DELTA NLD GERRIS-ET,VALDEN CURIOUS PALADIUM,MCMILLANS TROPHY,COLLINS ROYAL HUGO,NORDKAP,BARTONS BICKFORD,PETICOTE US MSC MAGLEY-ET,ATHOL MURRAYS EMINENCE,TOP DECK KO PIERRE,PAJAK SHEIK ATLAS,ETAZON KNOCK OUT,WELBURN A V HERMES,SRB HANSENS INGMAR,PICKARD-ACRES VIC KAI,HAZAEL EMINENCE DANO,KAPAWAI JIMTOWN POSH,WHITTIER-FARMS NED BOY,NOWERLAND BELL MASTERPLAN,VALDEN HI APPLAUSE S2F,WHINLEA MAGLEY EXTASY,FATAL,FAIRMONT MINT-EDITION,SR NICHOLASS STORM,MACFARLANES DAUNTLESS,ROLFES ELLIOT,ATHOL M K VULCAN,HIGGINS FORMAT,ELITE MOUNTAIN DONOR IMP (E_T),BIS-MAY S-E-L MOUNTAIN ET,WHINLEA PALADIUM ELSTO,FULLERTONS WARD,BIS-MAY TRADITION CLEITUS,ETAZON GLANDORF,GLENMEAD FR RENEGADE,WALKWAY CHIEF MARK,TANGIMATI A P PRESIDENT,LAKESIDE S D MEADOWS,PUKETIRO FROSTMAN S1F,SRD JENERAYTIONS BANQUET,K-WAY APOSTLE KING VIC,GRAYS NAUTILUS S2F,LLOYDS EXCELLENCY,KAPAWAI LANCE DAVE,SRC GLENMEAD ROCKSOLID,SRC GLENMEAD RUSH,SRB CORBOYS LIGHTENING,MORTENSENS WE AWE,WOODCOTE ELSTO MATADOR
Column Order,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
FARSIDE M ILLUSTRIOUS S3F - NZGILUSTRIUS,1,0.5,0.394578313,0,0.418674699,0,0,0,0,0,0,0.36746988,0,0.31626506,0.310240964,0.298192771,0,0,0.240963855,0,0.189759036,0.231927711,0,0,0.189759036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HAZAEL FM MAJESTIC-ET - NZGMARJESTIC,2,0.5,0.394578313,0.460843373,0.418674699,0,0,0.370481928,0,0,0,0.36746988,0,0.31626506,0,0,0,0,0,0,0.189759036,0,0,0,0.189759036,0,0.11746988,0,0,0,0,0,0,0,0,0.072289157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KAILEY FORMAT KAGE - NZGKAGE,3,0.5,0.789156627,0,0.418674699,0,0,0,0,0.301204819,0,0.36746988,0,0.31626506,0,0,0.204819277,0,0,0,0.189759036,0,0.141566265,0,0,0,0,0,0,0.108433735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WEARNES FE TE POI S3F - NZGTEPOI,4,0.5,0.394578313,0.460843373,0.418674699,0,0,0.370481928,0,0,0,0.36746988,0,0.31626506,0,0,0,0,0,0,0.189759036,0,0,0,0.189759036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CARSONS MECCA PULSE S1F - NZGMECAPULSE,5,0.5,0,0.460843373,0.418674699,0,0,0.370481928,0,0,0,0.36746988,0,0.31626506,0,0,0.204819277,0,0,0,0,0,0,0,0,0,0.11746988,0,0,0,0,0,0.120481928,0,0,0.072289157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MORTENSENS WE AWE - NZGMORTENS,6,1,0,0,0.418674699,0.304216867,0,0,0,0,0.36746988,0,0,0,0,0,0.204819277,0.331325301,0,0.075301205,0,0,0,0,0,0,0,0,0,0,0,0,0.120481928,0,0,0,0,0.03313253,0,0,0,0,0.03313253,0,0,0,0,0,0,0.048192771,0
KINGSDOWN MH JUBILANT S2F - NZGJUBILANT,7,0,0.394578313,0.460843373,0,0,0.337349398,0.370481928,0.262048193,0,0,0.36746988,0,0.31626506,0,0,0,0,0,0,0.189759036,0,0,0,0,0,0.11746988,0,0,0,0,0,0,0,0,0.072289157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAGWORTH PF LAUNCHPAD S1F - NZGLAUNCHBAG,8,0.5,0,0,0,0.304216867,0.674698795,0,0.524096386,0,0.36746988,0,0,0,0,0,0,0.331325301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.114457831,0,0,0,0,0,0,0,0,0,0
FAIRMONT MINT-EDITION - NZGMINTED,9,0.5,0.394578313,0,0.418674699,0,0,0,0,0,0,0.36746988,0,0.31626506,0,0,0,0,0,0.15060241,0.189759036,0,0,0,0.189759036,0,0,0,0,0,0,0,0,0,0.030120482,0,0,0.03313253,0,0,0,0,0,0,0,0,0,0,0,0,0
