column,Row Order,FAIRMONT MINT-EDITION,TOP DECK KO PIERRE,COLLINS ROYAL HUGO,VALDEN HI APPLAUSE S2F,VALDEN CURIOUS PALADIUM,DELTA NLD GERRIS-ET,HAZAEL EMINENCE DANO,HIGGINS FORMAT,IMPERIAL-C NB CURIOUS-ET,WHINLEA MAGLEY EXTASY,SRB HANSENS INGMAR,WHINLEA PALADIUM ELSTO,PUKETIRO FROSTMAN S1F,SINGING-BROOK N-B MASCOT ET,PETICOTE US MSC MAGLEY-ET,LAKESIDE S D MEADOWS,MACFARLANES DAUNTLESS,ATHOL MURRAYS EMINENCE,ETAZON KNOCK OUT,BARTONS BICKFORD,NORDKAP,GLENMEAD FR RENEGADE,MCMILLANS TROPHY,SRC GLENMEAD ROCKSOLID,WELBURN A V HERMES,ELITE MOUNTAIN DONOR IMP (E_T),PICKARD-ACRES VIC KAI,MORTENSENS WE AWE,PAJAK SHEIK ATLAS,GRAYS NAUTILUS S2F,KAPAWAI JIMTOWN POSH,WOODCOTE ELSTO MATADOR,SRC GLENMEAD RUSH,SRD JENERAYTIONS BANQUET,NOWERLAND BELL MASTERPLAN,WHITTIER-FARMS NED BOY,ROLFES ELLIOT,FATAL,BIS-MAY S-E-L MOUNTAIN ET,SRB CORBOYS LIGHTENING,SR NICHOLASS STORM,TANGIMATI A P PRESIDENT,LLOYDS EXCELLENCY,KAPAWAI LANCE DAVE,ATHOL M K VULCAN,FULLERTONS WARD,WALKWAY CHIEF MARK,ETAZON GLANDORF,BIS-MAY TRADITION CLEITUS,K-WAY APOSTLE KING VIC
Column Order,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
FARSIDE M ILLUSTRIOUS S3F - NZGILUSTRIUS,1,0.980295567,0.372228729,0,0.362068966,0.168718424,0,0,0,0.062496946,0,0.138854305,0,0,0.043408788,0,0,0,0,0.091747941,0,0,0,0,0,0.052338286,0,0,0,0,0,0.033249813,0,0,0,0.019703172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HAZAEL FM MAJESTIC-ET - NZGMARJESTIC,2,0.980295567,0.372228729,0,0,0.168718424,0.180418128,0,0,0.062496946,0,0,0,0,0.043408788,0,0,0.156403941,0,0.091747941,0,0.042793222,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019703172,0,0,0,0,0,0,0,0,0,0,0,0,0.008620217,0,0
WEARNES FE TE POI S3F - NZGTEPOI,3,0.980295567,0.372228729,0,0,0.168718424,0.180418128,0,0,0.062496946,0,0,0,0,0.043408788,0,0,0,0,0.091747941,0,0.042793222,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019703172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAIRMONT MINT-EDITION - NZGMINTED,4,1,0.387007054,0,0,0.172413005,0,0,0,0.063420611,0,0,0,0,0.044332453,0,0,0,0,0.095442522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020626837,0.008312276,0,0,0,0,0,0,0,0,0,0,0.005541675,0,0.003386483,0
MAIRE MINT FIRE-UP - NZGFIREUP,5,0.980295567,0.372228729,0,0,0.168718424,0,0,0,0.062496946,0,0,0,0,0.043408788,0,0,0,0,0.091747941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019703172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KAILEY FORMAT KAGE - NZGKAGE,6,0,0.372228729,0,0,0.168718424,0,0,0.463054187,0.062496946,0.147783251,0,0,0,0.04371665,0.08097198,0,0,0,0.091747941,0,0,0,0,0,0,0,0.031402798,0,0,0,0,0,0,0,0.019703172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CARSONS MECCA PULSE S1F - NZGMECAPULSE,7,0,0.368534148,0,0,0.168718424,0.180418128,0,0,0.062496946,0,0,0.323891626,0,0,0,0,0.156403941,0,0.090824276,0,0.042793222,0,0,0,0,0,0.031402798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008620217,0,0
MORTENSENS WE AWE - NZGMORTENS,8,0,0,0,0,0.172413005,0,0.315886581,0,0.063728473,0,0,0.338669951,0,0,0,0,0,0.090515862,0,0,0,0,0.032325596,0,0,0,0.032326463,0.310344828,0,0,0,0,0,0,0,0.008004414,0,0,0,0,0,0,0,0,0,0,0.005541675,0,0,0.003694345
PUKETIRO FROSTMAN S1F - NZGFROSTMAN,9,0,0,0.208435468,0,0,0,0.330664906,0,0.063420611,0,0,0,0.507389163,0,0,0,0,0.094210443,0,0.050183488,0,0,0.033249261,0,0,0,0,0,0.018779744,0,0,0,0,0,0,0.008004414,0,0,0,0,0.007696552,0,0,0,0,0,0,0,0,0
