column,Row Order,O-BEE MANFRED JUSTICE,HA-HO CUBBY MANFRED-ET,PICSTON SHOTTLE,SHOREMAR JAMES,BRAEDALE GOLDWYN,MAUGHLIN STORM,CAROL PRELUDE MTOTO ET,EMPRISE BELL ELTON,HILL VALLEY BASAR ACME,BASAR,JOCKO BESN,A MARK CJ GILBROOK GRAND ET,GIBBON,Q250 BESNE BUCK,OSDEL-ENDEAVOR BOVA CUBBY,MADAWASKA AEROSTAR,MARA-THON BW MARSHALL,CARENDA FABULON-ET,A RONNYBROOK PRELUDE ET,ROUMARE,TO-MAR BLACKSTAR ET,SHOREMAR PERFECT STAR (ET),MANNA FARM DEL SANTO,REGANCREST ELTON DURHAM,STARTMORE RUDOLPH,FUSTEAD EMORY BLITZ,ENSENADA TABOO PLANET ET,BELT,ROSE-BAUM TABOO,WALKWAY CHIEF MARK,DIXIE-LEE AARON -ET,SANDY-VALLEY BOLTON,LONG-LANGS OMAN OMAN,RICH-RO MARK SAM -ET,FATAL,JENNY-LOU MRSHL TOYSTORY,ELITE GOLD BULLION-IMP-ET,UFM-DUBS ALTAESQUIRE,OUT-JOCK CHOICE AMEL,END-ROAD BLACKSTAR MAJIC-ET,GRAN-J OMAN MCCORMICK,EMERALD-ACRES-SA TONIC ET,ETAZON ADDISON,AG-HIGH SIGHTS BS INGOT-ET,NORRIELAKE CLEITUS LUKE TWIN,EMERALD-ACR-SA T-BAXTER,GLENN-ANN PALERMO,BUSHLEA PERFECTOR BOLD-ET,REGANCREST ALTAIOTA,MAPLE-DOWNS-I G W ATWOOD
Column Order,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
HINDLEE GOLDWYN OMANROYAL 121003 - ROYALMAN,1,0.451388889,0.5,0,0.260416667,0.246527778,0.399305556,0,0.527777778,0,0,0,0.232638889,0,0,0.333333333,0.611111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0.173611111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PURNIM MILLARD BIOGOLDMILL - GOLDMILL,2,0.451388889,0.5,0.329861111,0,0,0,0.413194444,0.527777778,0,0,0,0,0,0,0,0.305555556,0.329861111,0,0.326388889,0,0,0,0,0.163194444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EMU BANKS JENGOLD - JENGOLD,3,0.902777778,1,0,0.260416667,0.246527778,0.399305556,0,0,0,0,0,0.232638889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017361111,0,0.010416667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COUNTRY ROAD ROYALMAN 4198-ET - PROVINCE,4,0.451388889,0.5,0,0.260416667,0.246527778,0.399305556,0,0,0,0,0.322916667,0.232638889,0.201388889,0.222222222,0,0,0,0,0,0.194444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WARRAMONT NUMBERONE DUDE - ASHMARK,5,0.451388889,0.5,0.329861111,0,0,0,0.413194444,0,0,0,0.322916667,0,0.201388889,0.222222222,0,0,0,0,0,0.194444444,0,0,0,0,0,0,0,0,0,0,0.017361111,0,0.010416667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BUNDALONG LIQUIDGOLD WARRIOR - GOLDWARRIOR,6,0.902777778,0.5,0.329861111,0,0,0,0,0.527777778,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0.006944444,0,0.006944444,0,0,0,0.010416667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DELTA CUPIDO - CRVCUPIDO,7,0,0,0.329861111,0.260416667,0.246527778,0,0.413194444,0,0,0,0.322916667,0,0,0.222222222,0,0.305555556,0,0,0.326388889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.097222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CARENDA VIZABULL 375 - VIZABULL,8,0.451388889,0.5,0,0,0,0,0,0.527777778,0.222222222,0.215277778,0,0,0,0,0.333333333,0,0,0.065972222,0,0,0,0,0.055555556,0,0,0,0.006944444,0,0.006944444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CARENDA FOLKLAW 339 - FOLKLAW,9,0,0,0,0.260416667,0.246527778,0.399305556,0,0,0,0,0.322916667,0.232638889,0.402777778,0.222222222,0,0,0,0.065972222,0,0.194444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003472222,0,0
ALEXERIN SNEAK PEEK - 0250HO01135,10,0.902777778,0.5,0,0,0,0,0,0.527777778,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0.065972222,0.006944444,0,0.006944444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE SU 11949 PENALTY - 29HO17732,11,0,0,0.659722222,0.260416667,0.246527778,0,0.413194444,0,0,0,0,0,0,0,0,0.305555556,0,0,0.326388889,0,0,0,0,0,0,0,0.006944444,0,0.006944444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MANNA FARM DELANO - DELANO,12,0,0,0,0,0,0,0,0,0.222222222,0.215277778,0.322916667,0,0.402777778,0.222222222,0,0,0,0.065972222,0,0.194444444,0,0.336805556,0.055555556,0,0,0,0,0.131944444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEWHOUSE SKYFALL - CRVSKYFALL,13,0.451388889,0.5,0,0.260416667,0.246527778,0.399305556,0,0,0,0,0,0.232638889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017361111,0,0.010416667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RENGAW CROWN JAKOVICH - JAKOVICH,14,0.451388889,0.5,0,0.260416667,0.246527778,0.399305556,0,0,0,0,0,0.232638889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOUW ROCKY - CRVBOUWROCKY,15,0.451388889,0.5,0.329861111,0,0,0,0.413194444,0,0,0,0,0,0,0,0,0,0.329861111,0,0,0,0,0,0,0,0,0,0.006944444,0,0.006944444,0,0,0,0,0,0,0,0,0,0.006944444,0.006944444,0,0,0,0,0,0,0,0,0,0
RENGAW PREDESTINE MANSHED - MANSHED,16,0.451388889,0.5,0.329861111,0.260416667,0.246527778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006944444,0,0.006944444,0,0,0,0,0.111111111,0,0,0,0.083333333,0,0,0,0,0,0,0,0,0,0,0,0
RENGAW MOM JUSTLE - JUSTLE,17,0.451388889,0.5,0,0,0,0,0,0.527777778,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0.006944444,0,0.006944444,0,0.017361111,0,0.010416667,0,0,0,0,0,0.006944444,0.006944444,0,0,0,0,0.055555556,0,0,0,0,0
DE-SU 11680 BRAUN-ET - 29HO16954,18,0.902777778,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.329861111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045138889,0,0,0.006944444,0,0,0,0,0,0,0,0,0,0.010416667,0
CARENDA PICOLA 349 - VANCE,19,0.451388889,0.5,0,0,0,0,0,0,0.222222222,0.215277778,0,0,0,0,0,0,0,0.065972222,0,0,0,0,0.055555556,0.163194444,0,0,0.006944444,0,0.006944444,0,0,0,0,0,0,0,0,0,0,0,0.069444444,0,0,0,0,0,0,0,0,0
GENERVATIONS LIQUID GOLD - GVLIQUIDGOLD,20,0.451388889,0.5,0.329861111,0,0,0,0.413194444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006944444,0,0.006944444,0,0.017361111,0,0.010416667,0,0,0,0,0,0.006944444,0.006944444,0,0,0,0,0,0,0,0,0,0
DE-SU 11756 OCTAVIAN-ET - 29HO17509,21,0.451388889,0.5,0.329861111,0,0,0,0.413194444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006944444,0,0.006944444,0,0.017361111,0,0.010416667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CARENDA VALIUM 354 - VALIUM,22,0,0,0,0.260416667,0.246527778,0.399305556,0,0,0.222222222,0.215277778,0,0.232638889,0,0,0,0,0,0.065972222,0,0,0,0,0.055555556,0,0,0,0.006944444,0,0.006944444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GLOMAR SUPERLUCKY-ET - SUPERLUCKY,23,0.451388889,0,0,0.260416667,0.246527778,0.399305556,0,0,0,0,0,0.232638889,0,0,0,0,0,0,0,0,0,0,0,0,0,0.065972222,0.006944444,0,0.006944444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADLEJAMA PICOLA FAROUK - LJCOOL,24,0.451388889,0,0,0.260416667,0.246527778,0,0,0,0.222222222,0.215277778,0,0,0,0,0,0,0,0.065972222,0,0,0,0,0.055555556,0,0,0,0.006944444,0,0.006944444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HINDLEE PICOLA ROYALROUMARE 1414-ET - ROYALPIC,25,0,0,0,0,0,0,0,0,0.222222222,0.215277778,0.322916667,0,0.201388889,0.222222222,0,0,0,0.065972222,0,0.194444444,0,0,0.055555556,0,0,0,0.006944444,0,0.006944444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RENGAW SS JAMPOT-ET - JAMPOT,26,0.902777778,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.065972222,0.006944444,0,0.006944444,0,0.017361111,0,0.010416667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
