column,Row Order,O-BEE MANFRED JUSTICE,BRAEDALE GOLDWYN,PICSTON SHOTTLE,MANNA FARM DEL SANTO,HILL VALLEY BASAR ACME,HA-HO CUBBY MANFRED-ET,ROUMARE,SHOREMAR JAMES,JOCKO BESN,CAROL PRELUDE MTOTO ET,BASAR,MARA-THON BW MARSHALL,MAUGHLIN STORM,LONG-LANGS OMAN OMAN,UFM-DUBS ALTAESQUIRE,ENSENADA TABOO PLANET ET,GRAN-J OMAN MCCORMICK,Q250 BESNE BUCK,CARENDA FABULON-ET,EMPRISE BELL ELTON,GIBBON,JENNY-LOU MRSHL TOYSTORY,A MARK CJ GILBROOK GRAND ET,REGANCREST ELTON DURHAM,SANDY-VALLEY BOLTON,OSDEL-ENDEAVOR BOVA CUBBY,MADAWASKA AEROSTAR,A RONNYBROOK PRELUDE ET,ROSE-BAUM TABOO,BUSHLEA PERFECTOR BOLD-ET,SHOREMAR PERFECT STAR (ET),GLENN-ANN PALERMO,FUSTEAD EMORY BLITZ,DIXIE-LEE AARON -ET,REGANCREST ALTAIOTA,TO-MAR BLACKSTAR ET,RICH-RO MARK SAM -ET,EMERALD-ACR-SA T-BAXTER,ELITE GOLD BULLION-IMP-ET,STARTMORE RUDOLPH,MAPLE-DOWNS-I G W ATWOOD,BELT,FATAL,WALKWAY CHIEF MARK,ETAZON ADDISON,OUT-JOCK CHOICE AMEL,END-ROAD BLACKSTAR MAJIC-ET,AG-HIGH SIGHTS BS INGOT-ET,EMERALD-ACRES-SA TONIC ET,NORRIELAKE CLEITUS LUKE TWIN
Column Order,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
WARRAMONT NUMBERONE DUDE - ASHMARK,1,0.87962963,0,0.668402519,0,0,0.250576889,1,0,0.339119259,0.21354,0,0,0,0.092592593,0,0,0,0.082753185,0,0,0.070600444,0,0,0,0,0,0,0,0,0,0,0,0,0.017361037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RENGAW PREDESTINE MANSHED - MANSHED,2,0.87962963,0.604166667,0.66666637,0,0,0.250576889,0,0.167245037,0,0,0,0,0,0,0.898148148,0.020833333,0,0,0,0,0,0,0,0,0,0,0,0,0.005208296,0,0,0,0,0,0,0,0.086805481,0,0,0,0,0,0,0,0,0,0,0,0,0
COUNTRY ROAD ROYALMAN 4198-ET - PROVINCE,3,0.87962963,0.611111111,0,0,0,0.250576889,1,0.168981185,0.339119259,0,0,0,0.133098519,0,0,0,0,0.082753185,0,0,0.070600444,0,0.041085481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CARENDA PICOLA 349 - VANCE,4,0.87962963,0,0,0.601851852,0.483796148,0.250576889,0,0,0,0,0.123262963,0,0,0,0,0.020833333,0.75,0,0.042824,0,0,0,0,0.111110963,0,0,0,0,0.005208296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADLEJAMA PICOLA FAROUK - LJCOOL,5,0.877893481,0.604166667,0,0.601851852,0.483796148,0,0,0.167245037,0,0,0.123262963,0,0,0,0,0.020833333,0,0,0.042824,0,0,0,0,0,0,0,0,0,0.005208296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MANNA FARM DELANO - DELANO,6,0,0,0,0.62962963,0.490740593,0,1,0,0.339119259,0,0.124999111,0,0,0,0,0,0,0.082753185,0.044560148,0,0.071179111,0,0,0,0,0,0,0,0,0,0.086223852,0,0,0,0,0,0,0,0,0,0,0.027776444,0,0,0,0,0,0,0,0
HINDLEE PICOLA ROYALROUMARE 1414-ET - ROYALPIC,7,0,0,0,0.601851852,0.483796148,0,1,0,0.339119259,0,0.123262963,0,0,0,0,0.020833333,0,0.082753185,0.042824,0,0.070600444,0,0,0,0,0,0,0,0.005208296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HINDLEE PICOLA GOLDCHIPDREAM 1418-ET - MICROCHIP,8,0,0.604166667,0.66666637,0.601851852,0.483796148,0,0,0.167245037,0,0,0.123262963,0,0,0,0,0.020833333,0,0,0.042824,0,0,0,0,0,0,0,0,0,0.005208296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PURNIM MILLARD BIOGOLDMILL - GOLDMILL,9,0.87962963,0,0.675346963,0,0,0.250576889,0,0,0,0.215276148,0,0.309027111,0,0,0,0,0,0,0,0.093744444,0,0,0,0.112847111,0,0,0.060182074,0.072334815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CARENDA VIZABULL 375 - VIZABULL,10,0.886574074,0,0,0.601851852,0.483796148,0.252313037,0,0,0,0,0.123262963,0,0,0,0,0.020833333,0,0,0.042824,0.093744444,0,0,0,0,0,0.056130667,0,0,0.005208296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CARENDA FOLKLAW 339 - FOLKLAW,11,0,0.611111111,0,0,0,0,1,0.168981185,0.339119259,0,0,0,0.133098519,0,0,0,0,0.082753185,0.044560148,0,0.071179111,0,0.041085481,0,0,0,0,0,0,0.074074074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HINDLEE GOLDWYN OMANROYAL 121003 - ROYALMAN,12,0.886574074,0.638888889,0,0,0,0.252313037,0,0.17592563,0,0,0,0,0.134834667,0,0,0,0,0,0,0.093744444,0,0,0.04282163,0,0,0.056130667,0.060760741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039928889,0,0,0,0,0,0
BOUW ROCKY - CRVBOUWROCKY,13,0.87962963,0,0.668402519,0,0,0.250576889,0,0,0,0.21354,0,0.309027111,0,0,0,0.027777778,0,0,0,0,0,0,0,0,0,0,0,0,0.006944444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001736,0.001736,0,0,0
DELTA CUPIDO - CRVCUPIDO,14,0,0.604166667,0.675346963,0,0,0,0,0.167245037,0.339119259,0.215276148,0,0,0,0,0,0,0,0.082753185,0,0,0,0,0,0,0,0,0.060182074,0.072334815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.044559407,0,0,0,0,0,0,0
CARENDA VALIUM 354 - VALIUM,15,0,0.611111111,0,0.601851852,0.483796148,0,0,0.168981185,0,0,0.123262963,0,0.133098519,0,0,0.020833333,0,0,0.042824,0,0,0,0.041085481,0,0,0,0,0,0.005208296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EMU BANKS JENGOLD - JENGOLD,16,0.881944444,0.611111111,0,0,0,0.251155556,0,0.168981185,0,0,0,0,0.133098519,0.092592593,0,0,0,0,0,0,0,0,0.041085481,0,0,0,0,0,0,0,0,0,0,0.017361037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEWHOUSE SKYFALL - CRVSKYFALL,17,0.87962963,0.611111111,0,0,0,0.250576889,0,0.168981185,0,0,0,0,0.133098519,0.092592593,0,0,0,0,0,0,0,0,0.041085481,0,0,0,0,0,0,0,0,0,0,0.017361037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE SU 12128 TAILOR - 29HO17706,18,0.877893481,0.602430519,0.66666637,0,0,0,0,0,0,0,0,0,0,0,0,0.020833333,0,0,0,0,0,0,0,0,0,0,0,0,0.005208296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GENERVATIONS LIQUID GOLD - GVLIQUIDGOLD,19,0.87962963,0,0.668402519,0,0,0.250576889,0,0,0,0.21354,0,0,0,0.092592593,0,0.027777778,0,0,0,0,0,0,0,0,0,0,0,0,0.006944444,0,0,0,0,0.017361037,0,0,0,0,0,0,0,0,0,0,0,0.001736,0.001736,0,0,0
PURNIM PICOLA BIOCARD 4TH-ET - BIOCARD,20,0,0.604166667,0,0.601851852,0.483796148,0,0,0.167245037,0,0,0.123262963,0,0,0,0,0.020833333,0,0,0.042824,0,0,0,0,0,0,0,0,0,0.005208296,0,0,0.083333333,0,0,0,0,0,0,0,0.024304444,0,0,0,0,0,0,0,0,0,0
CARENDA PERTINENT - PERTINENT,21,0,0.604166667,0,0.601851852,0.483796148,0,0,0.167245037,0,0,0.123262963,0,0,0,0,0.020833333,0,0,0.042824,0,0,0,0,0,0,0,0,0,0.005208296,0,0,0.083333333,0,0,0,0,0,0,0,0.024304444,0,0,0,0,0,0,0,0,0,0
DE-SU 11756 OCTAVIAN-ET - 29HO17509,22,0.87962963,0,0.668402519,0,0,0.250576889,0,0,0,0.21354,0,0,0,0.092592593,0,0.020833333,0,0,0,0,0,0,0,0,0,0,0,0,0.005208296,0,0,0,0,0.017361037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RENGAW CROWN JAKOVICH - JAKOVICH,23,0.87962963,0.611111111,0,0,0,0.250576889,0,0.168981185,0,0,0,0,0.133098519,0,0,0,0,0,0,0,0,0,0.041085481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BUNDALONG LIQUIDGOLD WARRIOR - GOLDWARRIOR,24,0.887152741,0,0.66666637,0,0,0.252313037,0,0,0,0,0,0,0,0.085648148,0,0.020833333,0,0,0,0.093744444,0,0,0,0,0,0.056130667,0,0,0.005208296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GLOMAR SUPERLUCKY-ET - SUPERLUCKY,25,0.877893481,0.611111111,0,0,0,0,0,0.168981185,0,0,0,0,0.133098519,0,0,0.020833333,0,0,0,0,0,0,0.041085481,0,0,0,0,0,0.005208296,0,0,0,0.032407111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE SU 11949 PENALTY - 29HO17732,26,0,0.604166667,0.67592563,0,0,0,0,0.167245037,0,0.215276148,0,0,0,0,0,0.020833333,0,0,0,0,0,0,0,0,0,0,0.060182074,0.072334815,0.005208296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MANNA FARM MCCUTCHEN 2701-ET - ZOLTAN,27,0,0.604166667,0.668402519,0,0,0,0,0.167245037,0,0.21354,0,0,0,0,0,0.020833333,0,0,0.042824,0,0,0,0,0,0,0,0,0,0.005208296,0.046296296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE-SU 11680 BRAUN-ET - 29HO16954,28,0.880208296,0,0,0,0,0.250576889,0,0,0,0,0,0.309027111,0,0,0,0,0,0,0,0,0,0.199074074,0,0,0,0,0,0,0,0,0,0,0,0,0.12037037,0,0,0,0,0,0,0,0,0,0,0.001736,0,0,0,0
