column,Row Order,HA-HO CUBBY MANFRED-ET,O-BEE MANFRED JUSTICE,EMPRISE BELL ELTON,OSDEL-ENDEAVOR BOVA CUBBY,CAROL PRELUDE MTOTO ET,MADAWASKA AEROSTAR,TO-MAR BLACKSTAR ET,A RONNYBROOK PRELUDE ET,PICSTON SHOTTLE,MAUGHLIN STORM,SHOREMAR JAMES,BRAEDALE GOLDWYN,SINGING-BROOK N-B MASCOT ET,HANOVERHILL STARBUCK,A MARK CJ GILBROOK GRAND ET,JOCKO BESN,GIBBON,SOUTHWIND BELL OF BAR-LEE,Q250 BESNE BUCK,WALKWAY CHIEF MARK,BIS-MAY S-E-L MOUNTAIN ET,ROUMARE,ELITE MOUNTAIN DONOR IMP (E_T),SHOREMAR PERFECT STAR (ET),MARA-THON BW MARSHALL,MAIZEFIELD BELLWOOD - (E_T_),ETAZON CELSIUS,MJR BLACKSTAR EMORY-ET,HILL VALLEY BASAR ACME,STARTMORE RUDOLPH,BASAR,BIS-MAY TRADITION CLEITUS,NORRIELAKE CLEITUS LUKE TWIN,BELT,CARENDA FABULON-ET,FUSTEAD EMORY BLITZ,WHITTIER-FARMS NED BOY,CARLIN-M IVANHOE BELL,ETAZON KNOCK OUT,FATAL,ELITE GOLD BULLION-IMP-ET,COGENT TWIST,LOOKING MAJOR,DIXIE-LEE AARON -ET,KED JUROR ET,ENSENADA TABOO PLANET ET,ROSE-BAUM TABOO,LONG-LANGS OMAN OMAN,COUNTRY ROAD ROUMARE CANBEE,MANNA FARM DEL SANTO
Column Order,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
ETAZON STEFANO - CRVESTEFANO,1,0.473684211,0.427631579,0.5,0.315789474,0,0.578947368,0,0,0,0.378289474,0.246710526,0.233552632,0,0,0.220394737,0,0,0,0,0.164473684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VH MOGENS - VIKVHMOGENS,2,0.473684211,0.427631579,0.5,0.315789474,0.391447368,0.289473684,0.457236842,0.309210526,0,0,0,0,0,0.243421053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105263158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE-SU ALTAMELHOR - 011HO11077,3,0.473684211,0.427631579,0.5,0.315789474,0.391447368,0.289473684,0,0.309210526,0.3125,0,0.246710526,0.233552632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ST. CLAIR SHOLTZ-TWIN - SHOLTZ,4,0,0,0,0,0.391447368,0.289473684,0.457236842,0.309210526,0.3125,0,0,0,0.279605263,0.486842105,0,0,0,0,0,0,0.309210526,0,0.398026316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RENGAW MANOMAN HUMMER-ET - GEEMCEE,5,0.473684211,0.427631579,0.5,0.315789474,0.391447368,0.289473684,0,0.309210526,0.3125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.052631579,0,0,0,0,0,0,0,0,0,0,0.016447368,0,0,0,0.009868421,0,0
RENGAW MANOMAN WRANGLER-ET - WRANGLER,6,0.473684211,0.427631579,0.5,0.315789474,0.391447368,0.289473684,0,0.309210526,0.3125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.052631579,0,0,0,0,0,0,0,0,0,0,0.016447368,0,0,0,0.009868421,0,0
AMIGHETTI NUMERO UNO - 0200HO07450,7,0.473684211,0.427631579,0.5,0.315789474,0.391447368,0.289473684,0,0.309210526,0.3125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.052631579,0,0,0,0,0,0,0,0,0,0,0.016447368,0,0,0,0.009868421,0,0
GALLRAE TENNYSON YJ - YJ,8,0.473684211,0.427631579,0.5,0.315789474,0.391447368,0,0.457236842,0.309210526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.131578947,0,0,0,0,0
GEN-I-BEQ LAVAMAN - 0200HO06267,9,0.473684211,0.427631579,0.5,0.315789474,0,0,0,0,0,0.378289474,0.246710526,0.233552632,0,0,0.220394737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.052631579,0,0,0,0,0,0,0,0,0,0,0.016447368,0,0,0,0.009868421,0,0
PETHERTON DENSITY - 0200HO02700,10,0.473684211,0.427631579,0.5,0.315789474,0,0,0,0,0,0.378289474,0.246710526,0.233552632,0,0,0.220394737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.052631579,0,0,0,0,0,0,0,0,0,0,0.016447368,0,0,0,0.009868421,0,0
BALLYCAIRN OMAN PELLO - 29HO12772,11,0.473684211,0.427631579,0.5,0.315789474,0,0,0,0,0,0.378289474,0.246710526,0.233552632,0,0,0.220394737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.052631579,0,0,0,0,0,0,0,0,0,0,0,0
MAINSTREAM MANIFOLD - HOMANIFOLD,12,0.473684211,0.427631579,1,0.315789474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3125,0.256578947,0,0,0,0,0,0,0,0,0,0,0,0.052631579,0,0,0,0,0,0,0,0,0,0,0,0
TOPSPEED GOLDYN-ET - GOLDCREST,13,0,0,0,0,0,0.578947368,0,0,0,0.378289474,0.246710526,0.233552632,0.279605263,0,0.220394737,0,0,0,0,0.164473684,0.309210526,0,0.398026316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COGENT TWIST - COGENTTWIST,14,0,0,0,0,0.391447368,0.289473684,0.457236842,0.309210526,0.3125,0,0,0,0,0.486842105,0,0,0,0,0,0,0,0,0,0,0,0,0.240131579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.141447368,0.141447368,0,0,0,0,0,0,0
JET STAR MANOMAN TRICKIN - TRICKIN,15,0.473684211,0.427631579,0.5,0.315789474,0,0,0,0,0,0,0,0,0,0,0,0.305921053,0.190789474,0,0.210526316,0,0,0.184210526,0,0,0,0,0,0,0,0,0,0,0.052631579,0,0,0,0,0,0,0,0,0,0,0.016447368,0,0,0,0.009868421,0,0
INDIJKS BABYLON - 29HO12470,16,0.473684211,0.427631579,1,0.315789474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.309210526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.052631579,0,0,0,0,0,0,0,0,0,0,0,0
BUSHLEA PERFECTOR BOLD-ET - BUDDHA,17,0,0,0,0,0,0.578947368,0,0,0,0.378289474,0.246710526,0.233552632,0.279605263,0,0.220394737,0,0.190789474,0.1875,0,0.164473684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KAARMONA CARLANA - CARLANA,18,0.473684211,0.427631579,0.5,0.315789474,0,0,0,0,0,0,0,0,0.279605263,0,0,0,0.190789474,0.1875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0625,0,0,0,0,0,0.082236842,0,0,0,0,0,0,0,0,0
DELTA TITANIUM - CRVTITANIUM,19,0.473684211,0.427631579,0.5,0.315789474,0,0.289473684,0,0,0,0,0,0,0,0.243421053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105263158,0,0,0,0,0,0,0.075657895,0,0,0,0,0,0,0,0,0,0,0,0,0
COUNTRY ROAD ROUMARE CANBEE - CANBEE,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0.243421053,0,0.305921053,0.190789474,0.375,0.210526316,0,0,0.184210526,0,0.319078947,0,0,0,0,0.210526316,0,0.203947368,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0625,0
RENGAW JARDIN JANEK - JANEK,21,0,0,0,0,0.391447368,0.289473684,0,0.309210526,0.3125,0,0,0,0,0.243421053,0,0.305921053,0,0.1875,0.210526316,0,0,0,0,0,0,0,0,0,0,0,0,0.101973684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MANNA FARM DEL SANTO - DELSANTO,22,0,0,0,0,0,0,0.457236842,0,0,0,0,0,0.279605263,0.243421053,0,0,0.190789474,0.1875,0,0,0,0,0,0.319078947,0,0,0,0,0.210526316,0,0.203947368,0,0,0.125,0.0625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.052631579
DYMENTHOLM S SYMPATICO - 0200HO02828,23,0.473684211,0.427631579,0.5,0.315789474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3125,0.256578947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006578947,0.006578947,0,0,0
