column,Row Order,O-BEE MANFRED JUSTICE,ENSENADA TABOO PLANET ET,ROSE-BAUM TABOO,HA-HO CUBBY MANFRED-ET,CARENDA FABULON-ET,BRAEDALE GOLDWYN,SHOREMAR JAMES,BASAR,HILL VALLEY BASAR ACME,MAUGHLIN STORM,GIBBON,JOCKO BESN,MANNA FARM DEL SANTO,Q250 BESNE BUCK,A MARK CJ GILBROOK GRAND ET,ROUMARE,ADLEJAMA DELSANTO PICOLA,LONG-LANGS OMAN OMAN,PICSTON SHOTTLE,EMPRISE BELL ELTON,SHOREMAR PERFECT STAR (ET),OUT-JOCK CHOICE AMEL,CAROL PRELUDE MTOTO ET,MADAWASKA AEROSTAR,END-ROAD BLACKSTAR MAJIC-ET,OSDEL-ENDEAVOR BOVA CUBBY,DIXIE-LEE AARON -ET,BELT,EMERALD-ACRES-SA TONIC ET,TO-MAR BLACKSTAR ET,REGANCREST ELTON DURHAM,ELITE GOLD BULLION-IMP-ET,JARDIN,AG-HIGH SIGHTS BS INGOT-ET,FUSTEAD EMORY BLITZ,RALMA GOLD CROWN,ROYLANE SOCRA ROBUST,STARTMORE RUDOLPH,VELVET-VIEW-KJ SOCRATES,ETAZON ADDISON,PIROLO GOLDW_ WYMAN,BUSHLEA PERFECTOR BOLD-ET,GLENN-ANN PALERMO,VEAZLAND MARION,SEAGULL-BAY SUPERSIRE,KAARMONA ATLEY,MAPLE-DOWNS-I G W ATWOOD,AMIGHETTI NUMERO UNO,GRAN-J OMAN MCCORMICK,SCHILLVIEW OMAN GERARD
Column Order,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
MANNA FARM DELANO - DELANO,1,0,0,0,0,0.543478261,0,0,0.492753623,0.492753623,0,1,0.52173913,0.224637681,0.282608696,0,0.391304348,0,0,0,0,0.369565217,0,0,0,0,0,0,0.188405797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CARENDA FOLKLAW 339 - FOLKLAW,2,0,0,0,0,0.543478261,0.355072464,0.355072464,0,0,0.514492754,1,0.52173913,0,0.282608696,0.224637681,0.391304348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028985507,0,0,0,0,0,0,0,0
HINDLEE PICOLA ROYALROUMARE 1414-ET - ROYALPIC,3,0,0.275362319,0.275362319,0,0.543478261,0,0,0.492753623,0.492753623,0,0.5,0.52173913,0.224637681,0.282608696,0,0.391304348,0.115942029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COUNTRY ROAD ROYALMAN 4198-ET - PROVINCE,4,0.5,0,0,0.398550725,0,0.355072464,0.355072464,0,0,0.514492754,0.5,0.52173913,0,0.282608696,0.224637681,0.391304348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CARENDA VALIUM 354 - VALIUM,5,0,0.275362319,0.275362319,0,0.543478261,0.355072464,0.355072464,0.492753623,0.492753623,0.514492754,0,0,0.224637681,0,0.224637681,0,0.115942029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADLEJAMA PICOLA FAROUK - LJCOOL,6,0.5,0.275362319,0.275362319,0,0.543478261,0.355072464,0.355072464,0.492753623,0.492753623,0,0,0,0.224637681,0,0,0,0.115942029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101449275,0,0,0,0,0,0,0,0,0
CARENDA VIZABULL 375 - VIZABULL,7,0.5,0.275362319,0.275362319,0.398550725,0.543478261,0,0,0.492753623,0.492753623,0,0,0,0.224637681,0,0,0,0.115942029,0,0,0.15942029,0,0,0,0,0,0.130434783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADLEJAMA DELSANTO PICOLA - PICOLA,8,0,0.275362319,0.275362319,0,0.543478261,0,0,0.492753623,0.492753623,0,0.5,0,0.224637681,0,0,0,0.115942029,0,0,0,0.369565217,0.065217391,0,0,0.065217391,0,0,0.188405797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EMU BANKS JENGOLD - JENGOLD,9,1,0,0,0.797101449,0,0.355072464,0.355072464,0,0,0.514492754,0,0,0,0,0.224637681,0,0,0.101449275,0,0,0,0,0,0,0,0,0.079710145,0,0,0,0,0,0,0,0,0.072463768,0,0,0,0,0,0,0,0,0,0,0,0,0,0
