column,Row Order,O-BEE MANFRED JUSTICE,ADLEJAMA DELSANTO PICOLA,BRAEDALE GOLDWYN,MANNA FARM DEL SANTO,ENSENADA TABOO PLANET ET,HILL VALLEY BASAR ACME,CARENDA FABULON-ET,LONG-LANGS OMAN OMAN,SHOREMAR JAMES,JOCKO BESN,ROSE-BAUM TABOO,HA-HO CUBBY MANFRED-ET,ROUMARE,BASAR,JARDIN,RALMA GOLD CROWN,MAUGHLIN STORM,SEAGULL-BAY SUPERSIRE,PICSTON SHOTTLE,BUSHLEA PERFECTOR BOLD-ET,PIROLO GOLDW_ WYMAN,GIBBON,GLENN-ANN PALERMO,Q250 BESNE BUCK,AMIGHETTI NUMERO UNO,KAARMONA ATLEY,ROYLANE SOCRA ROBUST,A MARK CJ GILBROOK GRAND ET,DIXIE-LEE AARON -ET,CAROL PRELUDE MTOTO ET,ELITE GOLD BULLION-IMP-ET,EMPRISE BELL ELTON,OUT-JOCK CHOICE AMEL,SHOREMAR PERFECT STAR (ET),END-ROAD BLACKSTAR MAJIC-ET,OSDEL-ENDEAVOR BOVA CUBBY,MAPLE-DOWNS-I G W ATWOOD,SCHILLVIEW OMAN GERARD,EMERALD-ACRES-SA TONIC ET,VELVET-VIEW-KJ SOCRATES,GRAN-J OMAN MCCORMICK,MADAWASKA AEROSTAR,REGANCREST ELTON DURHAM,VEAZLAND MARION,STARTMORE RUDOLPH,BELT,AG-HIGH SIGHTS BS INGOT-ET,ETAZON ADDISON,FUSTEAD EMORY BLITZ,TO-MAR BLACKSTAR ET
Column Order,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
ADLEJAMA PICOLA FAROUK - LJCOOL,1,0.430554667,0.944444444,0.496527778,0.819444444,0.270833333,0.552083333,0.279512222,0,0.124130889,0,0.067706667,0,0,0.138018444,0,0,0,0,0,0,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CARENDA PERTINENT - PERTINENT,2,0,0.944444444,0.496527778,0.819444444,0.270833333,0.552083333,0.279512222,0,0.124130889,0,0.067706667,0,0,0.138018444,0,0,0,0,0,0,0,0,0.305555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019097111,0,0,0,0,0
PURNIM PICOLA BIOCARD 4TH-ET - BIOCARD,3,0,0.944444444,0.496527778,0.819444444,0.270833333,0.552083333,0.279512222,0,0.124130889,0,0.067706667,0,0,0.138018444,0,0,0,0,0,0,0,0,0.305555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019097111,0,0,0,0,0
CARENDA REACTOR 352 - REACTOR,4,0,0.944444444,0,0.819444444,0.270833333,0.552083333,0.279512222,0,0,0.292532889,0.067706667,0,0,0.138018444,0.513888889,0,0,0,0,0,0,0,0,0.065970667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041665778,0,0,0,0,0,0,0,0,0,0,0
CARENDA VERMOUTH 394 - VERMOUTH,5,0,0.944444444,0,0.819444444,0.270833333,0.552083333,0.279512222,0,0,0.292532889,0.067706667,0,0,0.138018444,0.513888889,0,0,0,0,0,0,0,0,0.065970667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041665778,0,0,0,0,0,0,0,0,0,0,0
HINDLEE PICOLA ROYALROUMARE 1414-ET - ROYALPIC,6,0,0.944444444,0,0.819444444,0.270833333,0.552083333,0.279512222,0,0,0.292532889,0.067706667,0,0.401909111,0.138018444,0,0,0,0,0,0,0,0.094614889,0,0.065970667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CARENDA VALIUM 354 - VALIUM,7,0,0.944444444,0.506944444,0.819444444,0.270833333,0.552083333,0.279512222,0,0.126735111,0,0.067706667,0,0,0.138018444,0,0,0.096350889,0,0,0,0,0,0,0,0,0,0,0.027776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HINDLEE PICOLA GOLDCHIPDREAM 1418-ET - MICROCHIP,8,0,0.944444444,0.496527778,0.819444444,0.270833333,0.552083333,0.279512222,0,0.124130889,0,0.067706667,0,0,0.138018444,0,0,0,0,0.042534667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CARENDA PICOLA 349 - VANCE,9,0.433158889,0.944444444,0,0.819444444,0.270833333,0.552083333,0.279512222,0,0,0,0.067706667,0.105900667,0,0.138018444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.072916667,0,0.020832889,0,0,0,0,0,0,0
