column,Row Order,O-BEE MANFRED JUSTICE,HA-HO CUBBY MANFRED-ET,MAUGHLIN STORM,GIBBON,BRAEDALE GOLDWYN,SHOREMAR JAMES,ENSENADA TABOO PLANET ET,ROSE-BAUM TABOO,EMPRISE BELL ELTON,JOCKO BESN,SINGING-BROOK N-B MASCOT ET,MADAWASKA AEROSTAR,OSDEL-ENDEAVOR BOVA CUBBY,CARENDA FABULON-ET,A MARK CJ GILBROOK GRAND ET,ROUMARE,ELITE MOUNTAIN DONOR IMP (E_T),SOUTHWIND BELL OF BAR-LEE,BIS-MAY S-E-L MOUNTAIN ET,Q250 BESNE BUCK,TO-MAR BLACKSTAR ET,CAROL PRELUDE MTOTO ET,BASAR,HILL VALLEY BASAR ACME,HANOVERHILL STARBUCK,OUT-JOCK CHOICE AMEL,END-ROAD BLACKSTAR MAJIC-ET,LONG-LANGS OMAN OMAN,SHOREMAR PERFECT STAR (ET),PICSTON SHOTTLE,DIXIE-LEE AARON -ET,ELITE GOLD BULLION-IMP-ET,BELT,A RONNYBROOK PRELUDE ET,AG-HIGH SIGHTS BS INGOT-ET,BIS-MAY TRADITION CLEITUS,ETAZON KNOCK OUT,NORRIELAKE CLEITUS LUKE TWIN,MANNA FARM DEL SANTO,LEKKER VALIANT ROYALTY,STARTMORE RUDOLPH,EMERALD-ACRES-SA TONIC ET,BUSHLEA WAVES FABULON,FUSTEAD EMORY BLITZ,JARDIN,ROYLANE SOCRA ROBUST,VELVET-VIEW-KJ SOCRATES,TOP DECK KO PIERRE,BUSHLEA PERFECTOR BOLD-ET,COUNTRY ROAD ROUMARE CANBEE
Column Order,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
COUNTRY ROAD ROUMARE CANBEE - CANBEE,1,0,0,0,0.522727273,0,0,0,0,0,0.545454545,0,0,0,0,0,0.409090909,0,0.46969697,0,0.295454545,0,0,0.515151515,0.515151515,0.098484848,0,0,0,0.386363636,0,0,0,0.196969697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037878788
TOPSPEED GOLDYN-ET - GOLDCREST,2,0,0,0.537878788,0,0.371212121,0.371212121,0,0,0,0,0.318181818,0.287878788,0,0,0.234848485,0,1,0,0.606060606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.068181818,0,0,0,0,0,0,0,0,0,0
MANNA FARM DEL SANTO - DELSANTO,3,0,0,0,0.522727273,0,0,0,0,0,0,0.318181818,0,0,0.568181818,0,0,0,0.234848485,0,0,0.128787879,0,0.515151515,0.515151515,0.098484848,0,0,0,0.386363636,0,0,0,0.196969697,0,0,0,0,0,0.234848485,0,0,0,0,0,0,0,0,0,0,0
BUSHLEA PERFECTOR BOLD-ET - BUDDHA,4,0,0,0.537878788,0.522727273,0.371212121,0.371212121,0,0,0,0,0.318181818,0.287878788,0,0.568181818,0.234848485,0,0,0.234848485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03030303,0
KAARMONA CARLANA - CARLANA,5,0.522727273,0.416666667,0,0.522727273,0,0,0,0,0.166666667,0,0.318181818,0,0.136363636,0.568181818,0,0,0,0.234848485,0,0,0,0,0,0,0,0,0,0,0,0,0,0.234848485,0,0,0.151515152,0,0,0,0,0,0,0,0.128787879,0,0,0,0,0,0,0
JET STAR MANOMAN TRICKIN - TRICKIN,6,0.522727273,0.416666667,0,0.522727273,0,0,0,0,0.166666667,0.545454545,0,0,0.136363636,0,0,0.409090909,0,0,0,0.295454545,0,0,0,0,0,0,0,0.106060606,0,0,0.083333333,0,0,0,0,0,0,0.037878788,0,0,0,0,0,0,0,0,0,0,0,0
FARNEAR-TBR-BH CASHMONEY-ET - JSCASHMONEY,7,0.522727273,0.416666667,0.537878788,0,0.371212121,0.371212121,0.287878788,0.287878788,0,0,0,0,0,0,0.234848485,0,0,0,0,0,0,0,0,0,0,0.068181818,0.068181818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FARNEAR-TBR-BH CASHCOIN-ET - JSCASHCOIN,8,0.522727273,0.416666667,0.537878788,0,0.371212121,0.371212121,0.287878788,0.287878788,0,0,0,0,0,0,0.234848485,0,0,0,0,0,0,0,0,0,0,0.068181818,0.068181818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ETAZON STEFANO - CRVESTEFANO,9,0.522727273,0.416666667,0.537878788,0,0.371212121,0.371212121,0,0,0.166666667,0,0,0.287878788,0.136363636,0,0.234848485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GEN-I-BEQ LAVAMAN - 0200HO06267,10,0.522727273,0.416666667,0.537878788,0,0.371212121,0.371212121,0,0,0.166666667,0,0,0,0.136363636,0,0.234848485,0,0,0,0,0,0,0,0,0,0,0,0,0.106060606,0,0,0.083333333,0,0,0,0,0,0,0.037878788,0,0,0,0,0,0,0,0,0,0,0,0
PETHERTON DENSITY - 0200HO02700,11,0.522727273,0.416666667,0.537878788,0,0.371212121,0.371212121,0,0,0.166666667,0,0,0,0.136363636,0,0.234848485,0,0,0,0,0,0,0,0,0,0,0,0,0.106060606,0,0,0.083333333,0,0,0,0,0,0,0.037878788,0,0,0,0,0,0,0,0,0,0,0,0
EMU BANKS CHRISTMAS-ET - CHRISTMAS,12,0,0,0,0.522727273,0,0,0,0,0,0.545454545,0,0,0,0,0,0.409090909,0,0.46969697,0,0.295454545,0.128787879,0,0,0,0.098484848,0,0,0,0,0,0,0.234848485,0,0,0.151515152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BALLYCAIRN OMAN PELLO - 29HO12772,13,0.522727273,0.416666667,0.537878788,0,0.371212121,0.371212121,0,0,0.166666667,0,0,0,0.136363636,0,0.234848485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
