column,Row Order,O-BEE MANFRED JUSTICE,BRAEDALE GOLDWYN,ENSENADA TABOO PLANET ET,HA-HO CUBBY MANFRED-ET,LONG-LANGS OMAN OMAN,ROUMARE,JOCKO BESN,SHOREMAR JAMES,HILL VALLEY BASAR ACME,CARENDA FABULON-ET,ROSE-BAUM TABOO,MANNA FARM DEL SANTO,MAUGHLIN STORM,ELITE MOUNTAIN DONOR IMP (E_T),GIBBON,PICSTON SHOTTLE,JARDIN,BUSHLEA PERFECTOR BOLD-ET,BUSHLEA WAVES FABULON,EMPRISE BELL ELTON,Q250 BESNE BUCK,OSDEL-ENDEAVOR BOVA CUBBY,COUNTRY ROAD ROUMARE CANBEE,ROYLANE SOCRA ROBUST,SINGING-BROOK N-B MASCOT ET,CAROL PRELUDE MTOTO ET,BASAR,BIS-MAY S-E-L MOUNTAIN ET,ELITE GOLD BULLION-IMP-ET,MADAWASKA AEROSTAR,A MARK CJ GILBROOK GRAND ET,DIXIE-LEE AARON -ET,OUT-JOCK CHOICE AMEL,TO-MAR BLACKSTAR ET,END-ROAD BLACKSTAR MAJIC-ET,SOUTHWIND BELL OF BAR-LEE,SHOREMAR PERFECT STAR (ET),HANOVERHILL STARBUCK,VELVET-VIEW-KJ SOCRATES,STARTMORE RUDOLPH,TOP DECK KO PIERRE,AG-HIGH SIGHTS BS INGOT-ET,A RONNYBROOK PRELUDE ET,ETAZON KNOCK OUT,BELT,EMERALD-ACRES-SA TONIC ET,BIS-MAY TRADITION CLEITUS,NORRIELAKE CLEITUS LUKE TWIN,FUSTEAD EMORY BLITZ,LEKKER VALIANT ROYALTY
Column Order,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
MANNA FARM DEL SANTO - DELSANTO,1,0,0,0,0,0,0,0,0,0.659090909,0.31912703,0,1,0,0,0.106057212,0,0,0,0,0,0,0,0,0,0.043558061,0,0.164770182,0,0,0,0,0,0,0.017044364,0,0.030301091,0.066285091,0.013256727,0,0,0,0,0,0,0.031248485,0,0,0,0,0
COUNTRY ROAD ROUMARE CANBEE - CANBEE,2,0,0,0,0,0,0.483900848,0.330490424,0,0.613636364,0,0,0,0,0,0.106057212,0,0,0,0,0,0.07480897,0,0.424242424,0,0,0,0.153406545,0,0,0,0,0,0,0,0,0.031248,0.063444121,0.013256727,0,0,0,0,0,0,0.028407515,0,0,0,0,0
JET STAR MANOMAN TRICKIN - TRICKIN,3,0.483900606,0,0,0.11836897,0.420454545,0.438446303,0.319126788,0,0,0,0,0,0,0,0.103216242,0,0,0,0,0.024619879,0.071968,0.020832242,0,0,0,0,0,0,0,0,0,0.025567758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005681455,0,0
PETHERTON DENSITY - 0200HO02700,4,0.483900606,0.553030303,0,0.11836897,0.420454545,0,0,0.138256485,0,0,0,0,0.105110061,0,0,0,0,0,0,0.024619879,0,0.020832242,0,0,0,0,0,0,0,0,0.030301091,0.025567758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005681455,0,0
GEN-I-BEQ LAVAMAN - 0200HO06267,5,0.483900606,0.553030303,0,0.11836897,0.420454545,0,0,0.138256485,0,0,0,0,0.105110061,0,0,0,0,0,0,0.024619879,0,0.020832242,0,0,0,0,0,0,0,0,0.030301091,0.025567758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005681455,0,0
KAARMONA CARLANA - CARLANA,6,0.483900606,0,0,0.11836897,0,0,0,0,0,0.31912703,0,0,0,0,0.106057212,0,0,0,0.511363636,0.024619879,0,0.020832242,0,0,0.043558061,0,0,0,0.146779636,0,0,0,0,0,0,0.030301091,0,0,0,0,0,0.034089939,0,0,0,0,0,0,0,0
FARNEAR-TBR-BH CASHCOIN-ET - JSCASHCOIN,7,0.47253697,0.553030303,0.306818182,0.115528,0,0,0,0.138256485,0,0,0.076702788,0,0.105110061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.030301091,0,0.012310061,0,0.012310061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FARNEAR-TBR-BH CASHMONEY-ET - JSCASHMONEY,8,0.47253697,0.553030303,0.306818182,0.115528,0,0,0,0.138256485,0,0,0.076702788,0,0.105110061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.030301091,0,0.012310061,0,0.012310061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BUSHLEA PERFECTOR BOLD-ET - BUDDHA,9,0,0.598484848,0,0,0,0,0,0.149620121,0,0.31912703,0,0,0.10795103,0,0.106057212,0,0,0.318181818,0,0,0,0,0,0,0.043558061,0,0,0,0,0.019885091,0.033142061,0,0,0,0,0.030301091,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MANNA FARM MCCUTCHEN 2701-ET - ZOLTAN,10,0,0.541666667,0.295454545,0,0,0,0,0.135415515,0,0.304922424,0.073861818,0,0,0,0,0.049242424,0,0.212121212,0,0,0,0,0,0,0,0.020832727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ETAZON STEFANO - CRVESTEFANO,11,0.483900606,0.598484848,0,0.11836897,0,0,0,0.149620121,0,0,0,0,0.10795103,0,0,0,0,0,0,0.024619879,0,0.020832242,0,0,0,0,0,0,0,0.019885091,0.033142061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BALLYCAIRN OMAN PELLO - 29HO12772,12,0.529355152,0.553030303,0,0.129732606,0,0,0,0.138256485,0,0,0,0,0.105110061,0,0,0,0,0,0,0.027460848,0,0.023673212,0,0,0,0,0,0,0,0,0.030301091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TOPSPEED GOLDYN-ET - GOLDCREST,13,0,0.598484848,0,0,0,0,0,0.149620121,0,0,0,0,0.10795103,0.432761455,0,0,0,0,0,0,0,0,0,0,0.043558061,0,0,0.105109333,0,0.019885091,0.033142061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009469091
DE-SU DISTINCTION 11130 - 7HO11775,14,0.47253697,0,0.306818182,0.115528,0.375,0,0,0,0,0,0.076702788,0,0,0,0,0.049242424,0,0,0,0,0,0,0,0,0,0.020832727,0,0,0,0,0,0.022726788,0.012310061,0,0.012310061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE-SU ALTAMELHOR - 011HO11077,15,0.483900606,0.541666667,0,0.11836897,0,0,0,0.135415515,0,0,0,0,0,0,0,0.060606061,0,0,0,0.024619879,0,0.020832242,0,0,0,0.023673697,0,0,0,0.018938182,0,0,0,0,0,0,0,0,0,0,0,0,0.003787636,0,0,0,0,0,0,0
EDELWEISS - EDELWEISS,16,0,0,0.352272727,0,0,0.438446303,0.319126788,0,0,0,0.088066424,0,0,0,0.103216242,0,0,0,0,0,0.071968,0,0,0,0,0,0,0,0,0,0,0,0.01515103,0.017044364,0.01515103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EMU BANKS CHRISTMAS-ET - CHRISTMAS,17,0,0,0,0,0,0.483900848,0.330490424,0,0,0,0,0,0,0,0.106057212,0,0,0,0,0,0.07480897,0,0,0,0,0,0,0,0.158143273,0,0,0,0,0.017044364,0,0.031248,0,0.013256727,0,0,0,0.036930909,0,0,0,0,0,0,0,0
RENGAW JARDIN JANEK - JANEK,18,0,0,0,0,0,0,0.330490424,0,0,0,0,0,0,0,0,0.060606061,0.606060606,0,0,0,0.07480897,0,0,0,0,0.023673697,0,0,0,0.018938182,0,0,0,0,0,0.030301091,0,0.013256727,0,0,0,0,0.003787636,0,0,0.048294545,0.010416,0,0,0
RENGAW MANOMAN WRANGLER-ET - WRANGLER,19,0.483900606,0,0,0.11836897,0.420454545,0,0,0,0,0,0,0,0,0,0,0.060606061,0,0,0,0.024619879,0,0.020832242,0,0,0,0.023673697,0,0,0,0.018938182,0,0.025567758,0,0,0,0,0,0,0,0,0,0,0.003787636,0,0,0,0,0.005681455,0,0
AMIGHETTI NUMERO UNO - 0200HO07450,20,0.483900606,0,0,0.11836897,0.420454545,0,0,0,0,0,0,0,0,0,0,0.060606061,0,0,0,0.024619879,0,0.020832242,0,0,0,0.023673697,0,0,0,0.018938182,0,0.025567758,0,0,0,0,0,0,0,0,0,0,0.003787636,0,0,0,0,0.005681455,0,0
RENGAW MANOMAN HUMMER-ET - GEEMCEE,21,0.483900606,0,0,0.11836897,0.420454545,0,0,0,0,0,0,0,0,0,0,0.060606061,0,0,0,0.024619879,0,0.020832242,0,0,0,0.023673697,0,0,0,0.018938182,0,0.025567758,0,0,0,0,0,0,0,0,0,0,0.003787636,0,0,0,0,0.005681455,0,0
CO-OP ROBUST CABRIOLET-ET - CABRIOLET,22,0.47253697,0,0.306818182,0.115528,0,0,0,0,0,0,0.076702788,0,0,0,0,0,0,0,0,0,0,0,0,0.106060606,0,0,0,0,0,0,0,0,0.012310061,0,0.012310061,0,0,0,0.026515152,0,0,0,0.003787636,0,0,0,0,0,0.007575515,0
EVEN-PAR ZUMA - 29HO16607,23,0.47253697,0,0.306818182,0.115528,0,0,0,0,0,0,0.076702788,0,0,0,0,0,0,0,0,0,0,0,0,0.106060606,0,0,0,0,0,0,0,0,0.012310061,0,0.012310061,0,0,0,0.026515152,0,0,0,0.003787636,0,0,0,0,0,0.007575515,0
SEAGULL-BAY SUPERSIRE - 7H11351,24,0.47253697,0,0.306818182,0.115528,0,0,0,0,0,0,0.076702788,0,0,0,0,0,0,0,0,0,0,0,0,0.106060606,0,0,0,0,0,0,0,0,0.012310061,0,0.012310061,0,0,0,0.026515152,0,0,0,0.003787636,0,0,0,0,0,0.007575515,0
FIR-RIDGE PLANET PLUTO - 14H6239,25,0.483900606,0,0.352272727,0.11836897,0,0,0,0,0,0,0.088066424,0,0,0,0,0,0,0,0,0.024619879,0,0.020832242,0,0,0,0,0,0,0,0,0,0,0.01515103,0.017044364,0.01515103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DELTA G-FORCE - CRVGFORCE,26,0.483900606,0,0,0.11836897,0.420454545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024619879,0,0.020832242,0,0,0,0,0,0,0,0,0,0.025567758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005681455,0,0
DYMENTHOLM S SYMPATICO - 0200HO02828,27,0.483900606,0,0.306818182,0.11836897,0,0,0,0,0,0,0.076702788,0,0,0,0,0,0,0,0,0.024619879,0,0.020832242,0,0,0,0,0,0,0,0,0,0,0.012310061,0,0.012310061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VH MIRACLE - VIKVHMIRACLE,28,0,0,0,0,0,0.438446303,0.319126788,0,0,0,0,0,0,0,0.103216242,0,0,0,0,0,0.071968,0,0,0,0,0.023673697,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020833212,0,0,0.003787636,0,0,0,0,0,0,0
MR APPLES ARMANI - 7H11703,29,0,0.598484848,0,0,0,0,0,0.149620121,0,0,0,0,0.10795103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019885091,0.033142061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INDIJKS BABYLON - 29HO12470,30,0.529355152,0,0,0.129732606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028407758,0,0.023673212,0,0,0,0,0,0.105109333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009469091
ST. CLAIR SHOLTZ-TWIN - SHOLTZ,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0.432761455,0,0.106060606,0,0,0,0,0,0,0,0,0.043558061,0.035037333,0,0.105109333,0,0.021779152,0,0,0,0.017044364,0,0,0,0.014203636,0,0,0,0,0.006628606,0,0,0,0,0,0,0.009469091
DE-SU RANSOM - ET - DESURANSOM,32,0.47253697,0,0,0.115528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106060606,0,0,0,0,0,0.018938182,0,0,0,0,0,0,0,0,0.026515152,0.023674182,0,0,0.003787636,0,0,0,0,0,0.007575515,0
MAIRE MINT FIRE-UP - NZGFIREUP,33,0.483900606,0,0,0.11836897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024619879,0,0.020832242,0,0,0.043558061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045454545,0,0,0.030302061,0,0,0,0,0,0
VH MOGENS - VIKVHMOGENS,34,0.483900606,0,0,0.11836897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024619879,0,0.020832242,0,0,0,0.035037333,0,0,0,0.018938182,0,0,0,0.017044364,0,0,0,0.013256727,0,0.023674182,0,0,0.006628606,0,0,0,0,0,0,0
