column,Row Order,O-BEE MANFRED JUSTICE,BRAEDALE GOLDWYN,SHOREMAR JAMES,HA-HO CUBBY MANFRED-ET,MAUGHLIN STORM,BASAR,PICSTON SHOTTLE,HILL VALLEY BASAR ACME,MADAWASKA AEROSTAR,JOCKO BESN,Q250 BESNE BUCK,A MARK CJ GILBROOK GRAND ET,CARENDA FABULON-ET,ENSENADA TABOO PLANET ET,GIBBON,CAROL PRELUDE MTOTO ET,STARTMORE RUDOLPH,ROSE-BAUM TABOO,FATAL,ROUMARE,FUSTEAD EMORY BLITZ,ETAZON KNOCK OUT,A RONNYBROOK PRELUDE ET,EMPRISE BELL ELTON,OSDEL-ENDEAVOR BOVA CUBBY,MARA-THON BW MARSHALL,GLENN-ANN PALERMO,BUNDALONG MARKS MEDALLION,OUT-JOCK CHOICE AMEL,WALKWAY CHIEF MARK,LONG-LANGS OMAN OMAN,END-ROAD BLACKSTAR MAJIC-ET,REGANCREST ALTAIOTA,DIXIE-LEE AARON -ET,END-ROAD PVF BOLIVER,EMERALD-ACRES-SA TONIC ET,JARDIN,RICH-RO MARK SAM -ET,UFM-DUBS ALTAESQUIRE,BADGER-BLUFF FANNY FREDDIE,CHARLESDALE SUPERSTITION,COUNTRY ROAD ROUMARE CANBEE,COYNE-FARMS DORCY,DELTA PARAMOUNT,EMERALD-ACR-SA T-BAXTER,END-ROAD BEACON,LARS-ACRES SHOT TRIGGER,MANNA FARM DEL SANTO,RAMOS,SANDY-VALLEY BOLTON
Column Order,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
HINDLEE GOLDWYN OMANROYAL 121003 - ROYALMAN,1,0.286713287,0.454545455,0.451048951,0.325174825,0.828671329,0,0,0,1,0,0,0.377622378,0,0,0,0,0,0,0,0,0,0,0,0.094405594,0.06993007,0,0,0,0,0.059440559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEWHOUSE SKYFALL - CRVSKYFALL,2,0.286713287,0.454545455,0.451048951,0.325174825,0.828671329,0,0,0,0,0,0,0.377622378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003496503,0,0,0.003496503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DELTA CUPIDO - CRVCUPIDO,3,0,0.454545455,0.451048951,0,0,0,0.08041958,0,0.5,0.328671329,0.311188811,0,0,0,0,0.076923077,0,0,0.314685315,0,0,0,0.097902098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GLOMAR SUPERLUCKY-ET - SUPERLUCKY,4,0.286713287,0.454545455,0.451048951,0,0.828671329,0,0,0,0,0,0,0.377622378,0,0.013986014,0,0,0,0.013986014,0,0,0.066433566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GLOMAR SUPER LUCKYBRO - ET - LUCKYBRO,5,0.286713287,0.454545455,0.451048951,0,0.828671329,0,0,0,0,0,0,0.377622378,0,0.013986014,0,0,0,0.013986014,0,0,0.066433566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CALISTER CANJAM 143-ET - CANJAM,6,0.286713287,0,0,0.325174825,0,0.433566434,0,0.384615385,0,0.328671329,0.311188811,0,0,0,0.213286713,0,0,0,0,0.094405594,0,0,0,0,0,0,0,0,0,0,0.003496503,0,0,0.003496503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CARENDA PERTINENT - PERTINENT,7,0,0.454545455,0.451048951,0,0,0.433566434,0,0.384615385,0,0,0,0,0.167832168,0.013986014,0,0,0.146853147,0.013986014,0,0,0,0,0,0,0,0,0.122377622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HINDLEE PICOLA GOLDCHIPDREAM 1418-ET - MICROCHIP,8,0,0.454545455,0.451048951,0,0,0.433566434,0.08041958,0.384615385,0,0,0,0,0.167832168,0.013986014,0,0,0,0.013986014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KIRK ANDREWS PICOLA M122 - TEMPTATION,9,0,0,0,0,0,0.433566434,0,0.384615385,0,0.328671329,0.311188811,0,0.167832168,0.013986014,0.213286713,0,0,0.013986014,0,0.094405594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
