column,Row Order,BRAEDALE GOLDWYN,O-BEE MANFRED JUSTICE,HILL VALLEY BASAR ACME,PICSTON SHOTTLE,SHOREMAR JAMES,JOCKO BESN,BASAR,MAUGHLIN STORM,GLENN-ANN PALERMO,ENSENADA TABOO PLANET ET,BUNDALONG MARKS MEDALLION,HA-HO CUBBY MANFRED-ET,CARENDA FABULON-ET,ROUMARE,Q250 BESNE BUCK,CAROL PRELUDE MTOTO ET,REGANCREST ALTAIOTA,A MARK CJ GILBROOK GRAND ET,MADAWASKA AEROSTAR,STARTMORE RUDOLPH,GIBBON,LONG-LANGS OMAN OMAN,ROSE-BAUM TABOO,FUSTEAD EMORY BLITZ,FATAL,ETAZON KNOCK OUT,END-ROAD PVF BOLIVER,EMPRISE BELL ELTON,MARA-THON BW MARSHALL,A RONNYBROOK PRELUDE ET,OUT-JOCK CHOICE AMEL,OSDEL-ENDEAVOR BOVA CUBBY,JARDIN,UFM-DUBS ALTAESQUIRE,WALKWAY CHIEF MARK,END-ROAD BLACKSTAR MAJIC-ET,DIXIE-LEE AARON -ET,EMERALD-ACRES-SA TONIC ET,RICH-RO MARK SAM -ET,BADGER-BLUFF FANNY FREDDIE,CHARLESDALE SUPERSTITION,COUNTRY ROAD ROUMARE CANBEE,COYNE-FARMS DORCY,DELTA PARAMOUNT,EMERALD-ACR-SA T-BAXTER,END-ROAD BEACON,LARS-ACRES SHOT TRIGGER,MANNA FARM DEL SANTO,RAMOS,SANDY-VALLEY BOLTON
Column Order,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
CARENDA PERTINENT - PERTINENT,1,0.901289651,0,0.805059429,0,0.225197714,0,0.22718146,0,1,0.021825397,0,0,0.19543619,0,0,0,0,0,0,0.06597181,0,0,0.005456254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HINDLEE PICOLA GOLDCHIPDREAM 1418-ET - MICROCHIP,2,0.901289651,0,0.805059429,0.163690413,0.225197714,0,0.22718146,0,0,0.021825397,0,0,0.19543619,0,0,0,0,0,0,0,0,0,0.005456254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MANNA FARM SHAN 2716 - WENTWORTH,3,0,0.239086984,0.805059429,0,0,0,0.22718146,0,0,0.021825397,0.857142857,0.07638654,0,0,0,0,0,0,0,0,0,0.015873016,0.005456254,0,0,0.091765206,0,0,0,0,0,0,0,0,0,0,0.000992,0,0,0,0,0,0,0,0,0,0,0,0,0
CALISTER CANJAM 143-ET - CANJAM,4,0,0.239086984,0.805059429,0,0,0.288194032,0.22718146,0,0,0,0,0.07638654,0,0.168650794,0.075890667,0,0,0,0,0,0.06051454,0.015873016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000992,0,0,0,0,0,0,0,0,0,0,0,0,0
DELTA CUPIDO - CRVCUPIDO,5,0.901289651,0,0,0.171130921,0.225197714,0.288194032,0,0,0,0,0,0,0,0,0.075890667,0.042658667,0,0,0.071424,0,0,0,0,0,0.141863873,0,0,0,0,0.018848381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HINDLEE GOLDWYN OMANROYAL 121003 - ROYALMAN,6,0.931051556,0.245039365,0,0,0.232638222,0,0,0.257931937,0,0,0,0.077874667,0,0,0,0,0,0.055552127,0.07192,0,0,0,0,0,0,0,0,0.021328635,0,0,0,0.010416,0,0,0.010416127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KIRK ANDREWS PICOLA M122 - TEMPTATION,7,0,0,0.805059429,0,0,0.288194032,0.22718146,0,0,0.021825397,0,0,0.19543619,0.168650794,0.075890667,0,0,0,0,0,0.06051454,0,0.005456254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEWHOUSE SKYFALL - CRVSKYFALL,8,0.907242032,0.239086984,0,0,0.226685841,0,0,0.25644381,0,0,0,0.07638654,0,0,0,0,0,0.054064,0,0,0,0.015873016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000992,0,0,0,0,0,0,0,0,0,0,0,0,0
GLOMAR SUPER LUCKYBRO - ET - LUCKYBRO,9,0.907242032,0.237598857,0,0,0.226685841,0,0,0.25644381,0,0.021825397,0,0,0,0,0,0,0,0.054064,0,0,0,0,0.005456254,0.038194413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
