column,Row Order,BRAEDALE GOLDWYN,O-BEE MANFRED JUSTICE,PICSTON SHOTTLE,HA-HO CUBBY MANFRED-ET,SHOREMAR JAMES,JOCKO BESN,HILL VALLEY BASAR ACME,MAUGHLIN STORM,MADAWASKA AEROSTAR,BUSHLEA WAVES FABULON,CARENDA FABULON-ET,ROUMARE,CAROL PRELUDE MTOTO ET,ELITE GOLD BULLION-IMP-ET,ENSENADA TABOO PLANET ET,GIBBON,BASAR,Q250 BESNE BUCK,EMPRISE BELL ELTON,A RONNYBROOK PRELUDE ET,ELITE MOUNTAIN DONOR IMP (E_T),LONG-LANGS OMAN OMAN,A MARK CJ GILBROOK GRAND ET,OSDEL-ENDEAVOR BOVA CUBBY,FUSTEAD EMORY BLITZ,SHOREMAR PERFECT STAR (ET),HANOVERHILL STARBUCK,ROSE-BAUM TABOO,AG-HIGH SIGHTS BS INGOT-ET,BUSHLEA PERFECTOR BOLD-ET,MJR BLACKSTAR EMORY-ET,BELT,BIS-MAY S-E-L MOUNTAIN ET,ETAZON KNOCK OUT,MARA-THON BW MARSHALL,OUT-JOCK CHOICE AMEL,END-ROAD BLACKSTAR MAJIC-ET,BIS-MAY TRADITION CLEITUS,ROTHROCK TRADITION LEADMAN,ETAZON CELSIUS,SHEN-VAL NV LM FORMATION-ET,MAIZEFIELD BELLWOOD - (E_T_),ATHOL M K VULCAN,ETAZON JIMTOWN,FULLERTONS WARD,HIBI SECRET SKELTON,KAPAWAI JIMTOWN POSH,LLOYDS EXCELLENCY,MCMILLANS TROPHY,SCOTTS NORTHSEA
Column Order,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
TOPSPEED GOLDYN-ET - GOLDCREST,1,1,0,0,0,0.249866101,0,0,0.277032926,0.077245991,0,0,0,0,0,0,0,0,0,0,0,0.401170562,0,0.059666005,0,0,0,0,0,0,0,0,0,0.109745854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BUSHLEA PERFECTOR BOLD-ET - BUDDHA,2,1,0,0,0,0.249866101,0,0,0.277032926,0.077245991,0,0.217900606,0,0,0,0,0.066594236,0,0,0,0,0,0,0.059666005,0,0,0,0,0,0,0.136387858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PETHERTON DENSITY - 0200HO02700,3,0.974427277,0.263185603,0,0.083641627,0.24347292,0,0,0.275434596,0,0,0,0,0,0,0,0,0,0,0.022908114,0,0,0.042621206,0.058067676,0.01118735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GEN-I-BEQ LAVAMAN - 0200HO06267,4,0.974427277,0.263185603,0,0.083641627,0.24347292,0,0,0.275434596,0,0,0,0,0,0,0,0,0,0,0.022908114,0,0,0.042621206,0.058067676,0.01118735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WINTERSELL MILO - CBWINTERSELL,5,0.974427277,0.288758326,0,0.090034808,0.24347292,0,0,0.275434596,0,0,0,0,0,0,0,0,0,0,0.024506443,0,0,0,0.058067676,0.01278568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ROYLANE BOXER PUNCH 4311-ET - 7HO11207,6,0.968034096,0.263185603,0.183803915,0.083641627,0.241874591,0,0,0,0.07671326,0,0,0,0.045817728,0,0,0,0,0,0.022908114,0.020244186,0,0,0,0.01118735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE-SU ALTAMELHOR - 011HO11077,7,0.968034096,0.263185603,0.183803915,0.083641627,0.241874591,0,0,0,0.07671326,0,0,0,0.045817728,0,0,0,0,0,0.022908114,0.020244186,0,0,0,0.01118735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KAARMONA CARLUSH-ET - CARLUSH,8,0,0,0,0,0,0.309536062,0,0,0,0.6222696,0.217900606,0.181140123,0,0.201384446,0,0.067126967,0,0.081510703,0,0,0,0,0,0,0,0,0,0,0.04741442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MANNA FARM DEL SANTO - DELSANTO,9,0,0,0,0,0,0,0.896643508,0,0,0,0.217900606,0,0,0,0,0.066594236,0.251996752,0,0,0,0,0,0,0,0,0.101754753,0.026636821,0,0,0,0,0.059133956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
