column,Row Order,O-BEE MANFRED JUSTICE,ENSENADA TABOO PLANET ET,HA-HO CUBBY MANFRED-ET,PICSTON SHOTTLE,BRAEDALE GOLDWYN,ROSE-BAUM TABOO,SHOREMAR JAMES,HILL VALLEY BASAR ACME,BASAR,MAUGHLIN STORM,JOCKO BESN,CARENDA FABULON-ET,Q250 BESNE BUCK,GIBBON,A MARK CJ GILBROOK GRAND ET,MADAWASKA AEROSTAR,CAROL PRELUDE MTOTO ET,MANNA FARM DEL SANTO,EMPRISE BELL ELTON,END-ROAD BLACKSTAR MAJIC-ET,OUT-JOCK CHOICE AMEL,LONG-LANGS OMAN OMAN,ROUMARE,A RONNYBROOK PRELUDE ET,OSDEL-ENDEAVOR BOVA CUBBY,SANDY-VALLEY BOLTON,FUSTEAD EMORY BLITZ,ADLEJAMA DELSANTO PICOLA,DIXIE-LEE AARON -ET,MARA-THON BW MARSHALL,DE-SU OBSERVER,ROYLANE SOCRA ROBUST,VELVET-VIEW-KJ SOCRATES,WALKWAY CHIEF MARK,STARTMORE RUDOLPH,ETAZON KNOCK OUT,SEAGULL-BAY SUPERSIRE,AMIGHETTI NUMERO UNO,BUNDALONG MARKS MEDALLION,FLEVO GENETICS SNOWMAN,FATAL,COUNTRY ROAD ROUMARE CANBEE,HINDLEE GOLDWYN OMANROYAL 121003,GLENN-ANN PALERMO,RICH-RO MARK SAM -ET,EMERALD-ACRES-SA TONIC ET,END-ROAD BEACON,REGANCREST ALTAIOTA,DELTA PARAMOUNT,MR CHASSITY GOLD CHIP
Column Order,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
HINDLEE GOLDWYN OMANROYAL 121003 - ROYALMAN,1,0.5,0,0.487837838,0,0.382432432,0,0.382432432,0,0,0.548648649,0,0,0,0,0.32972973,0.62972973,0,0,0.306756757,0,0,0,0,0,0.137837838,0,0,0,0,0,0,0,0,0.162162162,0,0,0,0,0,0,0,0,0.039189189,0,0,0,0,0,0,0
KIRK ANDREWS PICOLA M122 - TEMPTATION,2,0,0.154054054,0,0,0,0.154054054,0,0.506756757,0.497297297,0,0.385135135,0.468918919,0.291891892,0.45,0,0,0,0.266216216,0,0,0,0,0.128378378,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CALISTER CANJAM 143-ET - CANJAM,3,0.5,0,0.487837838,0,0,0,0,0.506756757,0.497297297,0,0.385135135,0,0.291891892,0.45,0,0,0,0,0,0,0,0.032432432,0.128378378,0,0,0,0,0,0.032432432,0,0,0,0,0,0,0,0,0,0,0,0,0.039189189,0,0,0,0,0,0,0,0
HINDLEE PICOLA GOLDCHIPDREAM 1418-ET - MICROCHIP,4,0,0.154054054,0,0.164864865,0.382432432,0.154054054,0.382432432,0.506756757,0.497297297,0,0,0.468918919,0,0,0,0,0,0.266216216,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009459459
CARENDA PERTINENT - PERTINENT,5,0,0.154054054,0,0,0.382432432,0.154054054,0.382432432,0.506756757,0.497297297,0,0,0.468918919,0,0,0,0,0,0.266216216,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0.051351351,0,0,0,0,0,0,0,0,0.032432432,0,0,0,0,0,0
CARENDA VERMOUTH 394 - VERMOUTH,6,0,0.154054054,0,0,0,0.154054054,0,0.506756757,0.497297297,0,0.385135135,0.468918919,0.291891892,0,0,0,0,0.266216216,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024324324,0,0,0,0
NEWHOUSE SKYFALL - CRVSKYFALL,7,0.5,0,0.487837838,0,0.382432432,0,0.382432432,0,0,0.548648649,0,0,0,0,0.32972973,0,0,0,0,0,0,0.032432432,0,0,0,0,0,0,0.032432432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MANNA FARM SHAN 2716 - WENTWORTH,8,0.5,0.154054054,0.487837838,0,0,0.154054054,0,0.506756757,0.497297297,0,0,0,0,0,0,0,0,0,0,0,0,0.032432432,0,0,0,0,0,0,0.032432432,0,0,0,0,0,0,0.114864865,0,0,0.063513514,0,0,0,0,0,0,0,0,0,0,0
GLOMAR SUPERLUCKY-ET - SUPERLUCKY,9,0.5,0.154054054,0,0,0.382432432,0.154054054,0.382432432,0,0,0.548648649,0,0,0,0,0.32972973,0,0,0,0,0,0,0,0,0,0,0,0.051351351,0,0,0,0,0.010810811,0.010810811,0,0,0,0.010810811,0,0,0,0,0,0,0,0,0,0,0,0,0
GLOMAR SUPER LUCKYBRO - ET - LUCKYBRO,10,0.5,0.154054054,0,0,0.382432432,0.154054054,0.382432432,0,0,0.548648649,0,0,0,0,0.32972973,0,0,0,0,0,0,0,0,0,0,0,0.051351351,0,0,0,0,0.010810811,0.010810811,0,0,0,0.010810811,0,0,0,0,0,0,0,0,0,0,0,0,0
DELTA CUPIDO - CRVCUPIDO,11,0,0,0,0.164864865,0.382432432,0,0.382432432,0,0,0,0.385135135,0,0.291891892,0,0,0.314864865,0.181081081,0,0,0,0,0,0,0.189189189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.043243243,0,0,0,0,0,0,0,0.012162162,0
