column,Row Order,O-BEE MANFRED JUSTICE,ENSENADA TABOO PLANET ET,PICSTON SHOTTLE,BRAEDALE GOLDWYN,MANNA FARM DEL SANTO,HILL VALLEY BASAR ACME,ROSE-BAUM TABOO,JOCKO BESN,SHOREMAR JAMES,LONG-LANGS OMAN OMAN,ADLEJAMA DELSANTO PICOLA,HA-HO CUBBY MANFRED-ET,DE-SU OBSERVER,CARENDA FABULON-ET,BASAR,SEAGULL-BAY SUPERSIRE,SANDY-VALLEY BOLTON,CAROL PRELUDE MTOTO ET,ROUMARE,AMIGHETTI NUMERO UNO,Q250 BESNE BUCK,MAUGHLIN STORM,BUNDALONG MARKS MEDALLION,ROYLANE SOCRA ROBUST,HINDLEE GOLDWYN OMANROYAL 121003,COUNTRY ROAD ROUMARE CANBEE,GLENN-ANN PALERMO,GIBBON,A MARK CJ GILBROOK GRAND ET,END-ROAD BEACON,MADAWASKA AEROSTAR,EMPRISE BELL ELTON,END-ROAD BLACKSTAR MAJIC-ET,OUT-JOCK CHOICE AMEL,A RONNYBROOK PRELUDE ET,FLEVO GENETICS SNOWMAN,VELVET-VIEW-KJ SOCRATES,STARTMORE RUDOLPH,REGANCREST ALTAIOTA,FUSTEAD EMORY BLITZ,MARA-THON BW MARSHALL,MR CHASSITY GOLD CHIP,DELTA PARAMOUNT,DIXIE-LEE AARON -ET,ETAZON KNOCK OUT,OSDEL-ENDEAVOR BOVA CUBBY,WALKWAY CHIEF MARK,RICH-RO MARK SAM -ET,FATAL,EMERALD-ACRES-SA TONIC ET
Column Order,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
HINDLEE PICOLA GOLDCHIPDREAM 1418-ET - MICROCHIP,1,0,0.203839869,0.251531817,0.446895425,1,0.471303059,0.050959582,0,0.111723582,0,0.248366013,0,0,0.181984837,0.117646144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037581699,0,0,0,0,0,0,0,0
CARENDA PERTINENT - PERTINENT,2,0,0.203839869,0,0.446895425,1,0.471303059,0.050959582,0,0.111723582,0,0.248366013,0,0,0.181984837,0.117646144,0,0,0,0,0,0,0,0,0,0,0,0.158496732,0,0,0,0,0,0,0,0,0,0,0.014093072,0,0,0,0,0,0,0,0,0,0,0,0
KIRK ANDREWS PICOLA M122 - TEMPTATION,3,0,0.203839869,0,0,1,0.471303059,0.050959582,0.269709516,0,0,0.248366013,0,0,0.181984837,0.117646144,0,0,0,0.124693569,0,0.065664967,0,0,0,0,0,0,0.051264523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CARENDA VERMOUTH 394 - VERMOUTH,4,0,0.203839869,0,0,1,0.471303059,0.050959582,0.269709516,0,0,0.248366013,0,0,0.181984837,0.117646144,0,0,0,0,0,0.065664967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002552993
CALISTER CANJAM 143-ET - CANJAM,5,0.32771634,0,0,0,0,0.471303059,0,0.269709516,0,0.089869281,0,0.084148627,0,0,0.117646144,0,0,0,0.124693569,0,0.065664967,0,0,0,0,0.196078431,0,0.051264523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005616732,0,0,0,0,0,0
MANNA FARM SHAN 2716 - WENTWORTH,6,0.32771634,0.203839869,0,0,0,0.471303059,0.050959582,0,0,0.089869281,0,0.084148627,0,0,0.117646144,0,0,0,0,0,0,0,0.264705882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005616732,0.031454039,0,0,0,0,0
RENGAW PREDESTINE MANSHED - MANSHED,7,0.32771634,0.203839869,0.251531817,0.446895425,0,0,0.050959582,0,0.111723582,0,0,0.084148627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011948523,0,0
HINDLEE GOLDWYN OMANROYAL 121003 - ROYALMAN,8,0.32894183,0,0,0.453022876,0,0,0,0,0.113255451,0,0,0.084455007,0,0,0,0,0,0,0,0,0,0.069442353,0,0,0.202614379,0,0,0,0.027469856,0,0.033801778,0.039520915,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014501046,0.014500889,0,0,0
GLOMAR SUPERLUCKY-ET - SUPERLUCKY,9,0.327409961,0.203839869,0,0.448120915,0,0,0.050959582,0,0.112029961,0,0,0,0,0,0,0.058823529,0,0,0,0,0,0.069135974,0,0.014705882,0,0,0,0,0.027163477,0,0,0,0,0,0,0,0.003676471,0,0,0.01011017,0,0,0,0,0,0,0,0,0,0
