column,Row Order,O-BEE MANFRED JUSTICE,HA-HO CUBBY MANFRED-ET,MADAWASKA AEROSTAR,EMPRISE BELL ELTON,GIBBON,A RONNYBROOK PRELUDE ET,CAROL PRELUDE MTOTO ET,MAUGHLIN STORM,BRAEDALE GOLDWYN,OSDEL-ENDEAVOR BOVA CUBBY,CARENDA FABULON-ET,ENSENADA TABOO PLANET ET,JOCKO BESN,HANOVERHILL STARBUCK,A MARK CJ GILBROOK GRAND ET,END-ROAD BLACKSTAR MAJIC-ET,HILL VALLEY BASAR ACME,BASAR,MJR BLACKSTAR EMORY-ET,ELITE MOUNTAIN DONOR IMP (E_T),BIS-MAY S-E-L MOUNTAIN ET,ELITE GOLD BULLION-IMP-ET,BELT,NORRIELAKE CLEITUS LUKE TWIN,MANNA FARM DEL SANTO,CARLIN-M IVANHOE BELL,AG-HIGH SIGHTS BS INGOT-ET,DIXIE-LEE AARON -ET,LONG-LANGS OMAN OMAN,MARA-THON BW MARSHALL,BUSHLEA WAVES FABULON,FUSTEAD EMORY BLITZ,MAIZEFIELD BELLWOOD - (E_T_),ETAZON CELSIUS,HOW-EL-ACRES K BELLMAN ET,KED JUROR ET,ADLEJAMA DELSANTO PICOLA,ATHOL M K VULCAN,BIS-MAY TRADITION CLEITUS,D LIMBO,EMERALD-ACRES-SA TONIC ET,ETAZON JIMTOWN,FULLERTONS WARD,HANOVER HILL INSPIRATION,HIBI SECRET SKELTON,KAPAWAI JIMTOWN POSH,LANCELOT,LLOYDS EXCELLENCY,LUKAS-ET,MCMILLANS TROPHY
Column Order,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
MANNA FARM DEL SANTO - DELSANTO,1,0,0,0,0,0.5,0,0,0,0,0,0.521021021,0,0,0.277777778,0,0,0.563063063,0.552552553,0,0,0,0,0.343843844,0,0.295795796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TOPSPEED GOLDYN-ET - GOLDCREST,2,0,0,0.6996997,0,0,0,0,0.60960961,0.424924925,0,0,0,0,0,0.366366366,0,0,0,0,0.845345345,0.818318318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BUSHLEA PERFECTOR BOLD-ET - BUDDHA,3,0,0,0.6996997,0,0.5,0,0,0.60960961,0.424924925,0,0.521021021,0,0,0,0.366366366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KAARMONA CARLANA - CARLANA,4,0.555555556,0.542042042,0,0.340840841,0.5,0,0,0,0,0.153153153,0.521021021,0,0,0,0,0,0,0,0,0,0,0.24024024,0,0,0,0,0.118618619,0,0,0,0.159159159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADLEJAMA DELSANTO PICOLA - PICOLA,5,0,0,0,0,0.5,0,0,0,0,0,0.521021021,0.171171171,0,0,0,0.084084084,0.563063063,0.552552553,0,0,0,0,0.343843844,0,0.295795796,0,0,0,0,0,0,0,0,0,0,0,0.055555556,0,0,0,0,0,0,0,0,0,0,0,0,0
KAARMONA CARLUSH-ET - CARLUSH,6,0,0,0,0,1,0,0,0,0,0,0.521021021,0,0.427927928,0,0,0,0,0,0,0,0,0.24024024,0,0,0,0,0.118618619,0,0,0,0.159159159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PETHERTON DENSITY - 0200HO02700,7,0.555555556,0.542042042,0,0.340840841,0,0,0,0.60960961,0.424924925,0.153153153,0,0,0,0,0.366366366,0,0,0,0,0,0,0,0,0.075075075,0,0,0,0.036036036,0.036036036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GEN-I-BEQ LAVAMAN - 0200HO06267,8,0.555555556,0.542042042,0,0.340840841,0,0,0,0.60960961,0.424924925,0.153153153,0,0,0,0,0.366366366,0,0,0,0,0,0,0,0,0.075075075,0,0,0,0.036036036,0.036036036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WINTERSELL MILO - CBWINTERSELL,9,0.555555556,0.542042042,0,0.340840841,0,0,0,0.60960961,0.424924925,0.153153153,0,0,0,0,0.366366366,0,0,0,0,0,0,0,0,0,0,0.144144144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE-SU ALTAMELHOR - 011HO11077,10,0.555555556,0.542042042,0.34984985,0.340840841,0,0.21021021,0.201201201,0,0.424924925,0.153153153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ROYLANE BOXER PUNCH 4311-ET - 7HO11207,11,0.555555556,0.542042042,0.34984985,0.340840841,0,0.21021021,0.201201201,0,0.424924925,0.153153153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EMU BANKS CHRISTMAS-ET - CHRISTMAS,12,0,0,0,0,0.5,0,0,0,0,0,0,0,0.427927928,0.277777778,0,0,0,0,0,0,0,0.24024024,0,0,0,0,0.118618619,0,0,0,0,0,0,0,0.112612613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VH MOGENS - VIKVHMOGENS,13,0.555555556,0.542042042,0.34984985,0.340840841,0,0.21021021,0.201201201,0,0,0.153153153,0,0,0,0.277777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JET STAR MANOMAN TRICKIN - TRICKIN,14,0.555555556,0.542042042,0,0.340840841,0.5,0,0,0,0,0.153153153,0,0,0.427927928,0,0,0,0,0,0,0,0,0,0,0.075075075,0,0,0,0.036036036,0.036036036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HINDLEE MOM  R DALLAS 11910 - JAYR,15,0.555555556,0.542042042,0,0.340840841,0.5,0,0,0,0,0.153153153,0,0,0.427927928,0,0,0,0,0,0,0,0,0,0,0.075075075,0,0,0,0.036036036,0.036036036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MR APPLES ARMANI - 7H11703,16,0,0,0.6996997,0,0,0,0,0.60960961,0.424924925,0,0,0,0,0,0.366366366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RENGAW MANOMAN HUMMER-ET - GEEMCEE,17,0.555555556,0.542042042,0.34984985,0.340840841,0,0.21021021,0.201201201,0,0,0.153153153,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075075075,0,0,0,0.036036036,0.036036036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RENGAW MANOMAN WRANGLER-ET - WRANGLER,18,0.555555556,0.542042042,0.34984985,0.340840841,0,0.21021021,0.201201201,0,0,0.153153153,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075075075,0,0,0,0.036036036,0.036036036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMIGHETTI NUMERO UNO - 0200HO07450,19,0.555555556,0.542042042,0.34984985,0.340840841,0,0.21021021,0.201201201,0,0,0.153153153,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075075075,0,0,0,0.036036036,0.036036036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GALLRAE TENNYSON YJ - YJ,20,0.555555556,0.542042042,0,0.340840841,0,0.21021021,0.201201201,0,0,0.153153153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.159159159,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-HIDDENHILLS PLAN 1023 - 7HO10690,21,0.555555556,0.542042042,0,0.340840841,0,0,0,0,0,0.153153153,0,0.171171171,0,0,0,0.084084084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DELTA ALONSO - CRVALONSO,22,0.555555556,0.542042042,0.6996997,0,0,0.21021021,0.201201201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COGENT TWIST - COGENTTWIST,23,0,0,0.34984985,0,0,0.21021021,0.201201201,0,0,0,0,0,0,0.555555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.249249249,0.112612613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DYMENTHOLM S SYMPATICO - 0200HO02828,24,0.555555556,0.542042042,0,0.340840841,0,0,0,0,0,0.153153153,0,0.171171171,0,0,0,0.084084084,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108108108,0,0,0.084084084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DELTA TITANIUM - CRVTITANIUM,25,0.555555556,0.542042042,0.34984985,0.340840841,0,0,0,0,0,0.153153153,0,0,0,0.277777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAINSTREAM MANIFOLD - HOMANIFOLD,26,0.555555556,0.542042042,0,0.681681682,0,0,0,0,0,0.153153153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.144144144,0,0,0,0.108108108,0,0,0.084084084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RENGAW JARDIN JANEK - JANEK,27,0,0,0.34984985,0,0,0.21021021,0.201201201,0,0,0,0,0,0.427927928,0.277777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAIRE MINT FIRE-UP - NZGFIREUP,28,0.555555556,0.542042042,0,0.340840841,0,0,0,0,0,0.153153153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CO-OP ROBUST CABRIOLET-ET - CABRIOLET,29,0.555555556,0.542042042,0,0,0,0.21021021,0,0,0,0,0,0.171171171,0,0,0,0.084084084,0,0,0.201201201,0,0,0,0,0,0,0,0,0,0,0,0,0.057057057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EVEN-PAR ZUMA - 29HO16607,30,0.555555556,0.542042042,0,0,0,0.21021021,0,0,0,0,0,0.171171171,0,0,0,0.084084084,0,0,0.201201201,0,0,0,0,0,0,0,0,0,0,0,0,0.057057057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEAGULL-BAY SUPERSIRE - 7H11351,31,0.555555556,0.542042042,0,0,0,0.21021021,0,0,0,0,0,0.171171171,0,0,0,0.084084084,0,0,0.201201201,0,0,0,0,0,0,0,0,0,0,0,0,0.057057057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE-SU DISTINCTION 11130 - 7HO11775,32,0.555555556,0.542042042,0,0,0,0,0.201201201,0,0,0,0,0.171171171,0,0,0,0.084084084,0,0,0,0,0,0,0,0,0,0,0,0.036036036,0.036036036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE-SU RANSOM - ET - DESURANSOM,33,0.555555556,0.542042042,0.34984985,0,0,0.21021021,0,0,0,0,0,0,0,0,0,0,0,0,0.201201201,0,0,0,0,0,0,0,0,0,0,0,0,0.057057057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CO-OP ROBUST JITTERBUG-ET - CRJITTERBUG,34,0.555555556,0.542042042,0.34984985,0,0,0.21021021,0,0,0,0,0,0,0,0,0,0,0,0,0.201201201,0,0,0,0,0,0,0,0,0,0,0,0,0.057057057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HILL VALLEY NIELS - NIELS,35,0,0,0.34984985,0,0,0.21021021,0.201201201,0,0,0,0,0.171171171,0,0,0,0.084084084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LADYS-MANOR PL SHAMROCK - 7HO10849,36,0,0,0.34984985,0,0,0.21021021,0.201201201,0,0,0,0,0.171171171,0,0,0,0.084084084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VH MIRACLE - VIKVHMIRACLE,37,0,0,0,0,0.5,0.21021021,0.201201201,0,0,0,0,0,0.427927928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S-S-I SHAMROCK MYSTIC - 7HO11395,38,0,0,0.34984985,0,0,0.21021021,0.402402402,0,0,0,0,0.171171171,0,0,0,0.084084084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DELTA G-FORCE - CRVGFORCE,39,0.555555556,0.542042042,0,0.340840841,0,0,0,0,0,0.153153153,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075075075,0,0,0,0.036036036,0.036036036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VH OYVIND - VIKHOYVIND,40,0.555555556,0.542042042,0,0.340840841,0,0,0,0,0,0.153153153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.144144144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CO-OP BOSSIDE MASSEY - ET - CRMASSEY,41,0,0,0.34984985,0,0,0.21021021,0.201201201,0,0,0,0,0,0,0.277777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHEEKNOLL ALTAVITTEK - 011HO10909,42,0,0,0,0,0,0.21021021,0.201201201,0,0,0,0,0.171171171,0,0,0,0.084084084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSENADA TABOO PLANET ET - 7H8081,43,0,0,0,0,0,0,0,0,0,0,0,0.171171171,0,0,0,0.084084084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CLEAR-ECHO TABLE 757 - 7HO11730,44,0,0,0,0,0,0,0.201201201,0,0,0,0,0.171171171,0,0,0,0.084084084,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108108108,0,0,0.084084084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOURNE GROVE HOTHOUSE S2F - NZGHOTHOUSE,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ROYLANE BOOKEM BOB 5170-ET - 7HO11752,46,0,0,0,0,0,0,0,0,0,0,0,0.171171171,0,0,0,0.084084084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE-SU 11236 BALISTO-ET - 29HO16714,47,0,0,0,0,0,0,0,0,0,0,0,0.171171171,0,0,0,0.084084084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D LIMBO - VIKLIMBO,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAGSWORTH SH KEEPSAKE S2F - NZGKEEPSAKE,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VAN HEUVENS VA REMEDY S1F - NZGREMEDEE,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
