column,Row Order,O-BEE MANFRED JUSTICE,BRAEDALE GOLDWYN,ENSENADA TABOO PLANET ET,HA-HO CUBBY MANFRED-ET,MANNA FARM DEL SANTO,JOCKO BESN,CAROL PRELUDE MTOTO ET,HILL VALLEY BASAR ACME,CARENDA FABULON-ET,LONG-LANGS OMAN OMAN,EMPRISE BELL ELTON,BUSHLEA WAVES FABULON,A RONNYBROOK PRELUDE ET,MADAWASKA AEROSTAR,GIBBON,MAUGHLIN STORM,ELITE MOUNTAIN DONOR IMP (E_T),OSDEL-ENDEAVOR BOVA CUBBY,ADLEJAMA DELSANTO PICOLA,BASAR,END-ROAD BLACKSTAR MAJIC-ET,ELITE GOLD BULLION-IMP-ET,HANOVERHILL STARBUCK,A MARK CJ GILBROOK GRAND ET,MJR BLACKSTAR EMORY-ET,BIS-MAY S-E-L MOUNTAIN ET,MARA-THON BW MARSHALL,NORRIELAKE CLEITUS LUKE TWIN,DIXIE-LEE AARON -ET,BELT,FUSTEAD EMORY BLITZ,KED JUROR ET,ETAZON CELSIUS,AG-HIGH SIGHTS BS INGOT-ET,MAIZEFIELD BELLWOOD - (E_T_),CARLIN-M IVANHOE BELL,HOW-EL-ACRES K BELLMAN ET,ATHOL M K VULCAN,BIS-MAY TRADITION CLEITUS,D LIMBO,EMERALD-ACRES-SA TONIC ET,ETAZON JIMTOWN,FULLERTONS WARD,HANOVER HILL INSPIRATION,HIBI SECRET SKELTON,KAPAWAI JIMTOWN POSH,LANCELOT,LLOYDS EXCELLENCY,LUKAS-ET,MCMILLANS TROPHY
Column Order,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
ADLEJAMA DELSANTO PICOLA - PICOLA,1,0,0,0.202746365,0,0.993537964,0,0,0.467184931,0.180229764,0,0,0,0,0,0.050684795,0,0,0,0.252019386,0.116618649,0.011207341,0,0,0,0,0,0,0,0,0.025644769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MANNA FARM DEL SANTO - DELSANTO,2,0,0,0,0,1,0,0,0.472031457,0.181441396,0,0,0,0,0,0.050987709,0,0,0,0,0.117830281,0,0,0.024231548,0,0,0,0,0,0,0.025947683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE-SU ALTAMELHOR - 011HO11077,3,0.325221971,0.44184168,0,0.083499942,0,0,0.067548149,0,0,0,0.03907399,0,0.030290171,0.033318565,0,0,0,0.01433706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ROYLANE BOXER PUNCH 4311-ET - 7HO11207,4,0.325221971,0.44184168,0,0.083499942,0,0,0.067548149,0,0,0,0.03907399,0,0.030290171,0.033318565,0,0,0,0.01433706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PETHERTON DENSITY - 0200HO02700,5,0.325221971,0.443053312,0,0.083499942,0,0,0,0,0,0.093699515,0.03907399,0,0,0,0,0.068354145,0,0.01433706,0,0,0,0,0,0.026856297,0,0,0,0.00757242,0.005856129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GEN-I-BEQ LAVAMAN - 0200HO06267,6,0.325221971,0.443053312,0,0.083499942,0,0,0,0,0,0.093699515,0.03907399,0,0,0,0,0.068354145,0,0.01433706,0,0,0,0,0,0.026856297,0,0,0,0.00757242,0.005856129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KAARMONA CARLANA - CARLANA,7,0.325221971,0,0,0.083499942,0,0,0,0,0.181441396,0,0.03907399,0.348546042,0,0,0.050987709,0,0,0.01433706,0,0,0,0.05623938,0,0,0,0,0,0,0,0,0,0,0,0.012014914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TOPSPEED GOLDYN-ET - GOLDCREST,8,0,0.447899838,0,0,0,0,0,0,0,0,0,0,0,0.033419528,0,0.06865706,0.334712375,0,0,0,0,0,0,0.027159212,0,0.098139451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KAARMONA CARLUSH-ET - CARLUSH,9,0,0,0,0,0,0.266659489,0,0,0.181441396,0,0,0.348546042,0,0,0.051088672,0,0,0,0,0,0,0.05623938,0,0,0,0,0,0,0,0,0,0,0,0.012014914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
