column,Row Order,O-BEE MANFRED JUSTICE,HA-HO CUBBY MANFRED-ET,JOCKO BESN,ENSENADA TABOO PLANET ET,ROSE-BAUM TABOO,PICSTON SHOTTLE,BRAEDALE GOLDWYN,MAUGHLIN STORM,LONG-LANGS OMAN OMAN,SHOREMAR JAMES,CAROL PRELUDE MTOTO ET,DIXIE-LEE AARON -ET,ROUMARE,Q250 BESNE BUCK,EMPRISE BELL ELTON,GIBBON,TO-MAR BLACKSTAR ET,MADAWASKA AEROSTAR,OUT-JOCK CHOICE AMEL,HILL VALLEY BASAR ACME,BASAR,A MARK CJ GILBROOK GRAND ET,SHOREMAR PERFECT STAR (ET),END-ROAD BLACKSTAR MAJIC-ET,OSDEL-ENDEAVOR BOVA CUBBY,STARTMORE RUDOLPH,A RONNYBROOK PRELUDE ET,MARA-THON BW MARSHALL,FUSTEAD EMORY BLITZ,ETAZON ADDISON,ELITE GOLD BULLION-IMP-ET,EMERALD-ACRES-SA TONIC ET,JARDIN,AG-HIGH SIGHTS BS INGOT-ET,CARENDA FABULON-ET,END-ROAD PVF BOLIVER,REGANCREST ELTON DURHAM,HOW-EL-ACRES K BELLMAN ET,JENNY-LOU MRSHL TOYSTORY,SANDY-VALLEY BOLTON,BADGER-BLUFF FANNY FREDDIE,ROYLANE SOCRA ROBUST,VELVET-VIEW-KJ SOCRATES,FATAL,CHARLESDALE SUPERSTITION,BELT,BARBEE-M JUROR ITO,NORRIELAKE CLEITUS LUKE TWIN,REGANCREST ALTAIOTA,DE-SU OBSERVER
Column Order,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
WARRAMONT NUMBERONE DUDE - ASHMARK,1,0.5,0.404458599,0.535031847,0,0,0.197452229,0,0,0.200636943,0,0.248407643,0.222929936,0.343949045,0.207006369,0,0.105095541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EMU BANKS JENGOLD - JENGOLD,2,1,0.808917197,0,0,0,0,0.136942675,0.28343949,0.200636943,0.105095541,0,0.222929936,0,0,0,0,0,0,0,0,0,0.047770701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COUNTRY ROAD ROYALMAN 4198-ET - PROVINCE,3,0.5,0.404458599,0.535031847,0,0,0,0.136942675,0.28343949,0,0.105095541,0,0,0.343949045,0.207006369,0,0.105095541,0,0,0,0,0,0.047770701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BUNDALONG LIQUIDGOLD WARRIOR - GOLDWARRIOR,4,1,0.404458599,0,0.098726115,0.098726115,0.197452229,0,0,0.200636943,0,0,0,0,0,0.191082803,0,0,0,0,0,0,0,0,0,0.063694268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RENGAW SS JAMPOT-ET - JAMPOT,5,1,0.404458599,0,0.098726115,0.098726115,0,0,0,0.200636943,0,0,0.222929936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041401274,0,0,0,0,0,0,0,0,0,0,0,0,0.00955414,0.00955414,0,0,0,0,0,0,0
GENERVATIONS LIQUID GOLD - GVLIQUIDGOLD,6,0.5,0.404458599,0,0.098726115,0.098726115,0.197452229,0,0,0.200636943,0,0.248407643,0.222929936,0,0,0,0,0,0,0.073248408,0,0,0,0,0.038216561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HINDLEE GOLDWYN OMANROYAL 121003 - ROYALMAN,7,0.5,0.404458599,0,0,0,0,0.136942675,0.28343949,0,0.105095541,0,0,0,0,0.191082803,0,0,0.343949045,0,0,0,0.047770701,0,0,0.063694268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE-SU 11756 OCTAVIAN-ET - 29HO17509,8,0.5,0.404458599,0,0.098726115,0.098726115,0.197452229,0,0,0.200636943,0,0.248407643,0.222929936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALEXERIN SNEAK PEEK - 0250HO01135,9,1,0.404458599,0,0.098726115,0.098726115,0,0,0,0,0,0,0,0,0,0.191082803,0,0,0,0,0,0,0,0,0,0.063694268,0,0,0,0.041401274,0,0,0,0,0,0,0,0,0,0,0,0,0.00955414,0.00955414,0,0,0,0,0,0,0
