column,Row Order,O-BEE MANFRED JUSTICE,LONG-LANGS OMAN OMAN,ENSENADA TABOO PLANET ET,PICSTON SHOTTLE,BRAEDALE GOLDWYN,ROUMARE,JOCKO BESN,HA-HO CUBBY MANFRED-ET,ROSE-BAUM TABOO,JARDIN,MAUGHLIN STORM,CAROL PRELUDE MTOTO ET,SHOREMAR JAMES,ELITE GOLD BULLION-IMP-ET,DIXIE-LEE AARON -ET,Q250 BESNE BUCK,HILL VALLEY BASAR ACME,EMPRISE BELL ELTON,BASAR,SHOREMAR PERFECT STAR (ET),ROYLANE SOCRA ROBUST,OUT-JOCK CHOICE AMEL,END-ROAD PVF BOLIVER,BADGER-BLUFF FANNY FREDDIE,TO-MAR BLACKSTAR ET,CHARLESDALE SUPERSTITION,STARTMORE RUDOLPH,GIBBON,A MARK CJ GILBROOK GRAND ET,MADAWASKA AEROSTAR,AG-HIGH SIGHTS BS INGOT-ET,REGANCREST ELTON DURHAM,CARENDA FABULON-ET,OSDEL-ENDEAVOR BOVA CUBBY,END-ROAD BLACKSTAR MAJIC-ET,JENNY-LOU MRSHL TOYSTORY,REGANCREST ALTAIOTA,ETAZON ADDISON,DE-SU OBSERVER,MARA-THON BW MARSHALL,A RONNYBROOK PRELUDE ET,EMERALD-ACRES-SA TONIC ET,VELVET-VIEW-KJ SOCRATES,SANDY-VALLEY BOLTON,FUSTEAD EMORY BLITZ,HOW-EL-ACRES K BELLMAN ET,BARBEE-M JUROR ITO,FATAL,BELT,NORRIELAKE CLEITUS LUKE TWIN
Column Order,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
WARRAMONT NUMBERONE DUDE - ASHMARK,1,0.626022295,0.950819672,0,0.494876852,0,0.82172118,0.474378492,0.152656,0,0,0,0.142414164,0,0,0.094258098,0.092209311,0,0,0,0,0,0,0,0,0,0,0,0.034833836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GENERVATIONS LIQUID GOLD - GVLIQUIDGOLD,2,0.626022295,0.950819672,0.290983607,0.494876852,0,0,0,0.152656,0.072744656,0,0,0.142414164,0,0,0.094258098,0,0,0,0,0,0,0.033810098,0,0,0,0,0,0,0,0,0,0,0,0,0.01331882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE-SU 11756 OCTAVIAN-ET - 29HO17509,3,0.626022295,0.950819672,0.278688525,0.494876852,0,0,0,0.152656,0.06967082,0,0,0.142414164,0,0,0.094258098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BUNDALONG LIQUIDGOLD WARRIOR - GOLDWARRIOR,4,0.639341902,0.93852459,0.278688525,0.491803016,0,0,0,0.155729836,0.06967082,0,0,0,0,0,0,0,0,0.084012852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.030736525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COUNTRY ROAD ROYALMAN 4198-ET - PROVINCE,5,0.626022295,0,0,0,0.211064918,0.82172118,0.474378492,0.152656,0,0,0.147536262,0,0.050203016,0,0,0.092209311,0,0,0,0,0,0,0,0,0,0,0,0.034833836,0.025613902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RENGAW MOM JUSTLE - JUSTLE,6,0.638317377,1,0.290983607,0,0,0,0,0.155729836,0.072744656,0,0,0,0,0,0.097331934,0,0,0.084012852,0,0,0,0.033810098,0,0,0,0,0,0,0,0,0,0,0,0.030736525,0.01331882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008196197
DUPASQUIER PRIZIM - CBPRIZIM,7,0.622948459,0.93852459,0.278688525,0.491803016,0,0,0,0,0.06967082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017417967,0,0,0,0,0,0
DE-SU 12659 TACTIC - 29HO17919,8,0.622948459,0.93852459,0.275614689,0.491803016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036885246,0,0,0,0,0.017417967,0,0,0,0,0,0
RENGAW SS JAMPOT-ET - JAMPOT,9,0.62704682,0.950819672,0.278688525,0,0,0,0,0.152656,0.06967082,0,0,0,0,0,0.094258098,0,0,0,0,0,0.06557377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016393443,0,0.014343344,0,0,0,0,0
