column,Row Order,CARENDA FABULON-ET,BASAR,HILL VALLEY BASAR ACME,GIBBON,JOCKO BESN,SHOREMAR PERFECT STAR (ET),Q250 BESNE BUCK,FATAL,A RONNYBROOK PRELUDE ET,MAUGHLIN STORM,BELT,ROUMARE,MANNA FARM DEL SANTO,SKALSUMER SUNNY BOY,A MARK CJ GILBROOK GRAND ET,MARA-THON BW MARSHALL,WALKWAY CHIEF MARK,BRAEDALE GOLDWYN,MADAWASKA AEROSTAR,SHOREMAR JAMES,JENNY-LOU MRSHL TOYSTORY,JARDIN,EMERALD-ACRES-SA TONIC ET,NEHLS CHIEF CRUSADER,SIR C VALOR,AMIGHETTI NUMERO UNO,BADGER-BLUFF FANNY FREDDIE,CAROL PRELUDE MTOTO ET,CHARLESDALE SUPERSTITION,COYNE-FARMS DORCY,DIXIE-LEE AARON -ET,EMERALD-ACR-SA T-BAXTER,END-ROAD BEACON,END-ROAD PVF BOLIVER,ENSENADA TABOO PLANET ET,FLEVO GENETICS SNOWMAN,FUSTEAD EMORY BLITZ,HA-HO CUBBY MANFRED-ET,LARS-ACRES SHOT TRIGGER,LONG-LANGS OMAN OMAN,O-BEE MANFRED JUSTICE,OSDEL-ENDEAVOR BOVA CUBBY,PICSTON SHOTTLE,RAMOS,REGANCREST RBK DIE-HARD,RIDGE-STAR JAMMER,ROSE-BAUM TABOO,SANDY-VALLEY BOLTON,STARTMORE RUDOLPH,VA-EARLY-DAWN SUDAN CRI-ET
Column Order,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
MANNA FARM DELANO - DELANO,1,0.5,0.464912281,0.456140351,1,0.228070175,0.552631579,0.149122807,0,0,0,0.280701754,0.114035088,0.035087719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADLEJAMA DELSANTO PICOLA - PICOLA,2,0.5,0.464912281,0.456140351,0.5,0,0.552631579,0,0,0,0,0.280701754,0,0.035087719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HINDLEE PICOLA ROYALROUMARE 1414-ET - ROYALPIC,3,0.5,0.464912281,0.456140351,0.5,0.228070175,0,0.149122807,0,0,0,0,0.114035088,0.035087719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CARENDA REACTOR 352 - REACTOR,4,0.5,0.464912281,0.456140351,0,0.228070175,0,0.149122807,0,0,0,0,0,0.035087719,0,0,0,0,0,0,0,0,0.035087719,0.01754386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CARENDA VERMOUTH 394 - VERMOUTH,5,0.5,0.464912281,0.456140351,0,0.228070175,0,0.149122807,0,0,0,0,0,0.035087719,0,0,0,0,0,0,0,0,0.035087719,0.01754386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CARENDA VALIUM 354 - VALIUM,6,0.5,0.464912281,0.456140351,0,0,0,0,0,0,0.087719298,0,0,0.035087719,0,0.035087719,0,0,0.00877193,0,0.00877193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADLEJAMA PICOLA FAROUK - LJCOOL,7,0.5,0.464912281,0.456140351,0,0,0,0,0,0,0,0,0,0.035087719,0,0,0,0,0.00877193,0,0.00877193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HINDLEE PICOLA GOLDCHIPDREAM 1418-ET - MICROCHIP,8,0.5,0.464912281,0.456140351,0,0,0,0,0,0,0,0,0,0.035087719,0,0,0,0,0.00877193,0,0.00877193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CARENDA PERTINENT - PERTINENT,9,0.5,0.464912281,0.456140351,0,0,0,0,0,0,0,0,0,0.035087719,0,0,0,0,0.00877193,0,0.00877193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CARENDA VIZABULL 375 - VIZABULL,10,0.5,0.464912281,0.456140351,0,0,0,0,0,0,0,0,0,0.035087719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DELTA CUPIDO - CRVCUPIDO,11,0,0,0,0,0.228070175,0,0.149122807,0.719298246,0.228070175,0,0,0,0,0,0,0,0,0.00877193,0.026315789,0.00877193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COUNTRY ROAD ROYALMAN 4198-ET - PROVINCE,12,0,0,0,0.5,0.228070175,0,0.149122807,0,0,0.087719298,0,0.114035088,0,0,0.035087719,0,0,0.00877193,0,0.00877193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WARRAMONT NUMBERONE DUDE - ASHMARK,13,0,0,0,0.5,0.228070175,0,0.149122807,0,0,0,0,0.114035088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RENGAW CROWN JAKOVICH - JAKOVICH,14,0,0,0,0,0,0,0,0,0,0.087719298,0,0,0,0.289473684,0.035087719,0,0,0.00877193,0,0.00877193,0,0,0,0.026315789,0.026315789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HINDLEE GOLDWYN OMANROYAL 121003 - ROYALMAN,15,0,0,0,0,0,0,0,0,0,0.087719298,0,0,0,0,0.035087719,0,0.140350877,0.00877193,0.052631579,0.00877193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PURNIM MILLARD BIOGOLDMILL - GOLDMILL,16,0,0,0,0,0,0,0,0,0.228070175,0,0,0,0,0,0,0.052631579,0,0,0.026315789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE SU 11949 PENALTY - 29HO17732,17,0,0,0,0,0,0,0,0,0.228070175,0,0,0,0,0,0,0,0,0.00877193,0.026315789,0.00877193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GLOMAR SUPERLUCKY-ET - SUPERLUCKY,18,0,0,0,0,0,0,0,0,0,0.087719298,0,0,0,0,0.035087719,0,0,0.00877193,0,0.00877193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEWHOUSE SKYFALL - CRVSKYFALL,19,0,0,0,0,0,0,0,0,0,0.087719298,0,0,0,0,0.035087719,0,0,0.00877193,0,0.00877193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EMU BANKS JENGOLD - JENGOLD,20,0,0,0,0,0,0,0,0,0,0.087719298,0,0,0,0,0.035087719,0,0,0.00877193,0,0.00877193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE-SU 11680 BRAUN-ET - 29HO16954,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.052631579,0,0,0,0,0.052631579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PINE-TREE-GF REMARK-P-ET - 29HO16999,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.052631579,0,0,0,0,0.052631579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOUW ROCKY - CRVBOUWROCKY,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.052631579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RENGAW PREDESTINE MANSHED - MANSHED,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00877193,0,0.00877193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MR AMERICA CHACAL - 29HO17762,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00877193,0,0.00877193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE SU 12128 TAILOR - 29HO17706,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00877193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TEEMAR ASTON-ET - 29HO18076,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRENTANO - GGIBRENTANO,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LARCREST CALUMET-ET - 29HO18101,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRABANTDALE DRAKE-ET - 29HO18093,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABS MACINTOSH-ET - 29HO17989,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BUNDALONG LIQUIDGOLD WARRIOR - GOLDWARRIOR,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
