column,Row Order,HILL VALLEY BASAR ACME,CARENDA FABULON-ET,BASAR,MANNA FARM DEL SANTO,ROUMARE,JOCKO BESN,GIBBON,BRAEDALE GOLDWYN,FATAL,SHOREMAR PERFECT STAR (ET),Q250 BESNE BUCK,MAUGHLIN STORM,JENNY-LOU MRSHL TOYSTORY,BELT,A RONNYBROOK PRELUDE ET,JARDIN,SHOREMAR JAMES,MARA-THON BW MARSHALL,SKALSUMER SUNNY BOY,A MARK CJ GILBROOK GRAND ET,WALKWAY CHIEF MARK,MADAWASKA AEROSTAR,EMERALD-ACRES-SA TONIC ET,NEHLS CHIEF CRUSADER,SIR C VALOR,AMIGHETTI NUMERO UNO,BADGER-BLUFF FANNY FREDDIE,CAROL PRELUDE MTOTO ET,CHARLESDALE SUPERSTITION,COYNE-FARMS DORCY,DIXIE-LEE AARON -ET,EMERALD-ACR-SA T-BAXTER,END-ROAD BEACON,END-ROAD PVF BOLIVER,ENSENADA TABOO PLANET ET,FLEVO GENETICS SNOWMAN,FUSTEAD EMORY BLITZ,HA-HO CUBBY MANFRED-ET,LARS-ACRES SHOT TRIGGER,LONG-LANGS OMAN OMAN,O-BEE MANFRED JUSTICE,OSDEL-ENDEAVOR BOVA CUBBY,PICSTON SHOTTLE,RAMOS,REGANCREST RBK DIE-HARD,RIDGE-STAR JAMMER,ROSE-BAUM TABOO,SANDY-VALLEY BOLTON,STARTMORE RUDOLPH,VA-EARLY-DAWN SUDAN CRI-ET
Column Order,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
MANNA FARM DELANO - DELANO,1,1,0.474248501,0.28004163,0.137339131,0.175965762,0.099784845,0.13089875,0,0,0.1942033,0.022531034,0,0,0.06437607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADLEJAMA DELSANTO PICOLA - PICOLA,2,1,0.474248501,0.28004163,0.137339131,0,0,0.129825857,0,0,0.1942033,0,0,0,0.06437607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HINDLEE PICOLA ROYALROUMARE 1414-ET - ROYALPIC,3,0.987124456,0.471029546,0.276822676,0.085836957,0.175965762,0.099784845,0.129825857,0,0,0,0.022531034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CARENDA REACTOR 352 - REACTOR,4,0.987124456,0.471029546,0.276822676,0.085836957,0,0.099784845,0,0,0,0,0.022531034,0,0,0,0,0.06008587,0,0,0,0,0,0,0.00321868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CARENDA VERMOUTH 394 - VERMOUTH,5,0.987124456,0.471029546,0.276822676,0.085836957,0,0.099784845,0,0,0,0,0.022531034,0,0,0,0,0.06008587,0,0,0,0,0,0,0.00321868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CARENDA VALIUM 354 - VALIUM,6,0.987124456,0.471029546,0.276822676,0.085836957,0,0,0,0.034334783,0,0,0,0.02145869,0,0,0,0,0.008583696,0,0,0.005364466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADLEJAMA PICOLA FAROUK - LJCOOL,7,0.987124456,0.471029546,0.276822676,0.085836957,0,0,0,0.021459239,0,0,0,0,0,0,0,0,0.005364741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CARENDA PERTINENT - PERTINENT,8,0.987124456,0.471029546,0.276822676,0.085836957,0,0,0,0.021459239,0,0,0,0,0,0,0,0,0.005364741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HINDLEE PICOLA GOLDCHIPDREAM 1418-ET - MICROCHIP,9,0.987124456,0.471029546,0.276822676,0.085836957,0,0,0,0.021459239,0,0,0,0,0,0,0,0,0.005364741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CARENDA VIZABULL 375 - VIZABULL,10,0.987124456,0.471029546,0.276822676,0.085836957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DELTA CUPIDO - CRVCUPIDO,11,0,0,0,0,0,0.099784845,0,0.021459239,0.404504669,0,0.022531034,0,0,0,0.041843937,0,0.005364741,0,0,0,0,0.004291573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
