column,Row Order,GIBBON,A RONNYBROOK PRELUDE ET,HANOVERHILL STARBUCK,BIS-MAY S-E-L MOUNTAIN ET,CARENDA FABULON-ET,CARLIN-M IVANHOE BELL,ELITE MOUNTAIN DONOR IMP (E_T),FATAL,JOCKO BESN,BIS-MAY TRADITION CLEITUS,LEKKER VALIANT ROYALTY,ELITE GOLD BULLION-IMP-ET,BASAR,HILL VALLEY BASAR ACME,MAUGHLIN STORM,AG-HIGH SIGHTS BS INGOT-ET,BELT,ETAZON KNOCK OUT,MADAWASKA AEROSTAR,HANOVER HILL INSPIRATION,ETAZON CELSIUS,A MARK CJ GILBROOK GRAND ET,CAL-CLARK BOARD CHAIRMAN,NORRIELAKE CLEITUS LUKE TWIN,HOW-EL-ACRES K BELLMAN ET,BUSHLEA WAVES FABULON,LYLEHAVEN AMBITION ET,MARA-THON BW MARSHALL,BRAEDALE GOLDWYN,MAIZEFIELD BELLWOOD - (E_T_),DELTA CLEITUS JABOT,JARDIN,MANNA FARM DEL SANTO,ETAZON ADDISON,BADGER-BLUFF FANNY FREDDIE,B-Y-U MANDEL BOMBAY,CAROL PRELUDE MTOTO ET,CHARLESDALE SUPERSTITION,DE-SU DISTINCTION 11130,DIXIE-LEE AARON -ET,EMERALD-ACR-SA T-BAXTER,END-ROAD BLACKSTAR MAJIC-ET,END-ROAD PVF BOLIVER,ENSENADA TABOO PLANET ET,GENERVATIONS EPIC,HA-HO CUBBY MANFRED-ET,HONEYCREST BOMBAY NIFTY,LADYS-MANOR PL SHAMROCK,LONG-LANGS OMAN OMAN,LUTZ-MEADOWS E MANDEL-ET
Column Order,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
MANNA FARM DEL SANTO - DELSANTO,1,0.298429319,0,0.204188482,0,0.298429319,0,0,0,0,0,0,0,0.277486911,0.272251309,0,0,0.167539267,0,0,0.230366492,0,0,0,0,0,0,0,0,0,0,0,0,0.020942408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ST. CLAIR SHOLTZ-TWIN - SHOLTZ,2,0,0.136125654,0.408376963,0.544502618,0,0,0.455497382,0,0,0,0.19895288,0,0,0,0,0,0,0,0.015706806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EMU BANKS CHRISTMAS-ET - CHRISTMAS,3,0.298429319,0,0.204188482,0,0,0,0,0,0.136125654,0,0,0.282722513,0,0,0,0.172774869,0,0,0,0,0,0,0,0,0.047120419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COUNTRY ROAD ROUMARE CANBEE - CANBEE,4,0.298429319,0,0.204188482,0,0,0,0,0,0.136125654,0,0,0,0.277486911,0.272251309,0,0,0.167539267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KAARMONA CARLANA - CARLANA,5,0.298429319,0,0,0,0.298429319,0,0,0,0,0,0,0.282722513,0,0,0,0.172774869,0,0,0,0,0,0,0,0,0,0.068062827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TOPSPEED GOLDYN-ET - GOLDCREST,6,0,0,0,0.544502618,0,0,0.455497382,0,0,0,0.19895288,0,0,0,0.052356021,0,0,0,0.031413613,0,0,0.020942408,0,0,0,0,0,0,0.005235602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BUSHLEA PERFECTOR BOLD-ET - BUDDHA,7,0.298429319,0,0,0,0.298429319,0,0,0,0,0,0,0,0,0,0.052356021,0,0,0,0.031413613,0,0,0.020942408,0,0,0,0,0,0,0.005235602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALJO TEL MAELSTROM - CRVMAELSTROM,8,0,0,0,0,0,0,0,0.429319372,0,0,0,0,0,0,0,0,0,0.167539267,0,0,0.104712042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HAZAEL DAUNTLESS FREEDOM - NZGHAZFREEDM,9,0,0,0,0,0,0,0,0.429319372,0,0.151832461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
