column,Row Order,HILL VALLEY BASAR ACME,CARENDA FABULON-ET,GIBBON,ELITE MOUNTAIN DONOR IMP (E_T),BIS-MAY S-E-L MOUNTAIN ET,FATAL,A RONNYBROOK PRELUDE ET,BUSHLEA WAVES FABULON,JOCKO BESN,BASAR,BRAEDALE GOLDWYN,ELITE GOLD BULLION-IMP-ET,HANOVERHILL STARBUCK,CARLIN-M IVANHOE BELL,ETAZON KNOCK OUT,MANNA FARM DEL SANTO,MAUGHLIN STORM,BIS-MAY TRADITION CLEITUS,LEKKER VALIANT ROYALTY,BELT,JARDIN,AG-HIGH SIGHTS BS INGOT-ET,MADAWASKA AEROSTAR,ETAZON CELSIUS,HANOVER HILL INSPIRATION,A MARK CJ GILBROOK GRAND ET,MARA-THON BW MARSHALL,CAL-CLARK BOARD CHAIRMAN,LYLEHAVEN AMBITION ET,NORRIELAKE CLEITUS LUKE TWIN,ETAZON ADDISON,HOW-EL-ACRES K BELLMAN ET,MAIZEFIELD BELLWOOD - (E_T_),DELTA CLEITUS JABOT,BADGER-BLUFF FANNY FREDDIE,B-Y-U MANDEL BOMBAY,CAROL PRELUDE MTOTO ET,CHARLESDALE SUPERSTITION,DE-SU DISTINCTION 11130,DIXIE-LEE AARON -ET,EMERALD-ACR-SA T-BAXTER,END-ROAD BLACKSTAR MAJIC-ET,END-ROAD PVF BOLIVER,ENSENADA TABOO PLANET ET,GENERVATIONS EPIC,HA-HO CUBBY MANFRED-ET,HONEYCREST BOMBAY NIFTY,LADYS-MANOR PL SHAMROCK,LONG-LANGS OMAN OMAN,LUTZ-MEADOWS E MANDEL-ET
Column Order,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
MANNA FARM DEL SANTO - DELSANTO,1,1,0.463264895,0.126528327,0,0,0,0,0,0,0.278570203,0,0,0.040813736,0,0,0.19591847,0,0,0,0.064284246,0,0,0,0,0.067344492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COUNTRY ROAD ROUMARE CANBEE - CANBEE,2,0.951020383,0,0.126528327,0,0,0,0,0,0.107142325,0.266325298,0,0,0.040813736,0,0,0,0,0,0,0.061222954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KAARMONA CARLANA - CARLANA,3,0,0.463264895,0.126528327,0,0,0,0,0.620408487,0,0,0,0.184692603,0,0,0,0,0,0,0,0,0,0.040814258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TOPSPEED GOLDYN-ET - GOLDCREST,4,0,0,0,0.429590167,0.275506038,0,0,0,0,0,0.081632696,0,0,0,0,0,0.023468943,0,0.052038558,0,0,0,0.005101717,0,0,0.008163008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ST. CLAIR SHOLTZ-TWIN - SHOLTZ,5,0,0,0,0.429590167,0.275506038,0,0.042855729,0,0,0,0,0,0.041834079,0,0,0,0,0,0.052038558,0,0,0,0.007142665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BUSHLEA PERFECTOR BOLD-ET - BUDDHA,6,0,0.463264895,0.126528327,0,0,0,0,0,0,0,0.081632696,0,0,0,0,0,0.023468943,0,0,0,0,0,0.005101717,0,0,0.008163008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EMU BANKS CHRISTMAS-ET - CHRISTMAS,7,0,0,0.126528327,0,0,0,0,0,0.107142325,0,0,0.196937507,0.040813736,0,0,0,0,0,0,0,0,0.043875549,0,0,0,0,0,0,0,0,0,0.010203434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALJO TEL MAELSTROM - CRVMAELSTROM,8,0,0,0,0,0,0.387753476,0,0,0,0,0,0,0,0,0.104080512,0,0,0,0,0,0,0,0,0.033672377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HAZAEL DAUNTLESS FREEDOM - NZGHAZFREEDM,9,0,0,0,0,0,0.384692185,0,0,0,0,0,0,0,0,0,0,0,0.04897805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDELWEISS - EDELWEISS,10,0,0,0.123467036,0,0,0,0,0,0.094897421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RENGAW JARDIN JANEK - JANEK,11,0,0,0,0,0,0,0.039794437,0,0.107142325,0,0,0,0.040813736,0,0,0,0,0.04897805,0,0,0.106122504,0,0.004081374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MANNA FARM MCCUTCHEN 2701-ET - ZOLTAN,12,0,0.447958699,0,0,0,0,0,0,0,0,0.020408174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VH MIRACLE - VIKVHMIRACLE,13,0,0,0.123467036,0,0,0,0.039794437,0,0.094897421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAIRE MINT FIRE-UP - NZGFIREUP,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104080512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INDIJKS BABYLON - 29HO12470,15,0,0,0,0,0.275506038,0,0,0,0,0,0,0,0,0.067344492,0,0,0,0,0.052038558,0,0,0,0,0,0,0,0,0,0,0,0.022448861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VH OYVIND - VIKHOYVIND,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.067344492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JET STAR MANOMAN TRICKIN - TRICKIN,17,0,0,0.123467036,0,0,0,0,0,0.094897421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004081374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COGENT TWIST - COGENTTWIST,18,0,0,0,0,0,0,0.042855729,0,0,0,0,0,0.041834079,0,0,0,0,0,0,0,0,0,0.007142665,0.036733668,0,0,0,0,0,0,0,0.010203434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOURNE GROVE HOTHOUSE S2F - NZGHOTHOUSE,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSENADA TABOO PLANET ET - 7H8081,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036732623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VH MOGENS - VIKVHMOGENS,21,0,0,0,0,0,0,0.042855729,0,0,0,0,0,0.040813736,0,0,0,0,0,0,0,0,0,0.004081374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HILL VALLEY NIELS - NIELS,22,0,0,0,0,0,0,0.039794437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004081374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHEEKNOLL ALTAVITTEK - 011HO10909,23,0,0,0,0,0,0,0.039794437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GALLRAE TENNYSON YJ - YJ,24,0,0,0,0,0,0,0.039794437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
