column,Row Order,HA-HO CUBBY MANFRED-ET,O-BEE MANFRED JUSTICE,EMPRISE BELL ELTON,OSDEL-ENDEAVOR BOVA CUBBY,TO-MAR BLACKSTAR ET,MADAWASKA AEROSTAR,A RONNYBROOK PRELUDE ET,CAROL PRELUDE MTOTO ET,HANOVERHILL STARBUCK,PICSTON SHOTTLE,SINGING-BROOK N-B MASCOT ET,OUT-JOCK CHOICE AMEL,MAUGHLIN STORM,STARTMORE RUDOLPH,BIS-MAY TRADITION CLEITUS,CARLIN-M IVANHOE BELL,KED JUROR ET,HOW-EL-ACRES K BELLMAN ET,MARA-THON BW MARSHALL,NORRIELAKE CLEITUS LUKE TWIN,ELITE GOLD BULLION-IMP-ET,AG-HIGH SIGHTS BS INGOT-ET,JOCKO BESN,BIS-MAY S-E-L MOUNTAIN ET,MAIZEFIELD BELLWOOD - (E_T_),TESK-HOLM VALIANT ROCKIE,SOUTHWIND BELL OF BAR-LEE,THE CHOICE OF MARK ADAM ET,WALKWAY CHIEF MARK,Q250 BESNE BUCK,ROCKALLI SON OF BOVA,RAMOS,CAL-CLARK BOARD CHAIRMAN,ETAZON CELSIUS,ELITE MOUNTAIN DONOR IMP (E_T),LYLEHAVEN AMBITION ET,LEKKER VALIANT ROYALTY,MJR BLACKSTAR EMORY-ET,END-ROAD PVF BOLIVER,MAINSTREAM MANIFOLD,WHITTIER-FARMS NED BOY,BRAEDALE GOLDWYN,SHOREMAR JAMES,A MARK CJ GILBROOK GRAND ET,FUSTEAD EMORY BLITZ,DIXIE-LEE AARON -ET,ENSENADA TABOO PLANET ET,ROSE-BAUM TABOO,BADGER-BLUFF FANNY FREDDIE,DELLKA JUROR GORDON - TW
Column Order,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
VH MOGENS - VIKVHMOGENS,1,0.625,0.438081395,0.5,0.509011628,0.682848837,0.326453488,0.334593023,0.181104651,0.240697674,0,0,0,0,0.187790698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GALLRAE TENNYSON YJ - YJ,2,0.625,0.438081395,0.5,0.509011628,0.682848837,0,0.334593023,0.181104651,0,0,0,0,0,0,0,0,0.435755814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029360465
MAINSTREAM MANIFOLD - HOMANIFOLD,3,0.625,0.438081395,1,0.509011628,0,0,0,0,0,0,0,0,0,0,0,0.143023256,0,0,0.196802326,0,0,0,0,0,0.170930233,0.075581395,0,0,0,0,0.06627907,0,0,0,0,0,0,0,0,0.120639535,0,0,0,0,0,0,0,0,0,0
RENGAW MANOMAN HUMMER-ET - GEEMCEE,4,0.625,0.438081395,0.5,0.509011628,0,0.326453488,0.334593023,0.181104651,0,0.124127907,0,0,0,0,0,0,0,0,0,0.056104651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010465116,0,0,0,0
RENGAW MANOMAN WRANGLER-ET - WRANGLER,5,0.625,0.438081395,0.5,0.509011628,0,0.326453488,0.334593023,0.181104651,0,0.124127907,0,0,0,0,0,0,0,0,0,0.056104651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010465116,0,0,0,0
AMIGHETTI NUMERO UNO - 0200HO07450,6,0.625,0.438081395,0.5,0.509011628,0,0.326453488,0.334593023,0.181104651,0,0.124127907,0,0,0,0,0,0,0,0,0,0.056104651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010465116,0,0,0,0
DE-SU ALTAMELHOR - 011HO11077,7,0.625,0.438081395,0.5,0.509011628,0,0.326453488,0.334593023,0.181104651,0,0.124127907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010174419,0.010174419,0,0,0,0,0,0,0
INDIJKS BABYLON - 29HO12470,8,0.625,0.438081395,1,0.509011628,0,0,0,0,0,0,0,0,0,0,0,0.143023256,0,0,0,0,0,0,0,0.119476744,0,0.075581395,0,0,0,0,0.06627907,0,0,0,0,0,0.04622093,0,0,0,0,0,0,0,0,0,0,0,0,0
DELTA TITANIUM - CRVTITANIUM,9,0.625,0.438081395,0.5,0.509011628,0,0.326453488,0,0,0.240697674,0,0,0,0,0.187790698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.077034884,0,0,0,0.069767442,0,0,0,0,0.039825581,0,0,0,0,0,0,0,0,0
