column,Row Order,BRAEDALE GOLDWYN,O-BEE MANFRED JUSTICE,ROUMARE,BUSHLEA PERFECTOR BOLD-ET,JOCKO BESN,HILL VALLEY BASAR ACME,CARENDA FABULON-ET,ELITE GOLD BULLION-IMP-ET,GIBBON,SHOREMAR JAMES,HA-HO CUBBY MANFRED-ET,ELITE MOUNTAIN DONOR IMP (E_T),MANNA FARM DEL SANTO,MAUGHLIN STORM,SINGING-BROOK N-B MASCOT ET,BUSHLEA WAVES FABULON,TO-MAR BLACKSTAR ET,COUNTRY ROAD ROUMARE CANBEE,Q250 BESNE BUCK,BASAR,BIS-MAY S-E-L MOUNTAIN ET,PICSTON SHOTTLE,AG-HIGH SIGHTS BS INGOT-ET,SOUTHWIND BELL OF BAR-LEE,JARDIN,ENSENADA TABOO PLANET ET,A MARK CJ GILBROOK GRAND ET,MADAWASKA AEROSTAR,SHOREMAR PERFECT STAR (ET),EMPRISE BELL ELTON,FATAL,ST_ CLAIR SHOLTZ-TWIN,ETAZON KNOCK OUT,HANOVERHILL STARBUCK,CAROL PRELUDE MTOTO ET,OSDEL-ENDEAVOR BOVA CUBBY,BELT,WALKWAY CHIEF MARK,BIS-MAY TRADITION CLEITUS,ROSE-BAUM TABOO,ETAZON CELSIUS,HOW-EL-ACRES K BELLMAN ET,LEKKER VALIANT ROYALTY,NORRIELAKE CLEITUS LUKE TWIN,A RONNYBROOK PRELUDE ET,UGELA BELL (PENN-SPRINGS MR C),EMERALD-ACRES-SA TONIC ET,CARLIN-M IVANHOE BELL,KED JUROR ET,WHITTIER-FARMS NED BOY
Column Order,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
COUNTRY ROAD ROUMARE CANBEE - CANBEE,1,0,0,0.504934105,0,0.319900842,0.761513158,0,0,0.139799368,0,0,0,0,0,0,0,0,0.5,0.078123789,0.201067895,0,0,0,0.052217263,0,0,0,0,0.106903789,0,0,0,0,0.015212842,0,0,0.045638632,0,0,0,0,0,0,0,0,0,0,0,0,0
MANNA FARM DEL SANTO - DELSANTO,2,0,0,0,0,0,0.78125,0.354029579,0,0.139799368,0,0,0,0.842105263,0,0.083876842,0,0.053040316,0,0,0.206002105,0,0,0,0.051806105,0,0,0,0,0.108137368,0,0,0,0,0.015212842,0,0,0.046872211,0,0,0,0,0,0,0,0,0,0,0,0,0
BUSHLEA PERFECTOR BOLD-ET - BUDDHA,3,0.412828947,0,0,1,0,0,0.354029579,0,0.139799368,0.103207158,0,0,0,0.086346526,0.083876842,0,0,0,0,0,0,0,0,0.051806105,0,0,0.026725368,0.014801684,0,0,0,0,0,0,0,0,0,0.015624316,0,0,0,0,0,0,0,0,0,0,0,0
KAARMONA CARLANA - CARLANA,4,0,0.129934211,0,0,0,0,0.354029579,0.644325158,0.139799368,0,0.032482737,0,0,0,0.083876842,0.611842105,0,0,0,0,0,0,0.159125684,0.051806105,0,0,0,0,0,0.010278947,0,0,0,0,0,0.004933895,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EMU BANKS CHRISTMAS-ET - CHRISTMAS,5,0,0,0.504934105,0,0.319900842,0,0,0.649259368,0.139799368,0,0,0,0,0,0,0,0.053040316,0,0.078123789,0,0,0,0.160359263,0.052217263,0,0,0,0,0,0,0,0,0,0.015212842,0,0,0,0,0,0,0,0.037004947,0,0,0,0,0,0,0,0
MANNA FARM MCCUTCHEN 2701-ET - ZOLTAN,6,0.388157895,0,0,0.953947368,0,0,0.347861789,0,0,0.097039368,0,0,0,0,0,0,0,0,0,0,0,0.024671053,0,0,0,0.004934211,0,0,0,0,0,0,0,0,0.006167684,0,0,0,0,0.001233474,0,0,0,0,0,0,0,0,0,0
TOPSPEED GOLDYN-ET - GOLDCREST,7,0.412828947,0,0,0,0,0,0,0,0,0.103207158,0,0.443666842,0,0.086346526,0.083876842,0,0,0,0,0,0.115950211,0,0,0,0,0,0.026725368,0.014801684,0,0,0,0,0,0,0,0,0,0.015624316,0,0,0,0,0.014390526,0,0,0,0,0,0,0
JET STAR MANOMAN TRICKIN - TRICKIN,8,0,0.129934211,0.485197263,0,0.314966632,0,0,0,0.138565789,0,0.032482737,0,0,0,0,0,0,0,0.076890211,0,0,0,0,0,0,0,0,0,0,0.010278947,0,0,0,0,0,0.004933895,0,0,0,0,0,0,0,0.004522737,0,0,0,0,0,0
EDELWEISS - EDELWEISS,9,0,0,0.485197263,0,0.314966632,0,0,0,0.138565789,0,0,0,0,0,0,0,0.053040316,0,0.076890211,0,0,0,0,0,0,0.029605263,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007401263,0,0,0,0,0,0,0,0,0,0
VH MIRACLE - VIKVHMIRACLE,10,0,0,0.485197263,0,0.314966632,0,0,0,0.138565789,0,0,0,0,0,0,0,0,0,0.076890211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007401263,0,0,0,0,0,0,0,0,0,0.001644632,0,0,0,0,0
ST. CLAIR SHOLTZ-TWIN - SHOLTZ,11,0,0,0,0,0,0,0,0,0,0,0,0.443666842,0,0,0.083876842,0,0.053040316,0,0,0,0.115950211,0.049342105,0,0,0,0,0,0.015624105,0,0,0,0.131578947,0,0.015624,0.012335474,0,0,0,0,0,0,0,0.014390526,0,0.002878211,0,0,0,0,0
ETAZON STEFANO - CRVESTEFANO,12,0.412828947,0.129934211,0,0,0,0,0,0,0,0.103207158,0.032482737,0,0,0.086346526,0,0,0,0,0,0,0,0,0,0,0,0,0.026725368,0.014801684,0,0.010278947,0,0,0,0,0,0.004933895,0,0.015624316,0,0,0,0,0,0,0,0,0,0,0,0
RENGAW JARDIN JANEK - JANEK,13,0,0,0,0,0.319900842,0,0,0,0,0,0,0,0,0,0,0,0,0,0.078123789,0,0,0.029605263,0,0.051806105,0.263157895,0,0,0.014390526,0,0,0,0,0,0.015212842,0.007401263,0,0,0,0.019324737,0,0,0,0,0,0.001644632,0,0.016446947,0,0,0
BALLYCAIRN OMAN PELLO - 29HO12772,14,0.393092105,0.149671053,0,0,0,0,0,0,0,0.098272947,0.037416947,0,0,0.085112947,0,0,0,0,0,0,0,0,0,0,0,0,0.025491789,0,0,0.011512526,0,0,0,0,0,0.006167474,0,0,0,0,0,0,0,0,0,0,0,0.004111579,0,0
PETHERTON DENSITY - 0200HO02700,15,0.393092105,0.129934211,0,0,0,0,0,0,0,0.098272947,0.032482737,0,0,0.085112947,0,0,0,0,0,0,0,0,0,0,0,0,0.025491789,0,0,0.010278947,0,0,0,0,0,0.004933895,0,0,0,0,0,0,0,0.004522737,0,0,0,0,0,0
