column,Row Order,BASAR,HILL VALLEY BASAR ACME,O-BEE MANFRED JUSTICE,CARENDA FABULON-ET,GIBBON,BRAEDALE GOLDWYN,SHOREMAR JAMES,MAUGHLIN STORM,HA-HO CUBBY MANFRED-ET,JOCKO BESN,Q250 BESNE BUCK,A MARK CJ GILBROOK GRAND ET,SHOREMAR PERFECT STAR (ET),MANNA FARM DEL SANTO,BELT,ROUMARE,MADAWASKA AEROSTAR,EMPRISE BELL ELTON,PICSTON SHOTTLE,FATAL,ENSENADA TABOO PLANET ET,ROSE-BAUM TABOO,OSDEL-ENDEAVOR BOVA CUBBY,EMERALD-ACRES-SA TONIC ET,JARDIN,CAROL PRELUDE MTOTO ET,WALKWAY CHIEF MARK,REGANCREST ELTON DURHAM,RALMA GOLD CROWN,PIROLO GOLDW_ WYMAN,A RONNYBROOK PRELUDE ET,SIR C VALOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Column Order,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
MANNA FARM DELANO - DELANO,1,0.429378531,0.406779661,0,0.336158192,1,0,0,0,0,0.279661017,0.228813559,0,0.502824859,0.084745763,0.302259887,0.144067797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADLEJAMA DELSANTO PICOLA - PICOLA,2,0.429378531,0.406779661,0,0.336158192,0.5,0,0,0,0,0,0,0,0.502824859,0.084745763,0.302259887,0,0,0,0,0,0.005649718,0.005649718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HINDLEE PICOLA ROYALROUMARE 1414-ET - ROYALPIC,3,0.429378531,0.406779661,0,0.336158192,0.5,0,0,0,0,0.279661017,0.228813559,0,0,0.084745763,0,0.144067797,0,0,0,0,0.005649718,0.005649718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COUNTRY ROAD ROYALMAN 4198-ET - PROVINCE,4,0,0,0.118644068,0,0.5,0.172316384,0.172316384,0.31920904,0.118644068,0.279661017,0.228813559,0.172316384,0,0,0,0.144067797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CARENDA VALIUM 354 - VALIUM,5,0.429378531,0.406779661,0,0.336158192,0,0.172316384,0.172316384,0.31920904,0,0,0,0.172316384,0,0.084745763,0,0,0,0,0,0,0.005649718,0.005649718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CARENDA REACTOR 352 - REACTOR,6,0.429378531,0.406779661,0,0.336158192,0,0,0,0,0,0.279661017,0.228813559,0,0,0.084745763,0,0,0,0,0,0,0.005649718,0.005649718,0,0.059322034,0.059322034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CARENDA VERMOUTH 394 - VERMOUTH,7,0.429378531,0.406779661,0,0.336158192,0,0,0,0,0,0.279661017,0.228813559,0,0,0.084745763,0,0,0,0,0,0,0.005649718,0.005649718,0,0.059322034,0.059322034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADLEJAMA PICOLA FAROUK - LJCOOL,8,0.429378531,0.406779661,0.118644068,0.336158192,0,0.172316384,0.172316384,0,0,0,0,0,0,0.084745763,0,0,0,0,0,0,0.005649718,0.005649718,0,0,0,0,0,0,0,0.028248588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HINDLEE PICOLA GOLDCHIPDREAM 1418-ET - MICROCHIP,9,0.429378531,0.406779661,0,0.336158192,0,0.172316384,0.172316384,0,0,0,0,0,0,0.084745763,0,0,0,0,0.014124294,0,0.005649718,0.005649718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CARENDA PERTINENT - PERTINENT,10,0.429378531,0.406779661,0,0.336158192,0,0.172316384,0.172316384,0,0,0,0,0,0,0.084745763,0,0,0,0,0,0,0.005649718,0.005649718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CARENDA VIZABULL 375 - VIZABULL,11,0.429378531,0.406779661,0.118644068,0.336158192,0,0,0,0,0.118644068,0,0,0,0,0.084745763,0,0,0,0.06779661,0,0,0.005649718,0.005649718,0.031073446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
