column,Row Order,MANNA FARM DEL SANTO,HILL VALLEY BASAR ACME,BRAEDALE GOLDWYN,CARENDA FABULON-ET,O-BEE MANFRED JUSTICE,JOCKO BESN,BASAR,ROUMARE,SHOREMAR JAMES,GIBBON,MAUGHLIN STORM,RALMA GOLD CROWN,Q250 BESNE BUCK,HA-HO CUBBY MANFRED-ET,PICSTON SHOTTLE,JARDIN,PIROLO GOLDW_ WYMAN,SHOREMAR PERFECT STAR (ET),ENSENADA TABOO PLANET ET,A MARK CJ GILBROOK GRAND ET,BELT,FATAL,MADAWASKA AEROSTAR,EMPRISE BELL ELTON,CAROL PRELUDE MTOTO ET,ROSE-BAUM TABOO,EMERALD-ACRES-SA TONIC ET,REGANCREST ELTON DURHAM,OSDEL-ENDEAVOR BOVA CUBBY,WALKWAY CHIEF MARK,A RONNYBROOK PRELUDE ET,SIR C VALOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Column Order,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
MANNA FARM DELANO - DELANO,1,1,0.933467742,0,0.427923355,0,0.386088129,0.246470323,0.594757935,0,0.170358839,0,0,0.094252516,0,0,0,0,0.131043355,0,0,0.055944129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HINDLEE PICOLA ROYALROUMARE 1414-ET - ROYALPIC,2,0.975806452,0.927419355,0,0.426411226,0,0.386088129,0.244958194,0.594757935,0,0.169854839,0,0,0.094252516,0,0,0,0,0,0.006048387,0,0,0,0,0,0,0.001512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADLEJAMA PICOLA FAROUK - LJCOOL,3,0.975806452,0.927419355,0.475806452,0.426411226,0.151713677,0,0.244958194,0,0.118951484,0,0,0,0,0,0,0,0.330645161,0,0.006048387,0,0,0,0,0,0,0.001512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CARENDA VERMOUTH 394 - VERMOUTH,4,0.975806452,0.927419355,0,0.426411226,0,0.386088129,0.244958194,0,0,0,0,0,0.094252516,0,0,0.298387097,0,0,0.006048387,0,0,0,0,0,0,0.001512,0.018648645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CARENDA REACTOR 352 - REACTOR,5,0.975806452,0.927419355,0,0.426411226,0,0.386088129,0.244958194,0,0,0,0,0,0.094252516,0,0,0.298387097,0,0,0.006048387,0,0,0,0,0,0,0.001512,0.018648645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CARENDA VALIUM 354 - VALIUM,6,0.975806452,0.927419355,0.481854839,0.426411226,0,0,0.244958194,0,0.120463613,0,0.104332,0,0,0,0,0,0,0,0.006048387,0.031248,0,0,0,0,0,0.001512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HINDLEE PICOLA GOLDCHIPDREAM 1418-ET - MICROCHIP,7,0.975806452,0.927419355,0.475806452,0.426411226,0,0,0.244958194,0,0.118951484,0,0,0,0,0,0.028729806,0,0,0,0.006048387,0,0,0,0,0,0,0.001512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CARENDA PERTINENT - PERTINENT,8,0.975806452,0.927419355,0.475806452,0.426411226,0,0,0.244958194,0,0.118951484,0,0,0,0,0,0,0,0,0,0.006048387,0,0,0,0,0,0,0.001512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADLEJAMA DELSANTO PICOLA - PICOLA,9,1,0.933467742,0,0.427923355,0,0,0.246470323,0,0,0.169854839,0,0,0,0,0,0,0,0.131043355,0.012096774,0,0.055944129,0,0,0,0,0.003024129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
