column,Row Order,SINGING-BROOK N-B MASCOT ET,GIBBON,O-BEE MANFRED JUSTICE,HA-HO CUBBY MANFRED-ET,TO-MAR BLACKSTAR ET,MAUGHLIN STORM,SOUTHWIND BELL OF BAR-LEE,BRAEDALE GOLDWYN,SHOREMAR JAMES,MADAWASKA AEROSTAR,JOCKO BESN,A MARK CJ GILBROOK GRAND ET,BIS-MAY S-E-L MOUNTAIN ET,EMPRISE BELL ELTON,Q250 BESNE BUCK,CARENDA FABULON-ET,ELITE MOUNTAIN DONOR IMP (E_T),HANOVERHILL STARBUCK,SHOREMAR PERFECT STAR (ET),ELITE GOLD BULLION-IMP-ET,AG-HIGH SIGHTS BS INGOT-ET,BASAR,HILL VALLEY BASAR ACME,ROUMARE,OSDEL-ENDEAVOR BOVA CUBBY,BELT,FATAL,WALKWAY CHIEF MARK,BIS-MAY TRADITION CLEITUS,HOW-EL-ACRES K BELLMAN ET,ETAZON CELSIUS,LEKKER VALIANT ROYALTY,ETAZON KNOCK OUT,BUSHLEA PERFECTOR BOLD-ET,CAROL PRELUDE MTOTO ET,NORRIELAKE CLEITUS LUKE TWIN,PICSTON SHOTTLE,A RONNYBROOK PRELUDE ET,UGELA BELL (PENN-SPRINGS MR C),CARLIN-M IVANHOE BELL,MANNA FARM DEL SANTO,BUSHLEA WAVES FABULON,ENSENADA TABOO PLANET ET,ROSE-BAUM TABOO,EMERALD-ACRES-SA TONIC ET,JARDIN,WHITTIER-FARMS NED BOY,COUNTRY ROAD ROUMARE CANBEE,KED JUROR ET,ST_ CLAIR SHOLTZ-TWIN
Column Order,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
MANNA FARM DEL SANTO - DELSANTO,1,0.777310924,0.743697479,0,0,0.424369748,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.151260504,0.74789916,0,0,0.638655462,0.605042017,0,0,0.449579832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12605042,0,0,0,0,0,0,0,0,0
COUNTRY ROAD ROUMARE CANBEE - CANBEE,2,0,0.743697479,0,0,0,0,1,0,0,0,0.415966387,0,0,0,0.340336134,0,0,0.151260504,0.74789916,0,0,0.638655462,0.605042017,0.214285714,0,0.449579832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.071428571,0,0
EMU BANKS CHRISTMAS-ET - CHRISTMAS,3,0,0.743697479,0,0,0.424369748,0,1,0,0,0,0.415966387,0,0,0,0.340336134,0,0,0.151260504,0,0.718487395,0.638655462,0,0,0.214285714,0,0,0,0,0,0.285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KAARMONA CARLANA - CARLANA,4,0.777310924,0.743697479,0.176470588,0.176470588,0,0,0.5,0,0,0,0,0,0,0.100840336,0,0.5,0,0,0,0.718487395,0.638655462,0,0,0,0.046218487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121848739,0,0,0,0,0,0,0,0
BUSHLEA PERFECTOR BOLD-ET - BUDDHA,5,0.777310924,0.743697479,0,0,0,0.474789916,0.5,0.256302521,0.256302521,0.285714286,0,0.256302521,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.117647059,0,0,0,0,0,0.151260504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TOPSPEED GOLDYN-ET - GOLDCREST,6,0.777310924,0,0,0,0,0.474789916,0,0.256302521,0.256302521,0.285714286,0,0.256302521,0.739495798,0,0,0,0.823529412,0,0,0,0,0,0,0,0,0,0,0.117647059,0,0,0,0.142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ST. CLAIR SHOLTZ-TWIN - SHOLTZ,7,0.777310924,0,0,0,0.424369748,0,0,0,0,0.142857143,0,0,0.739495798,0,0,0,0.823529412,0.302521008,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142857143,0,0,0.021008403,0,0.021008403,0.012605042,0,0,0,0,0,0,0,0,0,0,0,0.012605042
JET STAR MANOMAN TRICKIN - TRICKIN,8,0,0.743697479,0.176470588,0.176470588,0,0,0,0,0,0,0.415966387,0,0,0.100840336,0.340336134,0,0,0,0,0,0,0,0,0.214285714,0.046218487,0,0,0,0,0,0,0,0,0,0,0.042016807,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDELWEISS - EDELWEISS,9,0,0.743697479,0,0,0.424369748,0,0,0,0,0,0.415966387,0,0,0,0.340336134,0,0,0,0,0,0,0,0,0.214285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008403361,0.008403361,0,0,0,0,0,0
ETAZON STEFANO - CRVESTEFANO,10,0,0,0.176470588,0.176470588,0,0.474789916,0,0.256302521,0.256302521,0.285714286,0,0.256302521,0,0.100840336,0,0,0,0,0,0,0,0,0,0,0.046218487,0,0,0.117647059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
