column,Row Order,JUDDS ADMIRAL,MASON BOOMER SOONER BERRETTA,COMFORT ROYAL ALF (E_T_),FYN LEMVIG,ROYALS GREEN ELMO,J_ S_ QUICKSILVER ROYAL,CLAYDON PARK FLOWER POWER,TINOPAI WAIUKU GR,ROCK ELLA PERIMITER,KAARMONA VALERIAN,HIGHLAND DUNCAN LESTER,WINDY WILLOW MONTANA JACE,ROCKMAPLE BROOK MONTANA,MOLLY BROOK BRASS MAJOR,DUNCANS PRINCE MALCOLM,LIGHTWOOD LUCRATIVE,SOLDIERBOY BOOMER SOONER OF CJF,AHLEM LEMVIG ABE,BW PARADE-ET,PANNOO ABE VANAHLEM,OKURA MANHATTEN-ET SJ3,ROCK ELLA PARAMOUNT-ET,CAIRNBRAE JACES ELTON,KONUI GLEN ELMOS BOWIE,DARAWAY FLOWERPOWER NAVARA,ROCKY HILL SKY LINE,Jersey Herd Bull / Unknown Bull,HIGHLAND MAGIC DUNCAN,LAWMUIR ELTON,ALL LYNNS LOUIE VALENTINO,BHF-SSF PARADE LOUIE,PARKWOOD CASPER,RICHIES JACE TBONE A364,SKE IDE,ABERDEEN VALERIAN SANDOWN-ET,ISDK Q IMPULS,NOWELL SANDBLAST,MITCHELLS LIKABULL SJ3,SILVER FALLS QUICK FAME,SWEET GRASS LESTER GRAYSON,OKURA LIKA MURMUR S3J,BANCREST LESTER AVERY,BEULAH TARANAK BADGER,PANNOO BRAX,COLNARCO NAVARIAN,BROADLIN HATMAN,SCHULTZ BROOK HALLMARK,PANNOO VLINE,BUTTERCREST GALVANIZE,BROADLIN 2499 VALERIAN
Column Order,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
WHITE STAR KEVIN - KEVIN,1,1,0.360566449,0,0,0.291938998,0.391067538,0,0.347494553,0.130718954,0.119825708,0,0,0,0,0,0,0.148148148,0,0,0,0,0,0,0.066448802,0,0,0,0.063180828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BROADLIN VOLOCITY - VOLATILE,2,0.5,0.721132898,0,0,0.291938998,0.391067538,0,0.347494553,0.130718954,0.119825708,0,0,0,0,0,0.062091503,0.148148148,0,0,0,0,0,0,0,0,0,0,0,0.119825708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WHITE STAR MUMFORD - CRVMUMFORD,3,1,0.360566449,0.277777778,0,0.291938998,0,0.152505447,0.347494553,0.130718954,0.119825708,0,0,0,0,0,0,0,0,0,0,0,0,0,0.066448802,0,0,0,0,0,0,0,0,0,0,0.008714597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COLNARCO 9082 - COLTRANE,4,1,0.721132898,0.277777778,0,0,0,0.152505447,0,0.261437908,0.239651416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008714597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COLNARCO VANMUR - VANMUR,5,1,0.360566449,0,0,0,0.391067538,0,0.347494553,0.130718954,0.119825708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.093681917,0,0,0,0,0,0.041394336,0.040305011,0,0.025054466,0,0,0,0,0,0,0,0,0
BROADLIN DOUBLEUP - DOUBLEUP,6,1,0.721132898,0,0.192810458,0,0,0,0,0.261437908,0.239651416,0,0,0,0,0,0,0,0.025054466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002178649
ISYCOED JED RC - CSCJED,7,0,0.721132898,0.277777778,0,0.291938998,0.391067538,0.152505447,0.347494553,0,0,0.171023965,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017429194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011982571,0,0,0,0,0,0,0,0
MELDAN SB FREDO - FREEVODKA,8,0.5,0.360566449,0.277777778,0,0,0.782135076,0.152505447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017429194,0,0,0,0,0,0,0,0,0,0.043572985,0,0,0,0,0,0,0,0,0,0,0,0,0
BROADLIN STACKER - STACKER,9,0.5,0.360566449,0.277777778,0.192810458,0.291938998,0,0.152505447,0,0.130718954,0.119825708,0,0,0,0,0,0,0,0,0,0,0.081699346,0,0,0,0.017429194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002178649,0,0,0,0
WHITE STAR GAVIN - CRVGAVIN,10,0,0.360566449,0.277777778,0.192810458,0.583877996,0,0.152505447,0.347494553,0,0,0,0,0,0,0,0.062091503,0,0,0,0,0.081699346,0,0,0,0.017429194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002178649,0,0,0,0
PANNOO VLINE - CRVLINE,11,0.5,0.360566449,0.277777778,0,0,0.391067538,0,0,0.130718954,0.119825708,0,0.080610022,0.078431373,0.053376906,0.045751634,0,0,0,0,0,0,0,0.030501089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004357298,0,0
BROADLIN VELCRO ET - VELCRO,12,0.5,0.360566449,0.277777778,0,0,0.391067538,0,0,0.130718954,0.119825708,0,0.080610022,0.078431373,0.053376906,0.045751634,0,0,0,0,0,0,0,0.030501089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WALLACEDALE MELS VISTA - VISTAWALL,13,0.5,0.360566449,0,0,0,0.391067538,0,0,0.130718954,0.119825708,0,0.080610022,0.078431373,0.053376906,0.045751634,0,0.148148148,0,0,0,0,0,0,0,0,0,0,0.063180828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BROADLIN LEVI - LEVIGENES,14,0.5,0.360566449,0.277777778,0.192810458,0,0,0.152505447,0,0.130718954,0.119825708,0.171023965,0,0,0,0,0,0,0.025054466,0,0.022875817,0,0,0,0,0,0.018518519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WALLACEDALE MELS VOYAGE - VOYAGEDALE,15,0.5,0.360566449,0.277777778,0.192810458,0,0,0.152505447,0,0.130718954,0.119825708,0.171023965,0,0,0,0,0,0,0.025054466,0,0.022875817,0,0,0,0,0,0.018518519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WALLACEDALE MELS VOUYANT - VOUYANT,16,0.5,0.360566449,0.277777778,0.192810458,0,0,0.152505447,0,0.130718954,0.119825708,0.171023965,0,0,0,0,0,0,0.025054466,0,0.022875817,0,0,0,0,0,0.018518519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARALUEN PARK SEVILLE - SEVILLA,17,0.5,0.360566449,0.277777778,0.192810458,0,0,0.152505447,0,0.130718954,0.119825708,0.171023965,0,0,0,0,0,0,0.025054466,0,0.022875817,0,0,0,0,0,0.018518519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEULAH BRAX KP 4411 - AINSLEY,18,0.5,0,0,0.192810458,0.583877996,0,0.152505447,0.347494553,0,0,0,0,0,0,0,0.062091503,0,0.025054466,0,0.022875817,0,0,0,0.066448802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003267974,0,0,0,0,0,0
BEULAH S HATMAN 4236 - HUXLEY,19,0,0,0.555555556,0.192810458,0.583877996,0,0.152505447,0.347494553,0,0,0,0,0,0,0,0,0,0,0,0,0.081699346,0,0,0,0.017429194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021786492,0,0,0.002178649,0,0,0,0
PANNOO BRAX - CRVBRAX,20,0,0.360566449,0.277777778,0.192810458,0.291938998,0,0.152505447,0.347494553,0,0,0.171023965,0,0,0,0,0.062091503,0,0.025054466,0,0.022875817,0,0,0,0,0,0.018518519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003267974,0,0,0,0,0,0
WALLACEDALE MELS SPILLWAY - CSCSPILLWAY,21,0.5,0.360566449,0.277777778,0.192810458,0,0,0.152505447,0,0.130718954,0.119825708,0,0.080610022,0.078431373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006535948,0,0.008714597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INVERLAIR HEIGHTS RACEWAY FERRARI - CSCFERRARI,22,0.5,0.360566449,0.277777778,0.192810458,0,0,0.152505447,0,0.130718954,0.119825708,0,0.080610022,0.078431373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006535948,0,0.008714597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KADDY ELTON SANDSTORM - SANDSTORM,23,0.5,0,0.277777778,0.192810458,0,0.391067538,0,0,0,0,0.171023965,0.080610022,0.078431373,0.053376906,0.045751634,0,0,0,0,0,0.081699346,0,0.030501089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEULAH BRAX DROGO - DROGO,24,0.5,0.360566449,0,0.192810458,0.291938998,0,0.152505447,0,0.130718954,0.119825708,0,0,0,0,0,0.062091503,0,0.025054466,0,0.022875817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003267974,0,0,0,0,0,0
ARALUEN PARK BANDANNA - CSCBANDANNA,25,0.5,0.360566449,0,0.192810458,0,0,0,0,0.130718954,0.119825708,0.171023965,0.080610022,0.078431373,0.053376906,0.045751634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006535948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BROOKBORA TBONE BORAT - BORAT,26,0,0.360566449,0,0.192810458,0.291938998,0,0,0.347494553,0,0,0.171023965,0.080610022,0.078431373,0.053376906,0.045751634,0.062091503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006535948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KAARAMONA GRIFFIN - GRIFF,27,0.5,0.360566449,0,0.192810458,0,0,0.305010893,0,0.130718954,0.119825708,0,0,0,0,0,0,0,0.025054466,0,0.022875817,0,0,0,0,0.017429194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007625272,0,0,0,0,0
ARALUEN PARK SEAHORSE - SEAHORSE,28,0.5,0.360566449,0,0.192810458,0,0,0.152505447,0,0.130718954,0.119825708,0,0.080610022,0.078431373,0,0,0,0,0,0,0,0,0,0,0,0.017429194,0,0,0,0,0,0,0,0.006535948,0,0,0,0,0,0,0,0,0,0,0,0.007625272,0,0,0,0,0
BEULAH TAHBILK - TAHBILK,29,0,0,0.555555556,0.192810458,0.291938998,0,0.305010893,0,0,0,0.171023965,0,0,0,0,0,0,0.025054466,0,0.022875817,0,0,0,0,0.017429194,0.018518519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BROADLIN SPANNER - SPANNER,30,0,0.360566449,0.277777778,0,0,0.391067538,0,0,0,0,0.171023965,0.080610022,0.078431373,0.053376906,0.045751634,0,0,0,0,0,0,0,0.030501089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011982571,0,0,0,0,0,0,0,0
KINGS VIEW VALIN 4697 - VALIN,31,0,0.360566449,0.555555556,0,0.291938998,0,0.152505447,0,0,0,0,0,0,0,0,0,0,0,0.035947712,0,0,0.029411765,0,0,0.017429194,0,0,0,0,0.009803922,0.009803922,0,0,0,0,0,0,0,0,0.005446623,0,0,0,0,0,0,0,0,0,0
NOWELL SHAQ - SHAQ,32,0,0,0.277777778,0.192810458,0,0.391067538,0,0,0,0,0,0.161220044,0.156862745,0.053376906,0.045751634,0,0,0,0,0,0,0,0.030501089,0,0,0,0,0,0,0,0,0,0.006535948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NOWELL SPYRO - SPYRO,33,0,0,0.277777778,0.385620915,0,0,0.152505447,0,0,0,0.171023965,0.080610022,0.078431373,0,0,0,0,0.025054466,0,0.022875817,0,0,0,0,0,0.018518519,0,0,0,0,0,0,0.006535948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEULAH GALV 4090 - ZORKO,34,0.5,0.360566449,0,0,0,0,0,0,0.130718954,0.119825708,0,0,0,0,0,0,0,0,0.035947712,0,0,0.029411765,0,0,0,0,0,0,0,0.009803922,0.009803922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003267974,0
LOXLEIGH VALENTINO VINCE 5432 - VESTRIT,35,0,0.360566449,0.555555556,0,0,0,0,0,0,0,0,0.080610022,0.078431373,0,0,0,0,0,0.035947712,0,0,0.029411765,0.030501089,0,0,0,0,0,0,0.009803922,0.009803922,0,0,0,0,0,0,0,0,0.005446623,0,0,0,0,0,0,0,0,0,0
MERSEYBANK CLAIRVOYANT - CRVVOYANT,36,0,0.360566449,0.555555556,0,0,0,0,0,0,0,0,0.080610022,0.078431373,0,0,0,0,0,0.035947712,0,0,0.029411765,0.030501089,0,0,0,0,0,0,0.009803922,0.009803922,0,0,0,0,0,0,0,0,0.005446623,0,0,0,0,0,0,0,0,0,0
BROADLIN BUZZBOX - BUZZBOX,37,0,0.360566449,0.277777778,0,0,0,0.152505447,0,0.130718954,0.119825708,0,0,0,0,0,0,0,0,0.035947712,0,0,0.029411765,0,0,0,0,0,0,0,0.009803922,0.009803922,0,0,0,0.008714597,0,0,0,0,0.005446623,0,0,0,0,0,0,0,0,0,0
DALBORA BRAX 5097 BROWNLOW - BROWNLOW,38,0,0,0,0.385620915,0.291938998,0,0.152505447,0,0,0,0,0.080610022,0.078431373,0,0,0.062091503,0,0.025054466,0,0.022875817,0,0,0,0,0,0,0,0,0,0,0,0,0.006535948,0,0,0,0,0,0,0,0,0,0,0.003267974,0,0,0,0,0,0
SUNSET CANYON DIVINE - ET - CRDIVINE,39,0,0.721132898,0.277777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035947712,0,0,0.029411765,0,0,0,0,0,0,0,0.009803922,0.009803922,0,0,0,0,0,0,0,0,0.005446623,0,0,0,0,0,0,0.003267974,0,0,0
SUNSET CANYON DIVIDEND - ET - CRDIVIDEND,40,0,0.721132898,0.277777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035947712,0,0,0.029411765,0,0,0,0,0,0,0,0.009803922,0.009803922,0,0,0,0,0,0,0,0,0.005446623,0,0,0,0,0,0,0.003267974,0,0,0
