column,Row Order,KAARMONA VALERIAN,CLAYDON PARK FLOWER POWER,ROYALS GREEN ELMO,MASON BOOMER SOONER BERRETTA,JUDDS ADMIRAL,LIGHTWOOD LUCRATIVE,ROCK ELLA PERIMITER,FYN LEMVIG,PANNOO ABE VANAHLEM,COMFORT ROYAL ALF (E_T_),WINDY WILLOW MONTANA JACE,CAIRNBRAE JACES ELTON,TINOPAI WAIUKU GR,J_ S_ QUICKSILVER ROYAL,AHLEM LEMVIG ABE,RICHIES JACE TBONE A364,ALL LYNNS LOUIE VALENTINO,KONUI GLEN ELMOS BOWIE,ROCKMAPLE BROOK MONTANA,HIGHLAND DUNCAN LESTER,OKURA MANHATTEN-ET SJ3,ABERDEEN VALERIAN SANDOWN-ET,NOWELL SANDBLAST,DARAWAY FLOWERPOWER NAVARA,OKURA LIKA MURMUR S3J,PANNOO BRAX,BHF-SSF PARADE LOUIE,COLNARCO NAVARIAN,ROCK ELLA PARAMOUNT-ET,BW PARADE-ET,ISDK Q IMPULS,MOLLY BROOK BRASS MAJOR,MITCHELLS LIKABULL SJ3,BROADLIN HATMAN,DUNCANS PRINCE MALCOLM,PARKWOOD CASPER,SOLDIERBOY BOOMER SOONER OF CJF,PANNOO VLINE,BEULAH TARANAK BADGER,BUTTERCREST GALVANIZE,Jersey Herd Bull / Unknown Bull,SKE IDE,BROADLIN 2499 VALERIAN,SILVER FALLS QUICK FAME,ROCKY HILL SKY LINE,HIGHLAND MAGIC DUNCAN,LAWMUIR ELTON,BANCREST LESTER AVERY,SCHULTZ BROOK HALLMARK,SWEET GRASS LESTER GRAYSON
Column Order,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
BEULAH BRAX DROGO - DROGO,1,0.984375,0.337890167,0.563149167,0.214513417,0.29328775,0.774739583,0.26692675,0.20735525,0.380208333,0,0,0,0,0,0.09765625,0,0,0,0,0,0,0,0,0,0,0.083333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WHITE STAR MUMFORD - CRVMUMFORD,2,0.984375,0.33886675,0.56412575,0.214513417,0.29361325,0,0.26692675,0,0,0.1663375,0,0,0.210607583,0,0,0,0,0.447916667,0,0,0,0.1875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BROADLIN VOLOCITY - VOLATILE,3,0.984375,0,0.568032,0.2158155,0.29328775,0.794270833,0.26692675,0,0,0,0,0,0.211584167,0.124016083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.048499833,0,0,0,0,0,0,0,0,0,0.0361305,0,0,0
BEULAH BRAX KP 4411 - AINSLEY,4,0,0.337890167,0.56445125,0,0.29328775,0.774739583,0,0.20735525,0.380208333,0,0,0,0.210607583,0,0.09765625,0,0,0.447916667,0,0,0,0,0,0,0,0.083333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BROADLIN STACKER - STACKER,5,0.984375,0.33886675,0.563149167,0.214513417,0.29328775,0,0.26692675,0.20735525,0,0.1663375,0,0,0,0,0,0,0,0,0,0,0.238606667,0,0,0.061197917,0,0,0,0,0,0,0,0,0,0.0625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WHITE STAR KEVIN - KEVIN,6,1,0,0.56412575,0.21549,0.294589833,0,0.270833,0,0,0,0,0,0.210607583,0.124016083,0,0,0,0.447916667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.048499833,0,0,0,0,0,0,0,0,0.021157667,0,0,0,0
PANNOO BRAX - CRVBRAX,7,0,0.33886675,0.56412575,0.214513417,0,0.778645833,0,0.208331833,0.395833333,0.1663375,0,0,0.210607583,0,0.1015625,0,0,0,0,0.067054333,0,0,0,0,0,0.104166667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005859,0,0,0,0,0
INVERLAIR HEIGHTS RACEWAY FERRARI - CSCFERRARI,8,0.984375,0.33886675,0,0.214513417,0.29328775,0,0.26692675,0.20735525,0,0.1663375,0.259765583,0,0,0,0,0.130208333,0,0,0.064778,0,0,0.1875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WALLACEDALE MELS SPILLWAY - CSCSPILLWAY,9,0.984375,0.33886675,0,0.214513417,0.29328775,0,0.26692675,0.20735525,0,0.1663375,0.259765583,0,0,0,0,0.130208333,0,0,0.064778,0,0,0.1875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
