column,Row Order,JUDDS ADMIRAL,J_ S_ QUICKSILVER ROYAL,MASON BOOMER SOONER BERRETTA,TINOPAI WAIUKU GR,COMFORT ROYAL ALF (E_T_),FYN LEMVIG,HIGHLAND DUNCAN LESTER,ROYALS GREEN ELMO,SOLDIERBOY BOOMER SOONER OF CJF,LAWMUIR ELTON,CLAYDON PARK FLOWER POWER,ROCK ELLA PERIMITER,OKURA MANHATTEN-ET SJ3,KAARMONA VALERIAN,PARKWOOD CASPER,HIGHLAND MAGIC DUNCAN,WINDY WILLOW MONTANA JACE,ROCKMAPLE BROOK MONTANA,WILLAND ADS SAMUAL,MOLLY BROOK BRASS MAJOR,LIGHTWOOD LUCRATIVE,DUNCANS PRINCE MALCOLM,SKE IDE,ISDK Q IMPULS,BW PARADE-ET,VAN DER FITS FJORD GR,TAWA GROVE MAUNGA ET S3J,BAYLEA PENNYS CARLOS SJ3,ROCK ELLA PARAMOUNT-ET,MEADOW LAWN J IMPERIAL 50R ET,JAS BYG,MITCHELLS LIKABULL SJ3,SILVER FALLS QUICK FAME,CRESCENT SENATOR SAM,NOAKES NEVVY SJ2,WILLIAMS ROBS NORMAN,CRESENT ROYAL CHARLES-ET,CARDRONA ROBERTO,WILLIAMS MINSTREL,DARAWAY FLOWERPOWER NAVARA,ALCISTON CHARLIES LAD,AHLEM LEMVIG ABE,KONUI GLEN ELMOS BOWIE,CAIRNBRAE JACES ELTON,PANNOO ABE VANAHLEM,ALL LYNNS LOUIE VALENTINO,BHF-SSF PARADE LOUIE,NOWELL TARSAN,OKURA LIKA MURMUR S3J,RICHIES JACE TBONE A364
Column Order,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
WHITE STAR GREG - BOSGREGSTAR,1,1,0.391067538,0.360566449,0.347494553,0,0,0,0.291938998,0.148148148,0,0,0.130718954,0,0.119825708,0,0.063180828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.066448802,0,0,0,0,0,0,0
WALLACEDALE MARVARIE ET - CRVMARVARIE,2,0,0.782135076,0.721132898,0.347494553,0.555555556,0,0,0.291938998,0,0,0.152505447,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035947712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017429194,0,0,0,0,0,0,0,0,0,0
NOWELL VIPER - VIPOR,3,0.5,0.782135076,0.721132898,0,0.277777778,0,0,0,0.148148148,0,0.152505447,0.130718954,0,0.119825708,0,0.063180828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABERDEEN VALERIAN ROUNDHILL-ET - ROUNDHILL,4,0.5,0.782135076,0.721132898,0,0.277777778,0,0,0,0.148148148,0,0.152505447,0.130718954,0,0.119825708,0,0.063180828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABERDEEN VALERIAN SANDOWN-ET - RACEWAY,5,0.5,0.782135076,0.721132898,0,0.277777778,0,0,0,0.148148148,0,0.152505447,0.130718954,0,0.119825708,0,0.063180828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARALUEN PARK STRZELECKI - STRZELECKI,6,0.5,0.391067538,0.721132898,0.347494553,0,0,0,0.291938998,0.148148148,0.119825708,0,0.130718954,0,0.119825708,0,0,0,0,0,0,0.062091503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARALUEN PARK LARFALOT SAGE - SAGE,7,0.5,0.391067538,0.721132898,0.347494553,0,0,0,0.291938998,0.148148148,0.119825708,0,0.130718954,0,0.119825708,0,0,0,0,0,0,0.062091503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KADDY LARFALOT SEGA - ET - SEGA,8,0.5,0.391067538,0.360566449,0.347494553,0,0.192810458,0.171023965,0.291938998,0.148148148,0.119825708,0,0,0.081699346,0,0,0,0,0,0,0,0.062091503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ROCKLEIGH PARK VALERIAN VAVOOM - VAVOOM,9,1,0.391067538,0.360566449,0,0,0.192810458,0.171023965,0,0.148148148,0,0,0.130718954,0.081699346,0.119825708,0,0.063180828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
