column,Row Order,KAARMONA VALERIAN,JUDDS ADMIRAL,ROYALS GREEN ELMO,FYN LEMVIG,MASON BOOMER SOONER BERRETTA,TINOPAI WAIUKU GR,J_ S_ QUICKSILVER ROYAL,OKURA MANHATTEN-ET SJ3,CLAYDON PARK FLOWER POWER,LIGHTWOOD LUCRATIVE,COMFORT ROYAL ALF (E_T_),ROCK ELLA PERIMITER,TAWA GROVE MAUNGA ET S3J,PARKWOOD CASPER,HIGHLAND DUNCAN LESTER,WINDY WILLOW MONTANA JACE,ISDK Q IMPULS,NOAKES NEVVY SJ2,CAIRNBRAE JACES ELTON,SOLDIERBOY BOOMER SOONER OF CJF,PANNOO ABE VANAHLEM,WILLAND ADS SAMUAL,ALL LYNNS LOUIE VALENTINO,WILLIAMS MINSTREL,MITCHELLS LIKABULL SJ3,OKURA LIKA MURMUR S3J,NOWELL TARSAN,KONUI GLEN ELMOS BOWIE,RICHIES JACE TBONE A364,LAWMUIR ELTON,ALCISTON CHARLIES LAD,DARAWAY FLOWERPOWER NAVARA,VAN DER FITS FJORD GR,SKE IDE,ROCKMAPLE BROOK MONTANA,HIGHLAND MAGIC DUNCAN,AHLEM LEMVIG ABE,WILLIAMS ROBS NORMAN,BW PARADE-ET,ROCK ELLA PARAMOUNT-ET,BHF-SSF PARADE LOUIE,SILVER FALLS QUICK FAME,BAYLEA PENNYS CARLOS SJ3,CRESENT ROYAL CHARLES-ET,MOLLY BROOK BRASS MAJOR,MEADOW LAWN J IMPERIAL 50R ET,JAS BYG,DUNCANS PRINCE MALCOLM,CARDRONA ROBERTO,CRESCENT SENATOR SAM
Column Order,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
ARALUEN PARK STRZELECKI - STRZELECKI,1,0.984375,0.29328775,0.568032,0,0.2158155,0.211584167,0.124016083,0,0,0.794270833,0,0.26692675,0,0,0,0,0,0,0,0.048499833,0,0,0,0,0,0,0,0,0,0.0361305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARALUEN PARK LARFALOT SAGE - SAGE,2,0.984375,0.29328775,0.568032,0,0.2158155,0.211584167,0.124016083,0,0,0.794270833,0,0.26692675,0,0,0,0,0,0,0,0.048499833,0,0,0,0,0,0,0,0,0,0.0361305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WHITE STAR GREG - BOSGREGSTAR,3,1,0.294589833,0.56412575,0,0.21549,0.210607583,0.124016083,0,0,0,0,0.270833,0,0,0,0,0,0,0,0.048499833,0,0,0,0,0,0,0,0.447916667,0,0,0,0,0,0,0,0.021157667,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COLNARCO NAVARIAN - NAVARIAN,4,1,0.294264333,0.563149167,0,0.21549,0,0.124016083,0,0.33886675,0,0.1663375,0.270833,0,0,0,0,0,0,0,0.048499833,0,0,0,0,0,0,0,0,0,0,0,0.061197917,0,0,0,0.021157667,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KADDY LARFALOT SEGA - ET - SEGA,5,0,0.29328775,0.568032,0.208331833,0.21549,0.211584167,0.124016083,0.242512917,0,0.794270833,0,0,0,0,0.067054333,0,0,0,0,0.048499833,0,0,0,0,0,0,0,0,0,0.0361305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOORAMI NESSY 2 TOMY - KIEL,6,1,0.294589833,0,0.208331833,0.21549,0,0.124016083,0.242512917,0,0,0,0.270833,0,0,0.067054333,0,0,0,0,0.048499833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021157667,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ROCKLEIGH PARK VALERIAN VAVOOM - VAVOOM,7,1,0.294589833,0,0.208331833,0.21549,0,0.124016083,0.242512917,0,0,0,0.270833,0,0,0.067054333,0,0,0,0,0.048499833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021157667,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NOWELL VIPER - VIPOR,8,1,0.294264333,0,0,0.2158155,0,0.124341583,0,0.342773,0,0.167314083,0.270833,0,0,0,0,0,0,0,0.048499833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021157667,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABERDEEN VALERIAN ROUNDHILL-ET - ROUNDHILL,9,1,0.294264333,0,0,0.2158155,0,0.124341583,0,0.342773,0,0.167314083,0.270833,0,0,0,0,0,0,0,0.048499833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021157667,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABERDEEN VALERIAN SANDOWN-ET - RACEWAY,10,1,0.294264333,0,0,0.2158155,0,0.124341583,0,0.342773,0,0.167314083,0.270833,0,0,0,0,0,0,0,0.048499833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021157667,0,0,0,0,0,0,0,0,0,0,0,0,0,0
