column,Row Order,O-BEE MANFRED JUSTICE,PICSTON SHOTTLE,HA-HO CUBBY MANFRED-ET,MAUGHLIN STORM,CAROL PRELUDE MTOTO ET,MADAWASKA AEROSTAR,EMPRISE BELL ELTON,JOCKO BESN,SHOREMAR JAMES,HILL VALLEY BASAR ACME,ENSENADA TABOO PLANET ET,BASAR,BRAEDALE GOLDWYN,MARA-THON BW MARSHALL,ROSE-BAUM TABOO,TO-MAR BLACKSTAR ET,Q250 BESNE BUCK,GIBBON,A RONNYBROOK PRELUDE ET,A MARK CJ GILBROOK GRAND ET,REGANCREST ELTON DURHAM,CARENDA FABULON-ET,OSDEL-ENDEAVOR BOVA CUBBY,ROUMARE,JENNY-LOU MRSHL TOYSTORY,SHOREMAR PERFECT STAR (ET),OUT-JOCK CHOICE AMEL,ELITE GOLD BULLION-IMP-ET,DIXIE-LEE AARON -ET,AG-HIGH SIGHTS BS INGOT-ET,BELT,HOW-EL-ACRES K BELLMAN ET,LONG-LANGS OMAN OMAN,END-ROAD BLACKSTAR MAJIC-ET,STRATHAIRE SOUTHWIND LUKE-ET,SANDY-VALLEY BOLTON,ETAZON ADDISON,FATAL,WALKWAY CHIEF MARK,END-ROAD PVF BOLIVER,COYNE-FARMS DORCY,LUNCREST MILLARD,STARTMORE RUDOLPH,GRAN-J OMAN MCCORMICK,BARBEE-M JUROR ITO,NORRIELAKE CLEITUS LUKE TWIN,REGANCREST ALTAIOTA,CHARLESDALE SUPERSTITION,RICH-RO MARK SAM -ET,SCHILLVIEW OMAN GERARD
Column Order,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
PURNIM MILLARD BIOGOLDMILL - GOLDMILL,1,0.167567568,0.297297297,0.183783784,0,0.291891892,0.405405405,0.332432432,0,0,0,0,0,0,0.227027027,0,0,0,0,0.264864865,0,0.137837838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032432432,0,0,0,0,0,0,0,0.005405405
HINDLEE GOLDWYN OMANROYAL 121003 - ROYALMAN,2,0.167567568,0,0.183783784,0.262162162,0,0.810810811,0.332432432,0,0.075675676,0,0,0,0.054054054,0,0,0,0,0,0,0.064864865,0,0,0.081081081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.059459459,0,0,0,0,0,0,0,0,0,0,0
DE SU 11949 PENALTY - 29HO17732,3,0,0.594594595,0,0,0.291891892,0.405405405,0,0,0.075675676,0,0.032432432,0,0.054054054,0,0.032432432,0,0,0,0.264864865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DELTA CUPIDO - CRVCUPIDO,4,0,0.297297297,0,0,0.291891892,0.405405405,0,0.172972973,0.075675676,0,0,0,0.054054054,0,0,0,0.105405405,0,0.264864865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.062162162,0,0,0,0,0,0,0,0,0,0,0,0
OURWAY PLANE JACK - PLANEJACK,5,0,0,0,0,0,0,0,0,0,0,0.032432432,0,0,0,0.032432432,1,0,0,0,0,0,0,0,0,0,0,0.018918919,0.208108108,0,0.17027027,0,0.124324324,0,0.010810811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WARRAMONT NUMBERONE DUDE - ASHMARK,6,0.167567568,0.297297297,0.183783784,0,0.291891892,0,0,0.172972973,0,0,0,0,0,0,0,0,0.105405405,0.083783784,0,0,0,0,0,0.051351351,0,0,0,0,0.021621622,0,0,0,0.010810811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BUNDALONG LIQUIDGOLD WARRIOR - GOLDWARRIOR,7,0.335135135,0.297297297,0.183783784,0,0,0,0.332432432,0,0,0,0.032432432,0,0,0,0.032432432,0,0,0,0,0,0,0,0.081081081,0,0,0,0,0,0,0,0,0,0.010810811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOUW ROCKY - CRVBOUWROCKY,8,0.167567568,0.297297297,0.183783784,0,0.291891892,0,0,0,0,0,0.032432432,0,0,0.227027027,0.032432432,0,0,0,0,0,0,0,0,0,0,0,0.018918919,0,0,0,0,0,0,0.010810811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COUNTRY ROAD ROYALMAN 4198-ET - PROVINCE,9,0.167567568,0,0.183783784,0.262162162,0,0,0,0.172972973,0.075675676,0,0,0,0.054054054,0,0,0,0.105405405,0.083783784,0,0.064864865,0,0,0,0.051351351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EMU BANKS JENGOLD - JENGOLD,10,0.335135135,0,0.367567568,0.262162162,0,0,0,0,0.075675676,0,0,0,0.054054054,0,0,0,0,0,0,0.064864865,0,0,0,0,0,0,0,0,0.021621622,0,0,0,0.010810811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GENERVATIONS LIQUID GOLD - GVLIQUIDGOLD,11,0.167567568,0.297297297,0.183783784,0,0.291891892,0,0,0,0,0,0.032432432,0,0,0,0.032432432,0,0,0,0,0,0,0,0,0,0,0,0.018918919,0,0.021621622,0,0,0,0.010810811,0.010810811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CARENDA VIZABULL 375 - VIZABULL,12,0.167567568,0,0.183783784,0,0,0,0.332432432,0,0,0.108108108,0.032432432,0.1,0,0,0.032432432,0,0,0,0,0,0,0.027027027,0.081081081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE-SU 11756 OCTAVIAN-ET - 29HO17509,13,0.167567568,0.297297297,0.183783784,0,0.291891892,0,0,0,0,0,0.032432432,0,0,0,0.032432432,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021621622,0,0,0,0.010810811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALEXERIN SNEAK PEEK - 0250HO01135,14,0.335135135,0,0.183783784,0,0,0,0.332432432,0,0,0,0.032432432,0,0,0,0.032432432,0,0,0,0,0,0,0,0.081081081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CARENDA FOLKLAW 339 - FOLKLAW,15,0,0,0,0.262162162,0,0,0,0.172972973,0.075675676,0,0,0,0.054054054,0,0,0,0.105405405,0.167567568,0,0.064864865,0,0.027027027,0,0.051351351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE-SU 11680 BRAUN-ET - 29HO16954,16,0.335135135,0,0.183783784,0,0,0,0,0,0,0,0,0,0,0.227027027,0,0,0,0,0,0,0,0,0,0,0.143243243,0,0.018918919,0,0,0,0,0,0,0,0,0,0,0,0,0.013513514,0,0,0,0,0.018918919,0,0.018918919,0.005405405,0,0
MANNA FARM DELANO - DELANO,17,0,0,0,0,0,0,0,0.172972973,0,0.108108108,0,0.1,0,0,0,0,0.105405405,0.167567568,0,0,0,0.027027027,0,0.051351351,0,0.135135135,0,0,0,0,0.07027027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RENGAW MOM JUSTLE - JUSTLE,18,0.167567568,0,0.183783784,0,0,0,0.332432432,0,0,0,0.032432432,0,0,0,0.032432432,0,0,0,0,0,0,0,0.081081081,0,0,0,0.018918919,0,0.021621622,0,0,0,0.010810811,0.010810811,0,0,0,0,0,0,0,0,0,0,0,0.018918919,0,0,0,0
RENGAW PREDESTINE MANSHED - MANSHED,19,0.167567568,0.297297297,0.183783784,0,0,0,0,0,0.075675676,0,0.032432432,0,0.054054054,0,0.032432432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013513514,0
NEWHOUSE SKYFALL - CRVSKYFALL,20,0.167567568,0,0.183783784,0.262162162,0,0,0,0,0.075675676,0,0,0,0.054054054,0,0,0,0,0,0,0.064864865,0,0,0,0,0,0,0,0,0.021621622,0,0,0,0.010810811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CARENDA PICOLA 349 - VANCE,21,0.167567568,0,0.183783784,0,0,0,0,0,0,0.108108108,0.032432432,0.1,0,0,0.032432432,0,0,0,0,0,0.137837838,0.027027027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027027027,0,0,0,0,0,0
MANNA FARM MCCUTCHEN 2701-ET - ZOLTAN,22,0,0.297297297,0,0,0.291891892,0,0,0,0.075675676,0,0.032432432,0,0.054054054,0,0.032432432,0,0,0,0,0,0,0.027027027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RENGAW CROWN JAKOVICH - JAKOVICH,23,0.167567568,0,0.183783784,0.262162162,0,0,0,0,0.075675676,0,0,0,0.054054054,0,0,0,0,0,0,0.064864865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CARENDA VALIUM 354 - VALIUM,24,0,0,0,0.262162162,0,0,0,0,0.075675676,0.108108108,0.032432432,0.1,0.054054054,0,0.032432432,0,0,0,0,0.064864865,0,0.027027027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MR SHOT DOZER 1491 - ET - DELISHDOZER,25,0.335135135,0,0.183783784,0,0,0,0,0,0,0,0,0,0,0.227027027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HINDLEE PICOLA GOLDCHIPDREAM 1418-ET - MICROCHIP,26,0,0.297297297,0,0,0,0,0,0,0.075675676,0.108108108,0.032432432,0.1,0.054054054,0,0.032432432,0,0,0,0,0,0,0.027027027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HINDLEE PICOLA ROYALROUMARE 1414-ET - ROYALPIC,27,0,0,0,0,0,0,0,0.172972973,0,0.108108108,0.032432432,0.1,0,0,0.032432432,0,0.105405405,0.083783784,0,0,0,0.027027027,0,0.051351351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GLOMAR SUPERLUCKY-ET - SUPERLUCKY,28,0.167567568,0,0,0.262162162,0,0,0,0,0.075675676,0,0.032432432,0,0.054054054,0,0.032432432,0,0,0,0,0.064864865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ROCKING-P GRAF LOTTIE DA-ET - LOTTIEDA,29,0.335135135,0,0.183783784,0,0,0,0,0,0.075675676,0,0,0,0.054054054,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018918919,0,0,0,0,0,0,0,0,0,0,0,0,0.013513514,0,0,0,0,0,0,0,0.005405405,0,0
DILEE BUDDHA OLLIE 751 - OTTMAR,30,0,0,0,0.262162162,0,0,0,0,0.075675676,0,0.032432432,0,0.054054054,0,0.032432432,0,0,0.083783784,0,0.064864865,0,0.027027027,0,0,0,0,0.018918919,0,0,0,0,0,0,0.010810811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADLEJAMA DELSANTO PICOLA - PICOLA,31,0,0,0,0,0,0,0,0,0,0.108108108,0.032432432,0.1,0,0,0.032432432,0,0,0.083783784,0,0,0,0.027027027,0,0,0,0.135135135,0.018918919,0,0,0,0.07027027,0,0,0.010810811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RENGAW SS JAMPOT-ET - JAMPOT,32,0.335135135,0,0.183783784,0,0,0,0,0,0,0,0.032432432,0,0,0,0.032432432,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021621622,0,0,0,0.010810811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE SU 12128 TAILOR - 29HO17706,33,0.167567568,0.297297297,0,0,0,0,0,0,0,0,0.032432432,0,0.054054054,0,0.032432432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013513514,0,0,0,0,0,0,0,0.005405405,0,0
PINE-TREE-GF REMARK-P-ET - 29HO16999,34,0.167567568,0,0,0,0,0,0,0,0,0,0.032432432,0,0,0.227027027,0.032432432,0,0,0,0,0,0,0,0,0,0.143243243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADLEJAMA PICOLA FAROUK - LJCOOL,35,0.167567568,0,0,0,0,0,0,0,0.075675676,0.108108108,0.032432432,0.1,0.054054054,0,0.032432432,0,0,0,0,0,0,0.027027027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
