column,Row Order,PICSTON SHOTTLE,O-BEE MANFRED JUSTICE,HILL VALLEY BASAR ACME,BRAEDALE GOLDWYN,CAROL PRELUDE MTOTO ET,ENSENADA TABOO PLANET ET,HA-HO CUBBY MANFRED-ET,JENNY-LOU MRSHL TOYSTORY,MARA-THON BW MARSHALL,MAUGHLIN STORM,SHOREMAR JAMES,JOCKO BESN,BASAR,CARENDA FABULON-ET,COYNE-FARMS DORCY,ELITE GOLD BULLION-IMP-ET,LONG-LANGS OMAN OMAN,ROSE-BAUM TABOO,LUNCREST MILLARD,ROUMARE,EMPRISE BELL ELTON,MADAWASKA AEROSTAR,REGANCREST ELTON DURHAM,GRAN-J OMAN MCCORMICK,SANDY-VALLEY BOLTON,GIBBON,A RONNYBROOK PRELUDE ET,Q250 BESNE BUCK,AG-HIGH SIGHTS BS INGOT-ET,TO-MAR BLACKSTAR ET,A MARK CJ GILBROOK GRAND ET,DIXIE-LEE AARON -ET,OSDEL-ENDEAVOR BOVA CUBBY,SHOREMAR PERFECT STAR (ET),CHARLESDALE SUPERSTITION,ETAZON ADDISON,REGANCREST ALTAIOTA,OUT-JOCK CHOICE AMEL,STRATHAIRE SOUTHWIND LUKE-ET,END-ROAD PVF BOLIVER,HOW-EL-ACRES K BELLMAN ET,BELT,FATAL,END-ROAD BLACKSTAR MAJIC-ET,SCHILLVIEW OMAN GERARD,WALKWAY CHIEF MARK,RICH-RO MARK SAM -ET,NORRIELAKE CLEITUS LUKE TWIN,STARTMORE RUDOLPH,BARBEE-M JUROR ITO
Column Order,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
PURNIM MILLARD BIOGOLDMILL - GOLDMILL,1,0.999524745,0.288022788,0,0,0.249999605,0,0.075569165,0,0.257128913,0,0,0,0,0,0,0,0,0,0.39543731,0,0.063209255,0.091725882,0.097433442,0,0,0,0.062734973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022813691,0,0,0,0,0
BOUW ROCKY - CRVBOUWROCKY,2,0.993821322,0.288022788,0,0,0.248573718,0.053231946,0.075569165,0,0.257128913,0,0,0,0,0,0,0,0,0.013307743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003802038,0,0,0,0,0,0.002376274,0,0,0,0,0,0
WARRAMONT NUMBERONE DUDE - ASHMARK,3,0.993821322,0.288022788,0,0,0.248573718,0,0.075569165,0,0,0,0,0.082223341,0,0,0,0,0.038022818,0,0,0.066539932,0,0,0,0,0,0.023763471,0,0.021861965,0,0,0,0.011406602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GENERVATIONS LIQUID GOLD - GVLIQUIDGOLD,4,0.993821322,0.288022788,0,0,0.248573718,0.053231946,0.075569165,0,0,0,0,0,0,0,0,0,0.038022818,0.013307743,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011406602,0,0,0,0,0,0.003802038,0,0,0,0,0,0.002376274,0,0,0,0,0,0
DE-SU 11756 OCTAVIAN-ET - 29HO17509,5,0.993821322,0.288022788,0,0,0.248573718,0.047528523,0.075569165,0,0,0,0,0,0,0,0,0,0.038022818,0.011881857,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011406602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DELTA CUPIDO - CRVCUPIDO,6,0.999524745,0,0,0.131178723,0.249999605,0,0,0,0,0,0.048003656,0.082223341,0,0,0,0,0,0,0,0,0,0.091725882,0,0,0,0,0.062734973,0.021861965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027090863,0,0,0,0,0,0,0
DE SU 11949 PENALTY - 29HO17732,7,1,0,0,0.131178723,0.249999605,0.047528523,0,0,0,0,0.048003656,0,0,0,0,0,0,0.011881857,0,0,0,0.091725882,0,0,0,0,0.062734973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RENGAW PREDESTINE MANSHED - MANSHED,8,0.992395436,0.288022788,0,0.131178723,0,0.047528523,0.075569165,0,0,0,0.048003656,0,0,0,0,0,0,0.011881857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009980959,0,0,0
HINDLEE PICOLA GOLDCHIPDREAM 1418-ET - MICROCHIP,9,0.992395436,0,0.244771802,0.131178723,0,0.047528523,0,0,0,0,0.048003656,0,0.060836144,0.036596932,0,0,0,0.011881857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DUPASQUIER PRIZIM - CBPRIZIM,10,0.992395436,0.286596902,0,0,0,0.047528523,0,0,0,0,0,0,0,0,0.12357416,0,0.032319396,0.011881857,0,0,0,0,0,0,0.070817469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
