column,Row Order,MADAWASKA AEROSTAR,EMPRISE BELL ELTON,TO-MAR BLACKSTAR ET,HA-HO CUBBY MANFRED-ET,O-BEE MANFRED JUSTICE,CAROL PRELUDE MTOTO ET,A RONNYBROOK PRELUDE ET,PICSTON SHOTTLE,SINGING-BROOK N-B MASCOT ET,MAUGHLIN STORM,OSDEL-ENDEAVOR BOVA CUBBY,HANOVERHILL STARBUCK,JOCKO BESN,BIS-MAY S-E-L MOUNTAIN ET,BIS-MAY TRADITION CLEITUS,SHOREMAR JAMES,GIBBON,Q250 BESNE BUCK,BRAEDALE GOLDWYN,A MARK CJ GILBROOK GRAND ET,SOUTHWIND BELL OF BAR-LEE,ENSENADA TABOO PLANET ET,MARA-THON BW MARSHALL,ROSE-BAUM TABOO,ELITE MOUNTAIN DONOR IMP (E_T),ELITE GOLD BULLION-IMP-ET,MAIZEFIELD BELLWOOD - (E_T_),WALKWAY CHIEF MARK,AG-HIGH SIGHTS BS INGOT-ET,KED JUROR ET,SHOREMAR PERFECT STAR (ET),OUT-JOCK CHOICE AMEL,ROUMARE,HOW-EL-ACRES K BELLMAN ET,ETAZON KNOCK OUT,LEKKER VALIANT ROYALTY,HILL VALLEY BASAR ACME,BASAR,DIXIE-LEE AARON -ET,BELT,END-ROAD BLACKSTAR MAJIC-ET,NORRIELAKE CLEITUS LUKE TWIN,FATAL,CARLIN-M IVANHOE BELL,CARENDA FABULON-ET,LONG-LANGS OMAN OMAN,ETAZON CELSIUS,ETAZON ADDISON,DELLKA JUROR GORDON - TW,BUSHLEA WAVES FABULON
Column Order,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
ST. CLAIR SHOLTZ-TWIN - SHOLTZ,1,0.5,0,0.616666667,0,0,0.36,0.326666667,0.366666667,0.35,0,0,0.293333333,0,0.39,0,0,0,0,0,0,0,0,0,0,0.26,0,0,0,0,0,0,0,0,0,0,0.093333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VH MOGENS - VIKVHMOGENS,2,0.5,0.41,0.616666667,0.226666667,0.206666667,0.36,0.326666667,0,0,0,0.1,0.146666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TOPSPEED GOLDYN-ET - GOLDCREST,3,1,0,0,0,0,0,0,0,0.35,0.323333333,0,0,0,0.39,0,0.093333333,0,0,0.066666667,0.08,0,0,0,0,0.26,0,0,0.073333333,0,0,0,0,0,0,0,0.093333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GALLRAE TENNYSON YJ - YJ,4,0,0.41,0.616666667,0.226666667,0.206666667,0.36,0.326666667,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.053333333,0
COGENT TWIST - COGENTTWIST,5,0.5,0,0.616666667,0,0,0.36,0.326666667,0.366666667,0,0,0,0.293333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.153333333,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0
DE-SU ALTAMELHOR - 011HO11077,6,0.5,0.41,0,0.226666667,0.206666667,0.36,0.326666667,0.366666667,0,0,0.1,0,0,0,0,0.093333333,0,0,0.066666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ETAZON STEFANO - CRVESTEFANO,7,1,0.41,0,0.226666667,0.206666667,0,0,0,0,0.323333333,0.1,0,0,0,0,0.093333333,0,0,0.066666667,0.08,0,0,0,0,0,0,0,0.073333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RENGAW MANOMAN HUMMER-ET - GEEMCEE,8,0.5,0.41,0,0.226666667,0.206666667,0.36,0.326666667,0.366666667,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026666667,0,0,0.023333333,0,0,0,0.013333333,0,0,0,0
RENGAW MANOMAN WRANGLER-ET - WRANGLER,9,0.5,0.41,0,0.226666667,0.206666667,0.36,0.326666667,0.366666667,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026666667,0,0,0.023333333,0,0,0,0.013333333,0,0,0,0
